ticker,label_team,label_recheck,ruler_team,ruler_recheck,agree,guidance,label_raw,implied_g5,consensus,target_premium,gap_pp
AIP,市場比指引更悲觀,市場比指引更悲觀,第二把尺,第二把尺,True,拿到(混合:收入上調、虧損擴大),市場比指引更悲觀,,0.21090001,0.82,
CLFD,與指引重疊,市場比指引更悲觀,第二把尺,第二把尺,False,拿到(明確下調),與指引重疊(邊界個案),,0.2229,0.376,
CEVA,市場比指引更悲觀,市場比指引更悲觀,第二把尺,第二把尺,True,拿不到(公司無發實質指引),市場比指引更悲觀,,0.13,0.663,
TROX,市場比指引更悲觀,市場比指引更悲觀,第二把尺,第二把尺,True,"拿到(隱含上調,滾動季度指引)",市場比指引更悲觀,,0.0454,0.427,
LMB,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,拿到(混合:收入上調、EBITDA 下調),市場比指引更樂觀,0.7677192687988281,0.19790001,0.555,57.0
ON,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,"拿到(隱含上調,滾動季度指引)",市場比指引更樂觀,0.7090263366699219,0.1288,0.471,58.0
ARM,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,"拿到(隱含上調,滾動季度指引,6-K 披露)",市場比指引更樂觀,1.1740837097167969,0.3623,0.085,81.2
POWL,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,"拿不到(公司只有文字展望,無數字指引)",市場比指引更樂觀,0.3456535339355469,0.2455,0.526,10.0
MEC,市場比指引更悲觀,市場比指引更悲觀,第二把尺,第二把尺,True,拿到(混合:收入上調、EBITDA維持、現金流因擴資本開支下調),市場比指引更悲觀,,0.1408,0.854,
MYRG,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,拿不到(公司無發數字指引),市場比指引更樂觀,1.1923484802246094,0.1547,0.412,103.8
LUMN,與指引重疊,與指引重疊,第二把尺(目標價溢價),第二把尺,True,拿到(維持),與指引重疊,,-0.037100002,0.144,
ORCL,市場比指引更悲觀,市場比指引更悲觀,第一把尺(隱含增速),第一把尺,True,拿到(EPS 上調、收入維持),市場比指引更悲觀,0.2979087829589844,0.4629,0.487,-16.5
AGX,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,沒有給指引(僅有積壓訂單數字),市場比指引更樂觀,0.2885093688964844,0.19709998,0.468,9.1
DOCN,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,拿到(上調),市場比指引更樂觀,0.7996559143066406,0.5374,0.392,26.2
FN,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,"拿到(逐季新指引,無比較字眼)",市場比指引更樂觀,0.3675498962402344,0.1973,0.722,17.0
MTZ,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價),第二把尺,True,拿到(上調),市場比指引更悲觀,,0.1892,0.691,
AMKR,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,"拿到(逐季新指引,無比較字眼)",市場比指引更樂觀,0.5029335021972656,0.1272,0.493,37.6
CRNC,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,"拿到(維持,對比上季全年指引)",市場比指引更樂觀,0.3407402038574219,-0.076,0.268,41.7
MOD,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,拿到(維持),市場比指引更樂觀,0.4108619689941406,0.204,0.575,20.7
FSLR,市場比指引更悲觀,市場比指引更悲觀,第一把尺(隱含增速),第一把尺,True,拿到(維持),市場比指引更悲觀,0.0244712829589843,0.174,0.285,-15.0
CRUS,與指引重疊,與指引重疊,第一把尺(隱含增速),第一把尺,True,"拿到(逐季新指引,無比較字眼)",與指引重疊,0.0475959777832031,0.060500003,0.478,-1.3
IPGP,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價),第二把尺,True,"拿到(逐季新指引,無下調跡象)",市場比指引更悲觀,,0.0922,0.576,
IREN,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價 +61.1%),第二把尺,True,"拿不到(無正式財務指引,只有 ARR/產能目標)",市場比指引更悲觀,,1.5553999,0.611,
GNRC,市場比指引更樂觀,市場比指引更樂觀,"第一把尺(隱含增速 vs 共識,+34.1pp)",第一把尺,True,"拿到(收入指引維持,EBITDA 利潤率指引上調)",市場比指引更樂觀,0.5500907897949219,0.20799999,0.483,34.2
CDNS,市場比指引更樂觀,市場比指引更樂觀,第一把尺(+35.1pp),第一把尺,True,拿到(收入指引上調至 19% 增長),市場比指引更樂觀,0.4854698181152344,0.13430001,0.391,35.1
TTMI,市場比指引更樂觀,市場比指引更樂觀,第一把尺(+29.3pp),第一把尺,True,"拿到(首次給出具體全年數字,方向上調)",市場比指引更樂觀,0.5309715270996094,0.23809999,0.628,29.3
CENX,市場比指引更悲觀,市場比指引更悲觀,第一把尺(-27.8pp),第一把尺,True,"拿到(僅 EBITDA 指引,按季小幅提高,不設收入指引)",市場比指引更悲觀,-0.0289878845214843,0.22670001,0.451,-25.6
CLS,市場比指引更悲觀,市場比指引更悲觀,第一把尺(-38.8pp),第一把尺,True,拿到(全年收入指引大幅上調至 205 億美元),市場比指引更悲觀,0.3288841247558594,0.708,0.433,-37.9
VIAV,市場比指引更樂觀,市場比指引更樂觀,第一把尺(+81.7pp),第一把尺,True,"拿到(FY27 首季指引,基調正面)",市場比指引更樂觀,0.9609413146972656,0.1344,0.607,82.7
ALB,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價 +35.3%),第二把尺,True,拿到(Specialties 分部展望上調),市場比指引更悲觀,,0.0292,0.353,
FLEX,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價 +41.1%),第二把尺,True,拿到(FY27 全年指引全面上調),市場比指引更悲觀,,0.2992,0.411,
COLL,市場比指引更悲觀,市場比指引更樂觀,第一把尺(-23.6pp),第一把尺,False,拿到(全年收入及 EBITDA 指引下調),市場比指引更悲觀,0.0455665588378906,-0.0104,1.135,5.6
MRCY,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價 +36.2%),第二把尺,True,"部分拿到(只有定性上調描述,無具體數字)",市場比指引更悲觀,,0.111899994,0.362,
SAIA,市場比指引更樂觀,市場比指引更樂觀,第一把尺(+36.1pp),第一把尺,True,拿不到(行業慣例不設正式指引),市場比指引更樂觀,0.4342002868652344,0.0727,0.211,36.2
QCOM,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,"拿到(只有下季指引,無法判升降)",市場比指引更樂觀,0.2498970031738281,0.0436,0.11,20.6
HLIT,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,拿到(明確上調),市場比指引更樂觀,0.5947380065917969,0.1071,0.346,48.8
KRMN,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,拿到(明確上調),市場比指引更樂觀,0.4122505187988281,0.2739,1.134,13.8
PUMP,市場比指引更悲觀,市場比指引更悲觀,第二把尺,第二把尺,True,"拿到指引,但無收入/盈利指引,只有(已下調的)資本開支指引",市場比指引更悲觀,,0.1724,0.4,
SANM,市場比指引更悲觀,市場比指引更悲觀,第二把尺,第二把尺,True,拿到(明確上調),市場比指引更悲觀,,0.1598,0.252,
CRDO,市場比指引更悲觀,市場比指引更悲觀,第一把尺,第一把尺,True,"拿到(只有下季指引,無法判升降)",市場比指引更悲觀,0.1759834289550781,0.5473,0.615,-37.1
CLVT,市場比指引更悲觀,市場比指引更悲觀,第二把尺,第二把尺,True,拿到(明確重申/維持),市場比指引更悲觀,,-0.065,0.549,
MTSI,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,"拿到(只有下季指引,無法判升降)",市場比指引更樂觀,0.6781044006347656,0.35720003,0.425,32.1
TDC,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,"拿到(盈利上調,營收重申)",市場比指引更樂觀,0.4609565734863281,0.013300001,0.224,44.8
LULU,市場比指引更悲觀,市場比指引更悲觀,第一把尺,第一把尺,True,拿到(明確下調),市場比指引更悲觀,-0.0635414123535156,0.0005,0.071,-6.4
DRS,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,拿到(明確上調),市場比指引更樂觀,0.4101142883300781,0.0683,0.455,34.2
ACLS,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,"拿到(只有下季指引,無法判升降)",市場比指引更樂觀,0.6405067443847656,0.1191,0.343,52.1
