ticker,g5_old,g5_new,cons_old,cons_new,d_pp,lab_old,lab_new,flips
FSLR,0.0232963562011718,0.0229759216308593,0.174,0.174,-0.0,市場比指引更悲觀,市場比指引更悲觀,False
CRUS,0.0691719055175781,0.0669288635253906,0.060500003,0.060500003,-0.2,與指引重疊,與指引重疊,False
IPGP,,,0.0922,0.0922,,,,False
IREN,,,1.5553999,1.5553999,,,,False
GNRC,0.5494499206542969,0.5507850646972656,0.20799999,0.20799999,0.1,市場比指引更樂觀,市場比指引更樂觀,False
CDNS,0.4853630065917969,0.4857368469238281,0.13430001,0.13430001,0.0,市場比指引更樂觀,市場比指引更樂觀,False
TTMI,0.5312385559082031,0.5292625427246094,0.23809999,0.23809999,-0.2,市場比指引更樂觀,市場比指引更樂觀,False
CENX,-0.0513114929199218,-0.0290946960449218,0.22670001,0.22670001,2.2,市場比指引更悲觀,市場比指引更悲觀,False
CLS,0.3196983337402344,0.3271751403808594,0.708,0.708,0.7,市場比指引更悲觀,市場比指引更悲觀,False
VIAV,0.9515419006347656,0.9588584899902344,0.1344,0.1344,0.7,市場比指引更樂觀,市場比指引更樂觀,False
ALB,,,0.0292,0.0292,,,,False
FLEX,,,0.2992,0.2992,,,,False
COLL,-0.2465095520019531,-0.0250358581542968,-0.0104,-0.0104,22.1,市場比指引更悲觀,與指引重疊,True
MRCY,,,0.111899994,0.111899994,,,,False
SAIA,0.4338798522949219,0.4335060119628906,0.0727,0.0727,-0.0,市場比指引更樂觀,市場比指引更樂觀,False
QCOM,0.2504844665527344,0.2492027282714843,0.0436,0.0436,-0.1,市場比指引更樂觀,市場比指引更樂觀,False
HLIT,0.5884895324707031,0.5932960510253906,0.1071,0.1071,0.5,市場比指引更樂觀,市場比指引更樂觀,False
KRMN,0.3736915588378906,0.4137992858886719,0.2739,0.2739,4.0,市場比指引更樂觀,市場比指引更樂觀,False
PUMP,,,0.1724,0.1724,,,,False
SANM,,,0.1598,0.1598,,,,False
CRDO,0.1752357482910156,0.1757164001464843,0.5473,0.5473,0.0,市場比指引更悲觀,市場比指引更悲觀,False
CLVT,,,-0.065,-0.065,,,,False
MTSI,0.6775703430175781,0.6768760681152344,0.35720003,0.35720003,-0.1,市場比指引更樂觀,市場比指引更樂觀,False
TDC,0.4596214294433594,0.4603157043457031,0.013300001,0.013300001,0.1,市場比指引更樂觀,市場比指引更樂觀,False
LULU,-0.0633277893066406,-0.0637550354003906,0.0005,0.0005,-0.0,市場比指引更悲觀,市場比指引更悲觀,False
DRS,0.4105949401855469,0.4098472595214844,0.0683,0.0683,-0.1,市場比指引更樂觀,市場比指引更樂觀,False
ACLS,0.6386909484863281,0.6382102966308594,0.1191,0.1191,-0.0,市場比指引更樂觀,市場比指引更樂觀,False
