ticker,name,rank_old,rank_new,odds_old,odds_new,gate_old_debt,gate_new_inpool,debt_label_new,gate_change,bl_old_pass15,ret_old,ret_new,bl_new_grade,bl_change,concl_old,concl_new,concl_old_3,concl_new_3,flip,withheld_new,above_ma_new,in_pool_1_new,deep_new,why,rank_delta
FN,FABRINET,11.0,19.0,-0.0541280124323493,-0.0330732426262658,True,True,淨現金,無變動(兩邊都在池內),True,0.4158630527429843,0.4302662679721658,過線(≥17%),無變動,觀察,買入候選,觀察,入選 / 買入候選,True,False,,True,否,"KARST-195/196 取數與折現率更正;舊「入選」要折讓格兩把尺都過,新規則不看折讓格;舊「入選」要 200 日線形態為「殺」,新規則只把「線上回調」剔出①池,「線附近」照樣可以升買",8.0
AGX,ARGAN INC,12.0,21.0,-0.0616547976131787,-0.0422534811324148,True,True,淨現金,無變動(兩邊都在池內),True,0.2413072811832501,0.2535560823332952,過線(≥17%),無變動,不入,觀察(預登記預測零支持),不入,觀察,True,False,,True,否,"KARST-195/196 取數與折現率更正;舊結論以折讓格作硬否決,新規則不用折讓格;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",9.0
RMBS,RAMBUS INC,13.0,,-0.6920666001905449,,True,True,淨現金,無變動(兩邊都在池內),True,0.199502025243768,0.2143953692326603,過線(≥17%),無變動,不入,觀察(基準值扣起:資料落後),不入,觀察,True,True,,True,否,"A-055 資料落後,基準值扣起;舊結論以折讓格作硬否決,新規則不用折讓格",
LMB,"LIMBACH HOLDINGS, INC.",14.0,24.0,-0.7096833317115052,-0.7856359262381258,True,True,低(≤3 倍),無變動(兩邊都在池內),True,0.7325296032508712,0.7297671997284398,過線(≥17%),無變動,觀察,觀察(預登記預測零支持),觀察,觀察,False,False,,True,否,"KARST-195/196 取數與折現率更正;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",10.0
MOD,MODINE MANUFACTURING CO,15.0,23.0,-0.7234663101955262,-0.6930083817936539,True,True,低(≤3 倍),無變動(兩邊都在池內),False,0.0858423789042412,0.1061930782154958,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,—,8.0
AMKR,"AMKOR TECHNOLOGY, INC.",16.0,,-0.9886017881705738,,True,True,淨現金,無變動(兩邊都在池內),False,-0.0153495732566495,-0.0049751243781093,不過(<13%),無變動,不入,觀察(基準值扣起:資料落後),不入,觀察,True,True,,True,否,"A-055 資料落後,基準值扣起;KARST-195/196 取數與折現率更正;舊結論以折讓格作硬否決,新規則不用折讓格",
TTMI,"TTM TECHNOLOGIES, INC.",17.0,,-1.0086683750431482,-0.9935918947120504,True,True,低(≤3 倍),無變動(兩邊都在池內),False,-0.1305776017468707,-0.112362471024465,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
POWL,"Powell Industries, Inc.",18.0,28.0,-1.1347880114831164,-1.133322751202006,True,True,淨現金,無變動(兩邊都在池內),False,-0.0015031251896022,-2.5876144340908347e-05,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,—,10.0
CIEN,Ciena Corp,19.0,27.0,-1.1461815193697882,-1.127503277403421,True,True,低(≤3 倍),無變動(兩邊都在池內),False,0.147726182406938,0.1723762374775459,過線(≥17%),由不過變過線,不入,觀察(未填卡、無預登記預測),不入,觀察,True,False,,True,否,"底線由 15% 二分改三級(17/13);舊結論以折讓格作硬否決,新規則不用折讓格;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",8.0
TDC,TERADATA CORPORATION,20.0,33.0,-1.294939020720827,-1.3951931896973813,True,True,淨現金,無變動(兩邊都在池內),False,-0.0064851812738919,-0.0085394502311084,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,KARST-195/196 取數與折現率更正,13.0
MYRG,MYR GROUP INC.,21.0,32.0,-1.3063465309279323,-1.293981892401072,True,True,淨現金,無變動(兩邊都在池內),False,0.0050916286101432,0.0184853963921325,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,—,11.0
QCOM,QUALCOMM INC/DE,22.0,,-1.3349241605298685,-1.3460323166721742,True,True,低(≤3 倍),無變動(兩邊都在池內),False,-0.0450453065285917,-0.0490080517615697,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
LINC,LINCOLN EDUCATIONAL SERVICES CORPORATION,23.0,35.0,-1.393242495552136,-1.4554337220192632,True,True,低(≤3 倍),無變動(兩邊都在池內),True,0.2164569690084017,0.2422449245178624,過線(≥17%),無變動,不入,觀察(預登記預測零支持),不入,觀察,True,False,,True,否,"舊結論以折讓格作硬否決,新規則不用折讓格;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",12.0
DOCN,"DigitalOcean Holdings, Inc.",24.0,,-1.413821781944516,-1.4591953612220208,True,True,中(3–6 倍),無變動(兩邊都在池內),False,-0.4025381596676172,-0.3999090538180254,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
UTI,"UNIVERSAL TECHNICAL INSTITUTE, INC",25.0,36.0,-1.4850424902826391,-1.4855924546258117,True,True,低(≤3 倍),無變動(兩邊都在池內),True,0.5634357190168262,0.5921125046277049,過線(≥17%),無變動,觀察,觀察(未填卡、無預登記預測),觀察,觀察,False,False,,True,否,"新規則:預登記預測零支持(或未填卡),結論上限「觀察」",11.0
VPG,"Vishay Precision Group, Inc.",26.0,26.0,-1.5223841993235048,-0.9076423742194148,True,True,淨現金,無變動(兩邊都在池內),False,-0.2380895568921126,-0.9992306822169778,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,KARST-195/196 取數與折現率更正,0.0
ENPH,"Enphase Energy, Inc.",27.0,,-1.5324909430584917,,True,True,淨現金,無變動(兩邊都在池內),False,-0.098996464402006,-0.1014491280525217,不過(<13%),無變動,觀察,觀察(基準值扣起:資料落後),觀察,觀察,False,True,,True,否,"A-055 資料落後,基準值扣起",
MTSI,"MACOM Technology Solutions Holdings, Inc.",28.0,,-1.5445268967064534,-1.5395824109529312,True,True,淨現金,無變動(兩邊都在池內),False,-0.0448298268611283,-0.0339850104195715,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
IPGP,IPG PHOTONICS CORP,29.0,37.0,-1.5743589707078307,-1.570922222820171,True,True,淨現金,無變動(兩邊都在池內),True,0.2171202187204757,0.2320838791497841,過線(≥17%),無變動,不入,觀察(未填卡、無預登記預測),不入,觀察,True,False,,True,否,"舊結論以折讓格作硬否決,新規則不用折讓格;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",8.0
ACLS,AXCELIS TECHNOLOGIES INC,30.0,,-1.6280944762319791,-1.6477599818034914,True,True,淨現金,無變動(兩邊都在池內),False,-0.2165176658799062,-0.2093279254234207,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
VIAV,Viavi Solutions Inc.,31.0,,-1.6523079122845534,-1.6667581099450255,True,True,低(≤3 倍),無變動(兩邊都在池內),False,-0.0783817798750446,-0.0692817855329759,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
CEVA,"Ceva, Inc.",32.0,39.0,-1.7762931681958551,-1.7752592496390311,True,True,淨現金,無變動(兩邊都在池內),False,,,算不出,無變動,觀察,觀察(一年回報算不出),觀察,觀察,False,False,,True,否,—,7.0
FLEX,FLEX LTD.,33.0,,-1.80337830110384,-1.816466010731479,True,True,低(≤3 倍),無變動(兩邊都在池內),False,-0.3733035705915053,-0.3686434725998522,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
ARM,ARM HOLDINGS PLC /UK,34.0,,-1.819828567495665,-1.8233956751555,True,True,淨現金,無變動(兩邊都在池內),False,-0.2691703886919504,-0.2676473819492903,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
ON,ON SEMICONDUCTOR CORPORATION,35.0,40.0,-1.8834765930901447,-1.899272969080296,True,True,低(≤3 倍),無變動(兩邊都在池內),False,-0.0976936615942937,-0.0870849090254901,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,—,5.0
ALB,ALBEMARLE CORPORATION,36.0,41.0,-1.9230924934918183,-1.9355105146655385,True,True,淨現金,無變動(兩邊都在池內),True,0.2366729063233328,0.2372455493036853,過線(≥17%),無變動,不入,觀察(未填卡、無預登記預測),不入,觀察,True,False,,True,否,"舊結論以折讓格作硬否決,新規則不用折讓格;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",5.0
DRS,"Leonardo DRS, Inc.",37.0,42.0,-2.023354207153135,-1.9446621725444333,True,True,淨現金,無變動(兩邊都在池內),True,0.199401125735906,0.2029727245662294,過線(≥17%),無變動,不入,觀察(未填卡、無預登記預測),不入,觀察,True,False,,True,否,"舊結論以折讓格作硬否決,新規則不用折讓格;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",5.0
GNRC,GENERAC HOLDINGS INC.,38.0,45.0,-2.028027176637839,-2.0539589262844387,True,True,低(≤3 倍),無變動(兩邊都在池內),False,0.0616398967499367,0.0724119757821759,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,—,7.0
SAIA,"Saia, Inc.",39.0,44.0,-2.03956928514647,-2.03778768746724,True,True,低(≤3 倍),無變動(兩邊都在池內),False,0.0402219991838108,0.0419956034680559,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,—,5.0
HLIT,HARMONIC INC.,40.0,,-2.093538224469685,-2.0863847064211245,True,True,淨現金,無變動(兩邊都在池內),False,-0.013172061496148,-0.0003342895601401,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
CDNS,"CADENCE DESIGN SYSTEMS, INC.",41.0,,-2.1814598637730835,,True,True,淨現金,無變動(兩邊都在池內),True,0.1786754805451731,0.1866327869063535,過線(≥17%),無變動,不入,觀察(基準值扣起:資料落後),不入,觀察,True,True,,True,否,"A-055 資料落後,基準值扣起;舊結論以折讓格作硬否決,新規則不用折讓格",
ARRY,"ARRAY TECHNOLOGIES, INC.",,,,,True,True,低(≤3 倍),無變動(兩邊都在池內),True,0.5366107102380562,0.571419566963,過線(≥17%),無變動,入選,觀察(未填卡、無預登記預測),入選 / 買入候選,觀察,True,False,,True,否,"新規則:預登記預測零支持(或未填卡),結論上限「觀察」",
LASR,"NLIGHT, INC.",,,,,True,True,淨現金,無變動(兩邊都在池內),True,0.478957718748132,0.4880522527025202,過線(≥17%),無變動,觀察,觀察(未填卡、無預登記預測),觀察,觀察,False,False,,True,否,"新規則:預登記預測零支持(或未填卡),結論上限「觀察」",
ADTN,"ADTRAN Holdings, Inc.",,,,,True,True,低(≤3 倍),無變動(兩邊都在池內),True,0.4061352713492179,0.3924200448741874,過線(≥17%),無變動,入選,觀察(未填卡、無預登記預測),入選 / 買入候選,觀察,True,False,,True,否,"新規則:預登記預測零支持(或未填卡),結論上限「觀察」",
SEDG,"SOLAREDGE TECHNOLOGIES, INC.",,,,,True,True,淨現金,無變動(兩邊都在池內),True,0.2115434998997556,0.2301511987431335,過線(≥17%),無變動,觀察,觀察(未填卡、無預登記預測),觀察,觀察,False,False,,True,否,"新規則:預登記預測零支持(或未填卡),結論上限「觀察」",
SANM,Sanmina Corporation,,,,,True,True,低(≤3 倍),無變動(兩邊都在池內),False,0.0887177138302133,0.0997353484567746,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
CLFD,"CLEARFIELD, INC.",,,,,True,True,淨現金,無變動(兩邊都在池內),False,0.0705963356308385,0.0815757820735256,不過(<13%),無變動,觀察,不入(一年回報不過線),觀察,不入,True,False,,True,是,"新規則:一年回報 <13% 明文判不入(舊版底線只作欄位,不作否決)",
LUMN,"LUMEN TECHNOLOGIES, INC.",,,,,True,True,低(≤3 倍),無變動(兩邊都在池內),False,0.0410908719749938,0.0504185660294413,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,—,
MRCY,"MERCURY SYSTEMS, INC",,,,,True,True,低(≤3 倍),無變動(兩邊都在池內),False,0.021806182712148,0.0428150226082093,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,—,
IREN,IREN Limited,,,,,True,True,低(≤3 倍),無變動(兩邊都在池內),False,-0.073289248192556,-0.0521561909297104,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
AIP,"Arteris, Inc.",,,,,True,True,淨現金,無變動(兩邊都在池內),False,-0.0914732080199289,-0.0895128654378177,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,—,
PUMP,ProPetro Holding Corp.,,,,,True,True,低(≤3 倍),無變動(兩邊都在池內),False,-0.1191657300639872,-0.1076032786280696,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,—,
MRAM,"Everspin Technologies, Inc.",,,,,True,True,淨現金,無變動(兩邊都在池內),False,-0.2212544879860477,-0.2134109092768435,不過(<13%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,是,"D-174:觸發時價在 200 日線之上,不入①池",
AAON,"AAON, INC.",,7.0,2.6280577758826973,2.6678087041805703,False,True,中(3–6 倍),負債閘不過 → 入池(閘已取消),True,0.6451754324661938,0.6592651021720575,過線(≥17%),無變動,不入,觀察(未填卡、無預登記預測),不入,觀察,True,False,,True,否,"D-173 負債閘取消;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",
KRMN,KARMAN HOLDINGS INC.,,11.0,0.6164618132237047,0.8839054982473046,False,True,高(>6 倍),負債閘不過 → 入池(閘已取消),True,1.3771371189544477,1.3945060271097356,過線(≥17%),無變動,不入,觀察(未填卡、無預登記預測),不入,觀察,True,False,,True,是,"KARST-195/196 取數與折現率更正;D-173 負債閘取消;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",
ORCL,Oracle Corporation,,22.0,-0.6889055610962732,-0.6101328329702537,False,True,中(3–6 倍),負債閘不過 → 入池(閘已取消),True,0.1850672299729354,0.1790036120425593,過線(≥17%),無變動,不入,觀察(未填卡、無預登記預測),不入,觀察,True,False,,True,否,"KARST-195/196 取數與折現率更正;D-173 負債閘取消;舊結論以折讓格作硬否決,新規則不用折讓格;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",
TROX,TRONOX HOLDINGS PLC,,,,,False,True,高(>6 倍),負債閘不過 → 入池(閘已取消),True,0.3082927088993772,0.3260090575905991,過線(≥17%),無變動,不入,觀察(未填卡、無預登記預測),不入,觀察,True,False,,True,是,"D-173 負債閘取消;新規則:預登記預測零支持(或未填卡),結論上限「觀察」",
CLVT,CLARIVATE PLC,,,,,False,True,高(>6 倍),負債閘不過 → 入池(閘已取消),True,0.3044044872928111,0.2881315758425089,過線(≥17%),無變動,不入,觀察(基準值扣起:資料落後),不入,觀察,True,True,,True,是,"A-055 資料落後,基準值扣起;D-173 負債閘取消",
MTZ,MASTEC INC,,,,,False,True,中(3–6 倍),負債閘不過 → 入池(閘已取消),False,0.1379146778250335,0.1609799173328481,貼線(13–17%),無變動,不入,"觀察(貼線,不下結論)",不入,觀察,True,False,,True,否,"D-173 負債閘取消;舊結論以折讓格作硬否決,新規則不用折讓格",
MEC,"Mayville Engineering Company, Inc.",,,,,False,True,高(>6 倍),負債閘不過 → 入池(閘已取消),False,0.0429354824333951,0.0486679782653078,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,是,D-173 負債閘取消,
