ticker,name,sic_description,price,n1_implied_g5,consensus_rev_growth,consensus_growth_key,mispricing_label_auto,gap_vs_consensus_pp,rev_growth_yoy,op_margin,asof,next_earnings,rev_ttm_musd
POWL,"Powell Industries, Inc.",Switchgear & Switchboard Apparatus,183.4750061035156,0.3461875915527344,0.2455,+1y,市場比指引更樂觀,10.06875915527344,0.0703940639801441,0.1966899981166664,2026-06-30,"[datetime.date(2026, 11, 18)]",1158.0
MEC,"Mayville Engineering Company, Inc.",Metal Forgings & Stampings,19.850000381469727,,0.1408,+1y,資料不足,,0.1176809218364294,-0.0218268891310687,2026-06-30,"[datetime.date(2026, 11, 4)]",586.0
MYRG,MYR GROUP INC.,"Water, Sewer, Pipeline, Comm & Power Line Construction",291.8349914550781,1.191120147705078,0.1547,+1y,市場比指引更樂觀,103.6420147705078,0.1605744045903232,0.0562803618825621,2026-06-30,"[datetime.date(2026, 10, 29)]",4006.0
LUMN,"LUMEN TECHNOLOGIES, INC.",Telephone Communications (No Radiotelephone),6.679999828338623,,-0.037100002,+1y,資料不足,,-0.0992392223161453,0.018581081081081,2026-06-30,"[datetime.date(2026, 10, 30)]",10656.0
ORCL,Oracle Corporation,Services-Prepackaged Software,162.76930236816406,0.2325401306152343,0.4629,+1y,市場比指引更悲觀,-23.03598693847656,0.1735047648913743,0.3059027880875323,2026-05-31,"[datetime.date(2026, 9, 11)]",67358.0
AGX,ARGAN INC,Construction - Special Trade Contractors,431.0950012207031,0.3097114562988281,0.19709998,+1y,市場比指引更樂觀,11.261147629882812,0.2902077892462142,0.1536056990252775,2026-07-31,"[datetime.date(2026, 9, 3)]",1188.0
DOCN,"DigitalOcean Holdings, Inc.","Services-Computer Programming, Data Processing, Etc.",125.8498992919922,0.7934608459472656,0.5374,+1y,市場比指引更樂觀,25.606084594726564,0.2140951379182816,0.1480249981950583,2026-06-30,"[datetime.date(2026, 11, 4)]",1011.0
FN,FABRINET,Telephone & Telegraph Apparatus,426.1900024414063,0.3711280822753906,0.1973,+1y,市場比指引更樂觀,17.382808227539062,0.3573130034068108,0.099736549354603,2026-06-26,"[datetime.date(2026, 11, 3)]",4641.0
MTZ,MASTEC INC,"Water, Sewer, Pipeline, Comm & Power Line Construction",249.50999450683597,,0.1892,+1y,資料不足,,0.234607775994271,0.0349054196251647,2026-06-30,"[datetime.date(2026, 10, 30)]",16109.0
AMKR,"AMKOR TECHNOLOGY, INC.",Semiconductors & Related Devices,51.16049957275391,0.5024528503417969,0.1272,+1y,市場比指引更樂觀,37.52528503417969,0.1270930842704114,0.0758224985140233,2026-03-31,"[datetime.date(2026, 10, 27)]",7071.0
CRNC,CERENCE INC.,Services-Prepackaged Software,8.479999542236328,0.3384971618652344,-0.076,+1y,市場比指引更樂觀,41.44971618652344,0.2583768047587489,0.087174549425837,2026-06-30,"[datetime.date(2026, 11, 19)]",309.0
MOD,MODINE MANUFACTURING CO,Motor Vehicle Parts & Accessories,197.02999877929688,0.3954811096191406,0.204,+1y,市場比指引更樂觀,19.148110961914064,0.2946867321867321,0.1012631953504922,2026-06-30,"[datetime.date(2026, 10, 28)]",3372.0
FSLR,"First Solar, Inc.",Semiconductors & Related Devices,214.1699066162109,0.0232963562011718,0.174,+1y,市場比指引更悲觀,-15.070364379882813,0.2382062868645269,0.3364964873092973,2026-06-30,"[datetime.date(2026, 10, 30)]",5378.0
CRUS,"CIRRUS LOGIC, INC.",Semiconductors & Related Devices,111.62249755859376,0.0691719055175781,0.060500003,+1y,與指引重疊,0.8671902517578128,0.0624607699177379,0.2304688681500417,2026-06-27,"[datetime.date(2026, 11, 4)]",2050.0
IPGP,IPG PHOTONICS CORP,Semiconductors & Related Devices,80.06999969482422,,0.0922,+1y,資料不足,,0.1303877191610094,0.0074513251164269,2026-06-30,"[datetime.date(2026, 11, 3)]",1069.0
IREN,IREN Limited,Finance Services,48.31999969482422,,1.5553999,+1y,資料不足,,0.4111268344966199,-1.4804860489358662,2026-06-30,"[datetime.date(2026, 11, 6)]",707.0
GNRC,GENERAC HOLDINGS INC.,Motors & Generators,191.41749572753903,0.5494499206542969,0.20799999,+1y,市場比指引更樂觀,34.14499306542969,0.006137834018715,0.0949568480367816,2026-06-30,"[datetime.date(2026, 10, 28)]",4439.0
CDNS,"CADENCE DESIGN SYSTEMS, INC.",Services-Prepackaged Software,289.9100036621094,0.4853630065917969,0.13430001,+1y,市場比指引更樂觀,35.10629965917968,0.1341845065172477,0.2825032245881562,2026-03-31,"[datetime.date(2026, 10, 27)]",5529.0
TTMI,"TTM TECHNOLOGIES, INC.",Printed Circuit Boards,131.63499450683594,0.5312385559082031,0.23809999,+1y,市場比指引更樂觀,29.313856590820308,0.2759166568434543,0.0989489163142425,2026-06-29,"[datetime.date(2026, 11, 5)]",3377.0
CENX,Century Aluminum Company,Primary Production of  Aluminum,48.25,-0.0513114929199218,0.22670001,+1y,市場比指引更悲觀,-27.801150291992187,0.0967105263157894,0.2528869226154769,2026-06-30,"[datetime.date(2026, 11, 6)]",2667.0
CLS,CELESTICA INC,Printed Circuit Boards,332.9999084472656,0.3196983337402344,0.708,+1y,市場比指引更悲觀,-38.83016662597656,0.4729579114402298,0.0878386610664016,2026-06-30,"[datetime.date(2026, 10, 27)]",15594.0
VIAV,Viavi Solutions Inc.,Semiconductors & Related Devices,38.220001220703125,0.9515419006347656,0.1344,+1y,市場比指引更樂觀,81.71419006347656,0.4002582311168496,0.0692221563590858,2026-06-27,"[datetime.date(2026, 10, 29)]",1518.0
ALB,ALBEMARLE CORPORATION,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",127.56999969482422,,0.0292,+1y,資料不足,,0.1831714557050499,0.0426679241910498,2026-06-30,"[datetime.date(2026, 11, 5)]",5908.0
FLEX,FLEX LTD.,Printed Circuit Boards,113.76000213623048,,0.2992,+1y,資料不足,,0.1224591547135076,0.0495096866778282,2026-06-26,"[datetime.date(2026, 10, 28)]",29267.0
COLL,"Collegium Pharmaceutical, Inc.",Pharmaceutical Preparations,23.229999542236328,-0.2465095520019531,-0.0104,+1y,市場比指引更悲觀,-23.610955200195317,0.1431400254877251,0.1947988636588601,2026-06-30,"[datetime.date(2026, 11, 5)]",808.0
MRCY,"MERCURY SYSTEMS, INC",Electronic Components & Accessories,85.02999877929688,,0.111899994,+1y,資料不足,,0.0785092432183505,0.0002846621974701,2026-07-03,"[datetime.date(2026, 11, 4)]",984.0
SAIA,"Saia, Inc.",Trucking (No Local),357.4649963378906,0.4338798522949219,0.0727,+1y,市場比指引更樂觀,36.11798522949219,0.0483879292095019,0.1104410674005605,2026-06-30,"[datetime.date(2026, 10, 29)]",3392.0
QCOM,QUALCOMM INC/DE,Radio & Tv Broadcasting & Communications Equipment,174.60499572753906,0.2504844665527344,0.0436,+1y,市場比指引更樂觀,20.68844665527344,0.0187715283075571,0.2318863600263223,2026-06-28,"[datetime.date(2026, 10, 30)]",44069.0
HLIT,HARMONIC INC.,Radio & Tv Broadcasting & Communications Equipment,11.994999885559082,0.5884895324707031,0.1071,+1y,市場比指引更樂觀,48.13895324707032,-0.1369703103237507,0.1281877869951642,2026-07-03,"[datetime.date(2026, 10, 27)]",345.0
KRMN,KARMAN HOLDINGS INC.,"Aircraft Parts & Auxiliary Equipment, NEC",40.810001373291016,0.3736915588378906,0.2739,+1y,市場比指引更樂觀,9.979155883789064,0.5023227249908899,0.1681887263549271,2026-06-30,"[datetime.date(2026, 11, 6)]",590.0
PUMP,ProPetro Holding Corp.,"Oil & Gas Field Services, NEC",11.949999809265137,,0.1724,+1y,資料不足,,-0.1513560094485032,-0.0096587583517443,2026-06-30,"[datetime.date(2026, 10, 28)]",1160.0
SANM,Sanmina Corporation,Printed Circuit Boards,207.7100067138672,,0.1598,+1y,資料不足,,0.5856115197288774,0.0415482679655501,2026-06-27,"[datetime.date(2026, 11, 3)]",12763.0
CRDO,Credo Technology Group Holding Ltd,Semiconductors & Related Devices,174.19650268554688,0.1752357482910156,0.5473,+1y,市場比指引更悲觀,-37.20642517089844,1.6511451590058903,0.3173782011193901,2026-08-01,"[datetime.date(2026, 12, 1)]",1591.0
CLVT,CLARIVATE PLC,Services-Computer Processing & Data Preparation,1.9149999618530276,,-0.065,+1y,資料不足,,-0.0325003953819389,0.0500612995504699,2026-03-31,"[datetime.date(2026, 10, 28)]",2447.0
MTSI,"MACOM Technology Solutions Holdings, Inc.",Semiconductors & Related Devices,277.3500061035156,0.6775703430175781,0.35720003,+1y,市場比指引更樂觀,32.037031301757814,0.2836089184140238,0.1811363484064077,2026-07-03,"[datetime.date(2026, 11, 5)]",1164.0
TDC,TERADATA CORPORATION,Services-Prepackaged Software,27.780000686645508,0.4596214294433594,0.013300001,+1y,市場比指引更樂觀,44.63214284433594,0.0095522388059701,0.0751034890597279,2026-06-30,"[datetime.date(2026, 11, 4)]",1691.0
LULU,lululemon athletica inc.,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,103.41999816894533,-0.0633277893066406,0.0005,+1y,市場比指引更悲觀,-6.382778930664062,0.0174173122685947,0.178365154717141,2026-08-02,"[datetime.date(2026, 9, 4)]",11094.0
DRS,"Leonardo DRS, Inc.","Search, Detection, Navigation, Guidance, Aeronautical Sys",37.16999816894531,0.4105949401855469,0.0683,+1y,市場比指引更樂觀,34.22949401855468,0.1046477638117509,0.1053188674252447,2026-06-30,"[datetime.date(2026, 10, 29)]",3779.0
ACLS,AXCELIS TECHNOLOGIES INC,"Special Industry Machinery, NEC",119.8927001953125,0.6386909484863281,0.1191,+1y,市場比指引更樂觀,51.959094848632816,-0.0334967101445393,0.1032512308445487,2026-06-30,"[datetime.date(2026, 11, 3)]",866.0
