event_id,ticker,model,scenario,price,value_per_share,pct_vs_price,note
E08,AAPL,現金流,部分真,223.89,77.07,-0.6557,"Δ收入-3% Δ毛利-0.8pp ⇒ Δ稅後現金流 -2.426e+09、損害後 1.059e+11;為維持現價,市場須付的無增長倍數升至 2.90 倍"
E08,AAPL,現金流,不成立,223.89,78.39,-0.6499,"Δ收入-1% Δ毛利-0.2pp ⇒ Δ稅後現金流 -6.190e+08、損害後 1.077e+11;為維持現價,市場須付的無增長倍數升至 2.86 倍"
E08,AAPL,現金流,現價要求,223.89,,,"現價隱含的無增長現金流倍數 2.84 倍(1.00 = 市場只按無增長定價;>1 = 現價已要求現金流高於現時,<1 = 現價低於無增長價值)"
E12,QCOM,現金流,全真,81.5,47.0,-0.4233,"Δ收入-8% Δ毛利-2.0pp ⇒ Δ稅後現金流 -3.349e+08、損害後 3.560e+09;為維持現價,市場須付的無增長倍數升至 1.73 倍"
E12,QCOM,現金流,部分真,81.5,49.12,-0.3973,"Δ收入-4% Δ毛利-1.0pp ⇒ Δ稅後現金流 -1.747e+08、損害後 3.720e+09;為維持現價,市場須付的無增長倍數升至 1.66 倍"
E12,QCOM,現金流,不成立,81.5,50.95,-0.3749,"Δ收入-1% Δ毛利-0.2pp ⇒ Δ稅後現金流 -3.603e+07、損害後 3.859e+09;為維持現價,市場須付的無增長倍數升至 1.60 倍"
E12,QCOM,現金流,現價要求,81.5,,,"現價隱含的無增長現金流倍數 1.58 倍(1.00 = 市場只按無增長定價;>1 = 現價已要求現金流高於現時,<1 = 現價低於無增長價值)"
E12,SWKS,現金流,全真,70.41,89.72,0.2743,"Δ收入-8% Δ毛利-3.0pp ⇒ Δ稅後現金流 -8.434e+07、損害後 1.176e+09;為維持現價,市場須付的無增長倍數升至 0.78 倍(補數)"
E12,SWKS,現金流,部分真,70.41,93.47,0.3275,"Δ收入-4% Δ毛利-1.2pp ⇒ Δ稅後現金流 -3.520e+07、損害後 1.225e+09;為維持現價,市場須付的無增長倍數升至 0.75 倍(補數)"
E12,SWKS,現金流,不成立,70.41,95.46,0.3558,"Δ收入-1% Δ毛利-0.3pp ⇒ Δ稅後現金流 -9.075e+06、損害後 1.252e+09;為維持現價,市場須付的無增長倍數升至 0.74 倍(補數)"
E12,SWKS,現金流,現價要求,70.41,,,"現價隱含的無增長現金流倍數 0.73 倍(1.00 = 市場只按無增長定價;>1 = 現價已要求現金流高於現時,<1 = 現價低於無增長價值)(補數)"
E12,MU,現金流,全真,36.06,210.76,4.8447,"Δ收入-10% Δ毛利-4.0pp ⇒ Δ稅後現金流 -8.528e+08、損害後 1.681e+10;為維持現價,市場須付的無增長倍數升至 0.17 倍"
E12,MU,現金流,部分真,36.06,217.22,5.0238,"Δ收入-5% Δ毛利-1.5pp ⇒ Δ稅後現金流 -3.376e+08、損害後 1.732e+10;為維持現價,市場須付的無增長倍數升至 0.17 倍"
E12,MU,現金流,不成立,36.06,220.29,5.1089,"Δ收入-2% Δ毛利-0.4pp ⇒ Δ稅後現金流 -9.286e+07、損害後 1.757e+10;為維持現價,市場須付的無增長倍數升至 0.16 倍"
E12,MU,現金流,現價要求,36.06,,,"現價隱含的無增長現金流倍數 0.16 倍(1.00 = 市場只按無增長定價;>1 = 現價已要求現金流高於現時,<1 = 現價低於無增長價值)"
E12,LITE,現金流,全真,46.32,47.28,0.0208,"Δ收入-11% Δ毛利-3.0pp ⇒ Δ稅後現金流 -2.632e+07、損害後 2.212e+08;為維持現價,市場須付的無增長倍數升至 0.98 倍"
E12,LITE,現金流,部分真,46.32,50.51,0.0904,"Δ收入-5% Δ毛利-1.2pp ⇒ Δ稅後現金流 -1.124e+07、損害後 2.363e+08;為維持現價,市場須付的無增長倍數升至 0.92 倍"
E12,LITE,現金流,不成立,46.32,52.29,0.1289,"Δ收入-2% Δ毛利-0.3pp ⇒ Δ稅後現金流 -2.898e+06、損害後 2.446e+08;為維持現價,市場須付的無增長倍數升至 0.89 倍"
E12,LITE,現金流,現價要求,46.32,,,"現價隱含的無增長現金流倍數 0.88 倍(1.00 = 市場只按無增長定價;>1 = 現價已要求現金流高於現時,<1 = 現價低於無增長價值)"
E13,ASAN,久期,折現率+100bp,71.66,29.41,-0.5895,利率升 100bp、增長不變 ⇒ 價值 ×0.410。折現率 r=6.63%、成熟期現金流 0.813 億(收入 3.254 億 × 假設轉換率 25%);現價隱含永續增長 g*=5.93%(r−CF/市值)(補數)
E13,ASAN,久期,折現率+200bp,71.66,18.5,-0.7418,利率升 200bp、增長不變 ⇒ 價值 ×0.258。折現率 r=6.63%、成熟期現金流 0.813 億(收入 3.254 億 × 假設轉換率 25%);現價隱含永續增長 g*=5.93%(r−CF/市值)(補數)
E13,ASAN,久期,現價要求,71.66,,,"要令利率升 100bp 後價值仍等於現價,隱含永續增長須由 5.93% 同步升至 6.93%(即價值毫髮無傷);若增長不變,該情境下現價須跌 59.0%。折現率 r=6.63%、成熟期現金流 0.813 億(收入 3.254 億 × 假設轉換率 25%);現價隱含永續增長 g*=5.93%(r−CF/市值)(補數)"
E13,BILL,久期,折現率+100bp,233.54,56.88,-0.7564,利率升 100bp、增長不變 ⇒ 價值 ×0.244。折現率 r=6.63%、成熟期現金流 0.771 億(收入 3.085 億 × 假設轉換率 25%);現價隱含永續增長 g*=6.31%(r−CF/市值)
E13,BILL,久期,折現率+200bp,233.54,32.38,-0.8613,利率升 200bp、增長不變 ⇒ 價值 ×0.139。折現率 r=6.63%、成熟期現金流 0.771 億(收入 3.085 億 × 假設轉換率 25%);現價隱含永續增長 g*=6.31%(r−CF/市值)
E13,BILL,久期,現價要求,233.54,,,"要令利率升 100bp 後價值仍等於現價,隱含永續增長須由 6.31% 同步升至 7.31%(即價值毫髮無傷);若增長不變,該情境下現價須跌 75.6%。折現率 r=6.63%、成熟期現金流 0.771 億(收入 3.085 億 × 假設轉換率 25%);現價隱含永續增長 g*=6.31%(r−CF/市值)"
E13,DOCU,久期,折現率+100bp,157.01,95.11,-0.3943,利率升 100bp、增長不變 ⇒ 價值 ×0.606。折現率 r=6.63%、成熟期現金流 4.773 億(收入 19.093 億 × 假設轉換率 25%);現價隱含永續增長 g*=5.09%(r−CF/市值)
E13,DOCU,久期,折現率+200bp,157.01,68.21,-0.5656,利率升 200bp、增長不變 ⇒ 價值 ×0.434。折現率 r=6.63%、成熟期現金流 4.773 億(收入 19.093 億 × 假設轉換率 25%);現價隱含永續增長 g*=5.09%(r−CF/市值)
E13,DOCU,久期,現價要求,157.01,,,"要令利率升 100bp 後價值仍等於現價,隱含永續增長須由 5.09% 同步升至 6.09%(即價值毫髮無傷);若增長不變,該情境下現價須跌 39.4%。折現率 r=6.63%、成熟期現金流 4.773 億(收入 19.093 億 × 假設轉換率 25%);現價隱含永續增長 g*=5.09%(r−CF/市值)"
E13,MSFT,久期,折現率+100bp,334.75,240.53,-0.2815,利率升 100bp、增長不變 ⇒ 價值 ×0.719。折現率 r=6.63%、成熟期現金流 616.878 億(收入 1762.510 億 × 假設轉換率 35%);現價隱含永續增長 g*=4.08%(r−CF/市值)
E13,MSFT,久期,折現率+200bp,334.75,187.7,-0.4393,利率升 200bp、增長不變 ⇒ 價值 ×0.561。折現率 r=6.63%、成熟期現金流 616.878 億(收入 1762.510 億 × 假設轉換率 35%);現價隱含永續增長 g*=4.08%(r−CF/市值)
E13,MSFT,久期,現價要求,334.75,,,"要令利率升 100bp 後價值仍等於現價,隱含永續增長須由 4.08% 同步升至 5.08%(即價值毫髮無傷);若增長不變,該情境下現價須跌 28.1%。折現率 r=6.63%、成熟期現金流 616.878 億(收入 1762.510 億 × 假設轉換率 35%);現價隱含永續增長 g*=4.08%(r−CF/市值)"
E14,CHGG,現金流,全真,17.6,23.28,0.3224,"Δ收入-20% Δ毛利-2.0pp ⇒ Δ稅後現金流 -9.508e+06、損害後 2.394e+08;為維持現價,市場須付的無增長倍數升至 0.76 倍"
E14,CHGG,現金流,部分真,17.6,23.68,0.3454,"Δ收入-10% Δ毛利-1.0pp ⇒ Δ稅後現金流 -5.349e+06、損害後 2.435e+08;為維持現價,市場須付的無增長倍數升至 0.74 倍"
E14,CHGG,現金流,不成立,17.6,24.2,0.375,"Δ收入-2% Δ毛利+0.0pp ⇒ Δ稅後現金流 0.000e+00、損害後 2.489e+08;為維持現價,市場須付的無增長倍數升至 0.73 倍"
E14,CHGG,現金流,現價要求,17.6,,,"現價隱含的無增長現金流倍數 0.73 倍(1.00 = 市場只按無增長定價;>1 = 現價已要求現金流高於現時,<1 = 現價低於無增長價值)"
E14,DUOL,現金流,全真,139.39,14.58,-0.8954,"Δ收入-5% Δ毛利-1.0pp ⇒ Δ稅後現金流 -2.773e+06、損害後 5.088e+07;為維持現價,市場須付的無增長倍數升至 9.56 倍(補數)"
E14,DUOL,現金流,部分真,139.39,14.96,-0.8927,"Δ收入-2% Δ毛利-0.5pp ⇒ Δ稅後現金流 -1.430e+06、損害後 5.223e+07;為維持現價,市場須付的無增長倍數升至 9.32 倍(補數)"
E14,DUOL,現金流,不成立,139.39,15.37,-0.8897,"Δ收入+0% Δ毛利+0.0pp ⇒ Δ稅後現金流 0.000e+00、損害後 5.366e+07;為維持現價,市場須付的無增長倍數升至 9.07 倍(補數)"
E14,DUOL,現金流,現價要求,139.39,,,"現價隱含的無增長現金流倍數 9.07 倍(1.00 = 市場只按無增長定價;>1 = 現價已要求現金流高於現時,<1 = 現價低於無增長價值)(補數)"
