ticker,membership,anchor_from,anchor_to,was_anchor,now_anchor,company,verdict,evidence
EQR,2001-12-03~仍在名單上,2001-12-03,,(佔位錨),0000906107,Equity Residential,人手辨明,"SEC cik-lookup-data.txt:EQUITY RESIDENTIAL → 0000906107。SEC submissions 0000906107:名稱窗口 EQUITY RESIDENTIAL PROPERTIES TRUST 1994-02-10~2002-10-30、EQUITY RESIDENTIAL 2002-11-13~2026-08-12,今名 VIVMARK RESIDENTIAL、代號 VMRK。「今日對照查無 EQR」的原因就在這裡:同一實體 2026-08 改名換代號,仍在名單上。維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):現役名單載 VMRK/Vivmark Residential"
ESRX,2003-09-26~2018-12-21,2003-09-26,2012-04-03,(佔位錨),0000885721,Express Scripts Inc. (2003-2012),人手辨明,"SEC cik-lookup-data.txt:EXPRESS SCRIPTS INC → 0000885721。SEC submissions 0000885721:申報 1996-05-10~2018-04-20。拆點 2012-04-03 取自 維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):當日因「Express Scripts 收購 Medco」而剔除 MHS,同時新設的控股公司 0001532063 接手做上市母體。本段在快照窗口之外"
ESRX,2003-09-26~2018-12-21,2012-04-03,2018-12-21,(佔位錨),0001532063,Express Scripts Holding Co.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2018-12-24 剔除,代號 ESRX、公司名 Express Scripts,理由 Cigna 收購。SEC submissions 0001532063:名稱窗口 Aristotle Holding, Inc. 2011-10-06~2011-11-18、其後 Express Scripts Holding Co.;申報 2011-10-06~2019-07-26,覆蓋成分期餘下整段"
EVHC,2016-12-02~2018-10-11,2016-12-02,2018-10-11,(佔位錨),0001678531,Envision Healthcare Corp.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2016-12-02 加入、2018-10-11 剔除,兩次都寫代號 EVHC、公司名 Envision Healthcare。SEC cik-lookup-data.txt:ENVISION HEALTHCARE CORP 有兩個 CIK。SEC submissions 分辨:0001678531 名稱窗口 New Amethyst Corp. 2016-08-04~2016-11-29、其後 Envision Healthcare Corp,申報 2016-08-04~2019-02-14,整段覆蓋成分期;0001344154 申報止於 2014-06-20,蓋不住成分期,排除"
FB,2013-12-23~2022-06-09,2013-12-23,2022-06-09,(佔位錨),0001326801,Facebook Inc.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2013-12-23 加入,代號 FB、公司名 Facebook。SEC cik-lookup-data.txt:FACEBOOK INC → 0001326801。SEC submissions 0001326801:名稱窗口 Facebook Inc 2005-05-06~2021-10-27,今名 Meta Platforms, Inc.、代號 META。本倉成分歷史:FB 於 2022-06-09 剔除,同日 META 加入——同一實體改名換代號"
HOT,2000-11-17~2016-09-23,2000-11-17,2016-09-23,(佔位錨),0000316206,"Starwood Hotels & Resorts Worldwide, Inc.",人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2016-09-22 剔除,代號 HOT、公司名 Starwood Hotels and Resorts(Marriott 收購)。SEC cik-lookup-data.txt:STARWOOD HOTELS & RESORTS WORLDWIDE, LLC → 0000316206。SEC submissions 0000316206:名稱窗口 STARWOOD HOTEL & RESORTS WORLDWIDE INC 1998-04-10~2011-12-12 與 2012-01-04~2016-09-23——**窗口訖日與成分期訖日同日**;申報 1994-05-17 起,整段覆蓋成分期。配對的 REIT 0000048595(STARWOOD HOTELS & RESORTS)申報止於 2013-03-21,蓋不住成分期,排除"
INFO,2017-06-02~2022-03-02,2017-06-02,2022-03-02,(佔位錨),0001598014,IHS Markit Ltd.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2017-06-02 加入、2022-03-02 剔除,兩次都寫代號 INFO、公司名 IHS Markit。SEC cik-lookup-data.txt:IHS MARKIT LTD. → 0001598014。SEC submissions 0001598014:名稱窗口 Markit Ltd. 2014-01-27~2016-07-11、其後 IHS Markit Ltd.;申報 2014-01-27~2022-03-11,整段覆蓋成分期"
LB,1996-01-02~2021-08-03,1996-01-02,2021-08-03,(佔位錨),0000701985,"L Brands, Inc. (前稱 The Limited)",人手辨明,"SEC cik-lookup-data.txt:LIMITED INC / LIMITED BRANDS INC / L BRANDS, INC. 三個名同錨 0000701985。SEC submissions 0000701985:名稱窗口 LIMITED INC 1994-06-13~2002-06-12、LIMITED BRANDS INC 2002-06-17~2013-03-22、L Brands, Inc. 2013-04-02~2021-07-30,今名 Bath & Body Works, Inc.、代號 BBWI;申報 1994-03-11 起,整段覆蓋成分期。本倉成分歷史:LB 於 2021-08-03 剔除,同日 BBWI 加入——同一實體改名換代號。原錨 0001995807(LandBridge Co LLC)申報 2023-10-11 才起,當時並不存在"
NFX,2010-12-20~2019-02-15,2010-12-20,2019-02-15,(佔位錨),0000912750,Newfield Exploration Co.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2010-12-17 加入、2019-02-15 剔除,兩次都寫代號 NFX、公司名 Newfield Exploration。SEC cik-lookup-data.txt:NEWFIELD EXPLORATION CO /DE/ → 0000912750。SEC submissions 0000912750:申報 1995-02-10~2019-02-25,整段覆蓋成分期,被 Encana 收購後即停止申報"
PCG,1996-01-02~2019-01-18,1996-01-02,2019-01-18,0001004980,0001004980,PG&E Corp.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2019-01-18 剔除,代號 PCG、公司名 Pacific Gas & Electric Company。SEC cik-lookup-data.txt:PG&E CORP → 0001004980。SEC submissions 0001004980:申報 1996-02-21 起,今日代號欄仍是 PCG,一路至 2026;原錨確認正確。成分期起點 1996-01-02 是成分歷史來源的第一日:控股公司 PG&E Corp 成立之前,上市體是公用事業本身 0000075488(PACIFIC GAS & ELECTRIC Co);那一截(1997 年之前)在快照窗口(2015-01-02 起)之外,故此本段不拆"
PCL,2002-01-17~2016-02-22,2002-01-17,2016-02-22,(佔位錨),0000849213,"Plum Creek Timber Co., Inc.",人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2016-02-22 剔除,代號 PCL、公司名 Plum Creek Timber(與 Weyerhaeuser 合併)。SEC cik-lookup-data.txt:PLUM CREEK TIMBER CO INC → 0000849213。SEC submissions 0000849213:名稱窗口 PLUM CREEK TIMBER CO L P 1994-08-15~1999-04-12、其後 PLUM CREEK TIMBER CO INC;申報 1994-03-14~2016-03-04,整段覆蓋成分期"
POM,2007-11-09~2016-03-24,2007-11-09,2016-03-24,(佔位錨),0001135971,"Pepco Holdings, Inc.",人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2016-03-30 剔除,代號 POM、公司名 Pepco Holdings(Exelon 收購)。SEC cik-lookup-data.txt:PEPCO HOLDINGS INC → 0001135971。SEC submissions 0001135971:名稱窗口 NEW RC INC 2001-07-20~2002-01-09、PEPCO HOLDINGS INC 2002-03-27~2016-03-24——**窗口訖日與成分期訖日同日**;申報 2001-03-14 起,整段覆蓋成分期。原錨 0001877971(POMDOCTOR Ltd)申報 2021-09-30 才起,當時並不存在"
SBNY,2021-12-20~2023-03-15,2021-12-20,2023-03-15,(佔位錨),0001288784,Signature Bank,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2021-12-20 加入、2023-03-15 剔除,兩次都寫代號 SBNY、公司名 Signature Bank,剔除理由「FDIC 接管」。SEC cik-lookup-data.txt:SIGNATURE BANK CORP → 0001288784。SEC submissions 0001288784:申報 2004-04-26~2025-02-24,整段覆蓋成分期"
SCG,2009-01-02~2019-01-02,2009-01-02,2019-01-02,(佔位錨),0000754737,SCANA Corp.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2019-01-02 剔除,代號 SCG、公司名 SCANA(Dominion Energy 收購)。SEC cik-lookup-data.txt:SCANA CORP → 0000754737。SEC submissions 0000754737:申報 1994-01-13~2019-03-01,整段覆蓋成分期"
SE,2007-01-03~2017-02-27,2007-01-03,2017-02-27,(佔位錨),0001373835,Spectra Energy Corp.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2017-02-28 剔除,代號 SE、公司名 Spectra Energy(與 Enbridge 合併)。SEC cik-lookup-data.txt:SPECTRA ENERGY CORP. → 0001373835。SEC submissions 0001373835:名稱窗口 Gas SpinCo, Inc. 2006-09-07~2006-10-23、其後 Spectra Energy Corp.;申報 2006-09-07~2018-02-14,整段覆蓋成分期。今日持有 SE 代號的 0001703399(Sea Limited)申報 2017-04-24 才起——082 的第三關(原主要先放低該名稱)當時把它擋走,判詞正確,現補回真身"
SPLS,1998-10-07~2017-09-13,1998-10-07,2017-09-13,(佔位錨),0000791519,"Staples, Inc.",人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2017-09-18 剔除,代號 SPLS、公司名 Staples(Sycamore Partners 私有化)。SEC cik-lookup-data.txt:STAPLES INC → 0000791519。SEC submissions 0000791519:申報 1994-10-07~2021-11-08,整段覆蓋成分期"
STI,1996-01-02~2019-12-09,1996-01-02,2019-12-09,(佔位錨),0000750556,"SunTrust Banks, Inc.",人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2019-12-09 剔除,代號 STI、公司名 SunTrust Banks,理由「BB&T 收購 SunTrust 組成 Truist Financial」。SEC cik-lookup-data.txt:SUNTRUST BANKS INC → 0000750556。SEC submissions 0000750556:申報 1995-02-06~2019-12-19,整段覆蓋成分期,合併完成後即停止申報。原錨 0001881551(Solidion Technology)申報 2021-09-27 才起,當時並不存在"
TE,2001-10-10~2016-07-01,2001-10-10,2016-07-01,(佔位錨),0000350563,"TECO Energy, Inc.",人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2016-07-01 剔除,代號 TE、公司名 TECO Energy(Emera 收購)。SEC cik-lookup-data.txt:TECO ENERGY INC → 0000350563。SEC submissions 0000350563:申報 1994-01-28~2016-12-16,整段覆蓋成分期。原錨 0001992243(FREYR Battery / T1 Energy)申報 2023-09-08 才起,當時並不存在"
TWX,1996-01-02~2018-06-15,1996-01-02,1996-10-11,(佔位錨),0000736157,Time Warner Inc. (1990-1996),人手辨明,SEC cik-lookup-data.txt:TIME WARNER INC → 0000736157。SEC submissions 0000736157(今名 TIME WARNER COMPANIES INC):名稱窗口 TIME WARNER INC 1994-04-13~1996-10-11。拆點 1996-10-11 就是這個名稱窗口的訖日——同月另一個 CIK 接上同一個名(見下一列)。本段在快照窗口之外
TWX,1996-01-02~2018-06-15,1996-10-11,2002-02-11,(佔位錨),0001021387,Time Warner Inc. (1996-2002),人手辨明,"SEC cik-lookup-data.txt:TIME WARNER INC/ → 0001021387。SEC submissions 0001021387(今名 HISTORIC TW INC):名稱窗口 TW INC 1996-10-15~1996-10-11、TIME WARNER INC/ 1996-10-22~2002-02-11。拆點取自名稱窗口兩端。註:2001-01 AOL 與 Time Warner 合併之後,上市母體已轉為 0001105705,本列的訖日按名稱窗口寫,比上市母體易手略遲;兩段都在快照窗口之外,不影響快照"
TWX,1996-01-02~2018-06-15,2002-02-11,2018-06-15,(佔位錨),0001105705,Time Warner Inc.,人手辨明,"維基百科《Historical components of the S&P 500》成分變動表(2026-08-30 取):2018-06-20 剔除,代號 TWX、公司名 Time Warner(AT&T 收購)。SEC cik-lookup-data.txt:TIME WARNER INC. → 0001105705。SEC submissions 0001105705(今名 WARNER MEDIA, LLC):名稱窗口 AOL TIME WARNER INC 2000-04-25~2003-10-14、TIME WARNER INC 2003-10-01~2007-11-09、TIME WARNER INC. 2007-12-11~2018-06-11、TIME WARNER LLC 2018-06-15~2018-06-18;申報 2000-02-11~2020-10-23。快照窗口(2015-01-02 起)之內的 TWX 全屬本列"
