ticker,cik,valid_from,valid_to,display_name,verdict,evidence
EOG,0000821189,2000-11-02,,EOG Resources,今日對照,"成分期由 2000-11-02 起一路未結束,代號今日仍屬 0000821189"
EPAM,0001352010,2021-12-14,2026-06-02,,今日對照·已核實,"成分期 2021-12-14~2026-06-02 結束後,0001352010 未改過名(現名 EPAM Systems, Inc.);視為同一實體一路持有"
EQIX,0001101239,2015-03-23,,Equinix,今日對照,"成分期由 2015-03-23 起一路未結束,代號今日仍屬 0001101239"
EQR,,2001-12-03,,,佔位錨,"成分期仍未結束,但今日的代號→CIK 對照查無此代號"
EQT,0000033213,2008-12-19,2018-11-13,EQT Corporation,今日對照·已核實,"成分期 2008-12-19~2018-11-13 結束後,0000033213 未改過名(現名 EQT Corp);視為同一實體一路持有"
ERIE,0000922621,2024-09-23,,Erie Indemnity,今日對照,"成分期由 2024-09-23 起一路未結束,代號今日仍屬 0000922621"
ES,0000072741,2009-03-17,,Eversource Energy,今日對照,"成分期由 2009-03-17 起一路未結束,代號今日仍屬 0000072741"
ESRX,,2003-09-26,2018-12-21,,佔位錨,"成分期 2003-09-26~2018-12-21 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
ESS,0000920522,2014-04-02,,Essex Property Trust,今日對照,"成分期由 2014-04-02 起一路未結束,代號今日仍屬 0000920522"
ETN,0001551182,1996-01-02,,Eaton Corporation,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001551182"
ETR,0000065984,1996-01-02,,Entergy,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000065984"
ETSY,0001370637,2020-09-21,2024-09-23,,今日對照·已核實,"成分期 2020-09-21~2024-09-23 結束後,0001370637 未改過名(現名 ETSY INC);視為同一實體一路持有"
EVHC,,2016-12-02,2018-10-11,,佔位錨,"成分期 2016-12-02~2018-10-11 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
EVRG,0001711269,2018-06-05,,Evergy,今日對照,"成分期由 2018-06-05 起一路未結束,代號今日仍屬 0001711269"
EW,0001099800,2011-04-01,,Edwards Lifesciences,今日對照,"成分期由 2011-04-01 起一路未結束,代號今日仍屬 0001099800"
EXC,0001109357,1996-01-02,,Exelon,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001109357"
EXE,0000895126,2025-03-24,,Expand Energy,今日對照,"成分期由 2025-03-24 起一路未結束,代號今日仍屬 0000895126"
EXPD,0000746515,2007-10-10,,Expeditors International,今日對照,"成分期由 2007-10-10 起一路未結束,代號今日仍屬 0000746515"
EXPE,0001324424,2007-10-02,,Expedia Group,今日對照,"成分期由 2007-10-02 起一路未結束,代號今日仍屬 0001324424"
EXR,0001289490,2016-01-19,,Extra Space Storage,今日對照,"成分期由 2016-01-19 起一路未結束,代號今日仍屬 0001289490"
F,0000037996,1996-01-02,,Ford Motor Company,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000037996"
FANG,0001539838,2018-12-03,,Diamondback Energy,今日對照,"成分期由 2018-12-03 起一路未結束,代號今日仍屬 0001539838"
FAST,0000815556,2008-09-15,,Fastenal,今日對照,"成分期由 2008-09-15 起一路未結束,代號今日仍屬 0000815556"
FCPT,0001650132,2015-11-10,2015-11-17,,今日對照·已核實,"成分期 2015-11-10~2015-11-17 結束後,0001650132 未改過名(現名 Four Corners Property Trust, Inc.);視為同一實體一路持有"
FCX,0000831259,1996-01-02,,Freeport-McMoRan,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000831259"
FDS,0001013237,2021-12-20,,FactSet,今日對照,"成分期由 2021-12-20 起一路未結束,代號今日仍屬 0001013237"
FDX,0001048911,1996-01-02,,FedEx,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001048911"
FDXF,0002082247,2026-06-01,,FedEx Freight,今日對照,"成分期由 2026-06-01 起一路未結束,代號今日仍屬 0002082247"
FE,0001031296,1996-01-02,,FirstEnergy,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001031296"
FERG,0002011641,2026-08-05,,Ferguson Enterprises,今日對照,"成分期由 2026-08-05 起一路未結束,代號今日仍屬 0002011641"
FFIV,0001048695,2010-12-20,,"F5, Inc.",今日對照,"成分期由 2010-12-20 起一路未結束,代號今日仍屬 0001048695"
FICO,0000814547,2023-03-20,,Fair Isaac,今日對照,"成分期由 2023-03-20 起一路未結束,代號今日仍屬 0000814547"
FIS,0001136893,2006-11-10,,Fidelity National Information Services,今日對照,"成分期由 2006-11-10 起一路未結束,代號今日仍屬 0001136893"
FISV,0000798354,2001-04-02,2023-06-07,Fiserv,今日對照·已核實,"成分期 2001-04-02~2023-06-07 結束後,0000798354 未改過名(現名 FISERV INC);視為同一實體一路持有"
FITB,0000035527,1996-03-08,,Fifth Third Bancorp,今日對照,"成分期由 1996-03-08 起一路未結束,代號今日仍屬 0000035527"
FIX,0001035983,2025-12-22,,Comfort Systems USA,今日對照,"成分期由 2025-12-22 起一路未結束,代號今日仍屬 0001035983"
FLEX,0000866374,2026-06-22,,Flex Ltd.,今日對照,"成分期由 2026-06-22 起一路未結束,代號今日仍屬 0000866374"
FLR,0001124198,2000-12-22,2019-06-03,,今日對照·已核實,"成分期 2000-12-22~2019-06-03 結束後,0001124198 未改過名(現名 FLUOR CORP);視為同一實體一路持有"
FLS,0000030625,2008-10-02,2021-03-22,,今日對照·已核實,"成分期 2008-10-02~2021-03-22 結束後,0000030625 未改過名(現名 FLOWSERVE CORP);視為同一實體一路持有"
FMC,0000037785,2009-08-19,2025-03-24,,今日對照·已核實,"成分期 2009-08-19~2025-03-24 結束後,0000037785 未改過名(現名 FMC CORP);視為同一實體一路持有"
FOSL,0000883569,2012-04-04,2016-01-05,,今日對照·已核實,"成分期 2012-04-04~2016-01-05 結束後,0000883569 未改過名(現名 Fossil Group, Inc.);視為同一實體一路持有"
FOXA,0001754301,2004-12-20,,Fox Corporation (Class A),今日對照,"成分期由 2004-12-20 起一路未結束,代號今日仍屬 0001754301"
FRT,0000034903,2016-02-01,,Federal Realty Investment Trust,今日對照,"成分期由 2016-02-01 起一路未結束,代號今日仍屬 0000034903"
FSLR,0001274494,2009-10-16,2017-03-20,First Solar,今日對照·已核實,"成分期 2009-10-16~2017-03-20 結束後,0001274494 未改過名(現名 FIRST SOLAR, INC.);視為同一實體一路持有"
FTI,0001681459,2009-06-05,2021-02-12,,今日對照·已核實,"成分期 2009-06-05~2021-02-12 結束後,0001681459 未改過名(現名 TechnipFMC plc);視為同一實體一路持有"
FTNT,0001262039,2018-10-11,,Fortinet,今日對照,"成分期由 2018-10-11 起一路未結束,代號今日仍屬 0001262039"
FTV,0001659166,2016-07-05,,Fortive,今日對照,"成分期由 2016-07-05 起一路未結束,代號今日仍屬 0001659166"
GD,0000040533,1996-01-02,,General Dynamics,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000040533"
GDDY,0001609711,2024-06-24,,GoDaddy,今日對照,"成分期由 2024-06-24 起一路未結束,代號今日仍屬 0001609711"
GE,0000040545,1996-01-02,,GE Aerospace,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000040545"
GEHC,0001932393,2023-01-04,,GE HealthCare,今日對照,"成分期由 2023-01-04 起一路未結束,代號今日仍屬 0001932393"
GEN,0000849399,2022-11-08,,Gen Digital,今日對照,"成分期由 2022-11-08 起一路未結束,代號今日仍屬 0000849399"
GEV,0001996810,2024-04-02,,GE Vernova,今日對照,"成分期由 2024-04-02 起一路未結束,代號今日仍屬 0001996810"
GILD,0000882095,2004-07-01,,Gilead Sciences,今日對照,"成分期由 2004-07-01 起一路未結束,代號今日仍屬 0000882095"
GIS,0000040704,1996-01-02,,General Mills,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000040704"
GL,0000320335,2019-08-08,,Globe Life,今日對照,"成分期由 2019-08-08 起一路未結束,代號今日仍屬 0000320335"
GLW,0000024741,1996-01-02,,Corning Inc.,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000024741"
GM,0001467858,2013-06-07,,General Motors,今日對照,"成分期由 2013-06-07 起一路未結束,代號今日仍屬 0001467858"
GME,0001326380,2007-12-14,2016-04-25,,今日對照·已核實,"成分期 2007-12-14~2016-04-25 結束後,0001326380 未改過名(現名 GameStop Corp.);視為同一實體一路持有"
GNRC,0001474735,2021-03-22,,Generac,今日對照,"成分期由 2021-03-22 起一路未結束,代號今日仍屬 0001474735"
GNW,0001276520,2005-12-02,2015-11-18,,今日對照·已核實,"成分期 2005-12-02~2015-11-18 結束後,0001276520 未改過名(現名 GENWORTH FINANCIAL INC);視為同一實體一路持有"
GOOGL,0001652044,2006-04-03,,Alphabet Inc. (Class A),今日對照,"成分期由 2006-04-03 起一路未結束,代號今日仍屬 0001652044"
GPC,0000040987,1996-01-02,,Genuine Parts Company,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000040987"
GPN,0001123360,2016-04-25,,Global Payments,今日對照,"成分期由 2016-04-25 起一路未結束,代號今日仍屬 0001123360"
GRMN,0001121788,2012-12-12,,Garmin,今日對照,"成分期由 2012-12-12 起一路未結束,代號今日仍屬 0001121788"
GS,0000886982,2002-07-22,,Goldman Sachs,今日對照,"成分期由 2002-07-22 起一路未結束,代號今日仍屬 0000886982"
GT,0000042582,1996-01-02,2019-02-27,,今日對照·已核實,"成分期 1996-01-02~2019-02-27 結束後,0000042582 未改過名(現名 GOODYEAR TIRE & RUBBER CO /OH/);視為同一實體一路持有"
GWW,0000277135,1996-01-02,,W. W. Grainger,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000277135"
HAL,0000045012,1996-01-02,,Halliburton,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000045012"
HAS,0000046080,1996-01-02,,Hasbro,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000046080"
HBAN,0000049196,1997-08-06,,Huntington Bancshares,今日對照,"成分期由 1997-08-06 起一路未結束,代號今日仍屬 0000049196"
HCA,0000860730,2015-01-27,,HCA Healthcare,今日對照,"成分期由 2015-01-27 起一路未結束,代號今日仍屬 0000860730"
HD,0000354950,1996-01-02,,Home Depot (The),今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000354950"
HIG,0000874766,1996-01-02,,Hartford (The),今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000874766"
HII,0001501585,2018-01-03,,Huntington Ingalls Industries,今日對照,"成分期由 2018-01-03 起一路未結束,代號今日仍屬 0001501585"
HLT,0001585689,2017-06-19,,Hilton Worldwide,今日對照,"成分期由 2017-06-19 起一路未結束,代號今日仍屬 0001585689"
HOG,0000793952,2000-01-31,2020-06-22,,今日對照·已核實,"成分期 2000-01-31~2020-06-22 結束後,0000793952 未改過名(現名 HARLEY-DAVIDSON, INC.);視為同一實體一路持有"
HON,0000773840,1996-01-02,,Honeywell Technologies,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000773840"
HONA,0002089271,2026-06-29,,Honeywell Aerospace,今日對照,"成分期由 2026-06-29 起一路未結束,代號今日仍屬 0002089271"
HOOD,0001783879,2025-09-22,,Robinhood Markets,今日對照,"成分期由 2025-09-22 起一路未結束,代號今日仍屬 0001783879"
HOT,,2000-11-17,2016-09-23,,佔位錨,"成分期 2000-11-17~2016-09-23 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
HP,0000046765,2010-03-01,2020-05-22,,今日對照·已核實,"成分期 2010-03-01~2020-05-22 結束後,0000046765 未改過名(現名 Helmerich & Payne, Inc.);視為同一實體一路持有"
HPE,0001645590,2015-11-02,,Hewlett Packard Enterprise,今日對照,"成分期由 2015-11-02 起一路未結束,代號今日仍屬 0001645590"
HPQ,0000047217,1996-01-02,,HP Inc.,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000047217"
HRB,0000012659,1996-01-02,2020-09-21,,今日對照·已核實,"成分期 1996-01-02~2020-09-21 結束後,0000012659 未改過名(現名 H&R BLOCK INC);視為同一實體一路持有"
HRL,0000048465,2009-03-04,,Hormel Foods,今日對照,"成分期由 2009-03-04 起一路未結束,代號今日仍屬 0000048465"
HSIC,0001000228,2015-03-18,,Henry Schein,今日對照,"成分期由 2015-03-18 起一路未結束,代號今日仍屬 0001000228"
HST,0001070750,2007-03-20,,Host Hotels & Resorts,今日對照,"成分期由 2007-03-20 起一路未結束,代號今日仍屬 0001070750"
HSY,0000047111,1996-01-02,,Hershey Company (The),今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000047111"
HUBB,0000048898,2023-10-18,,Hubbell Incorporated,今日對照,"成分期由 2023-10-18 起一路未結束,代號今日仍屬 0000048898"
HUM,0000049071,1996-01-02,,Humana,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000049071"
HWM,0000004281,2020-04-06,,Howmet Aerospace,今日對照,"成分期由 2020-04-06 起一路未結束,代號今日仍屬 0000004281"
IBKR,0001381197,2025-08-28,,Interactive Brokers,今日對照,"成分期由 2025-08-28 起一路未結束,代號今日仍屬 0001381197"
IBM,0000051143,1996-01-02,,IBM,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000051143"
ICE,0001571949,2007-09-26,,Intercontinental Exchange,今日對照,"成分期由 2007-09-26 起一路未結束,代號今日仍屬 0001571949"
IDXX,0000874716,2017-01-05,,Idexx Laboratories,今日對照,"成分期由 2017-01-05 起一路未結束,代號今日仍屬 0000874716"
IEX,0000832101,2019-08-09,,IDEX Corporation,今日對照,"成分期由 2019-08-09 起一路未結束,代號今日仍屬 0000832101"
IFF,0000051253,1996-01-02,,International Flavors & Fragrances,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000051253"
ILMN,0001110803,2015-11-19,2024-06-24,,今日對照·已核實,"成分期 2015-11-19~2024-06-24 結束後,0001110803 未改過名(現名 ILLUMINA, INC.);視為同一實體一路持有"
INCY,0000879169,2017-02-28,,Incyte,今日對照,"成分期由 2017-02-28 起一路未結束,代號今日仍屬 0000879169"
INTC,0000050863,1996-01-02,,Intel,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000050863"
INTU,0000896878,2000-12-11,,Intuit,今日對照,"成分期由 2000-12-11 起一路未結束,代號今日仍屬 0000896878"
INVH,0001687229,2022-09-19,,Invitation Homes,今日對照,"成分期由 2022-09-19 起一路未結束,代號今日仍屬 0001687229"
IP,0000051434,1996-01-02,,International Paper,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000051434"
IPGP,0001111928,2018-03-07,2022-06-21,,今日對照·已核實,"成分期 2018-03-07~2022-06-21 結束後,0001111928 未改過名(現名 IPG PHOTONICS CORP);視為同一實體一路持有"
IQV,0001478242,2017-08-29,,IQVIA,今日對照,"成分期由 2017-08-29 起一路未結束,代號今日仍屬 0001478242"
IR,0001699150,2010-11-17,,Ingersoll Rand,今日對照,"成分期由 2010-11-17 起一路未結束,代號今日仍屬 0001699150"
IRM,0001020569,2009-01-06,,Iron Mountain,今日對照,"成分期由 2009-01-06 起一路未結束,代號今日仍屬 0001020569"
ISRG,0001035267,2008-06-02,,Intuitive Surgical,今日對照,"成分期由 2008-06-02 起一路未結束,代號今日仍屬 0001035267"
IT,0000749251,2017-04-05,,Gartner,今日對照,"成分期由 2017-04-05 起一路未結束,代號今日仍屬 0000749251"
ITW,0000049826,1996-01-02,,Illinois Tool Works,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000049826"
IVZ,0000914208,2008-08-21,,Invesco,今日對照,"成分期由 2008-08-21 起一路未結束,代號今日仍屬 0000914208"
J,0000052988,2019-12-10,,Jacobs Solutions,今日對照,"成分期由 2019-12-10 起一路未結束,代號今日仍屬 0000052988"
JBHT,0000728535,2015-07-01,,J.B. Hunt,今日對照,"成分期由 2015-07-01 起一路未結束,代號今日仍屬 0000728535"
JBL,0000898293,2023-12-18,,Jabil,今日對照,"成分期由 2023-12-18 起一路未結束,代號今日仍屬 0000898293"
JCI,0000833444,1996-01-02,,Johnson Controls,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000833444"
JEF,0000096223,2007-08-27,2019-09-26,,同一實體改名·非回收,"0000096223 的申報由 1994-03-23 至 2026-08-28,一路貫穿成分期 2007-08-27~2019-09-26(期內名稱:Jefferies Financial Group Inc.、LEUCADIA NATIONAL CORP);成分期後改名為「Jefferies Financial Group Inc.」是它自己改名,不是代號易主"
JKHY,0000779152,2018-11-13,,Jack Henry & Associates,今日對照,"成分期由 2018-11-13 起一路未結束,代號今日仍屬 0000779152"
JNJ,0000200406,1996-01-02,,Johnson & Johnson,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000200406"
JPM,0000019617,1996-01-02,,JPMorgan Chase,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000019617"
KDP,0001418135,2008-10-07,2018-07-02,Keurig Dr Pepper,今日對照·已核實,"成分期 2008-10-07~2018-07-02 結束後,0001418135 未改過名(現名 Keurig Dr Pepper Inc.);視為同一實體一路持有"
KEY,0000091576,1996-01-02,,KeyCorp,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000091576"
KEYS,0001601046,2018-11-06,,Keysight Technologies,今日對照,"成分期由 2018-11-06 起一路未結束,代號今日仍屬 0001601046"
KHC,0001637459,2015-07-06,,Kraft Heinz,今日對照,"成分期由 2015-07-06 起一路未結束,代號今日仍屬 0001637459"
KIM,0000879101,2006-04-03,,Kimco Realty,今日對照,"成分期由 2006-04-03 起一路未結束,代號今日仍屬 0000879101"
KKR,0001404912,2024-06-24,,KKR & Co.,今日對照,"成分期由 2024-06-24 起一路未結束,代號今日仍屬 0001404912"
KLAC,0000319201,1997-09-15,,KLA Corporation,今日對照,"成分期由 1997-09-15 起一路未結束,代號今日仍屬 0000319201"
KMB,0000055785,1996-01-02,,Kimberly-Clark,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000055785"
KMI,0001506307,2012-05-25,,Kinder Morgan,今日對照,"成分期由 2012-05-25 起一路未結束,代號今日仍屬 0001506307"
KMX,0001170010,2010-06-28,2025-10-31,,今日對照·已核實,"成分期 2010-06-28~2025-10-31 結束後,0001170010 未改過名(現名 CARMAX INC);視為同一實體一路持有"
KO,0000021344,1996-01-02,,Coca-Cola Company (The),今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000021344"
KR,0000056873,1996-01-02,,Kroger,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000056873"
KSS,0000885639,1998-08-14,2020-09-21,,今日對照·已核實,"成分期 1998-08-14~2020-09-21 結束後,0000885639 未改過名(現名 KOHLS Corp);視為同一實體一路持有"
KVUE,0001944048,2023-08-25,,Kenvue,今日對照,"成分期由 2023-08-25 起一路未結束,代號今日仍屬 0001944048"
L,0000060086,1996-01-02,,Loews Corporation,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000060086"
LDOS,0001336920,2019-08-09,,Leidos,今日對照,"成分期由 2019-08-09 起一路未結束,代號今日仍屬 0001336920"
LEG,0000058492,1999-10-18,2021-12-20,,今日對照·已核實,"成分期 1999-10-18~2021-12-20 結束後,0000058492 未改過名(現名 LEGGETT & PLATT INC);視為同一實體一路持有"
LEN,0000920760,2005-10-04,,Lennar,今日對照,"成分期由 2005-10-04 起一路未結束,代號今日仍屬 0000920760"
LH,0000920148,2004-11-01,,Labcorp,今日對照,"成分期由 2004-11-01 起一路未結束,代號今日仍屬 0000920148"
LHX,0000202058,2019-06-01,,L3Harris,今日對照,"成分期由 2019-06-01 起一路未結束,代號今日仍屬 0000202058"
LII,0001069202,2024-12-23,,Lennox International,今日對照,"成分期由 2024-12-23 起一路未結束,代號今日仍屬 0001069202"
LIN,0001707925,2018-11-06,,Linde plc,今日對照,"成分期由 2018-11-06 起一路未結束,代號今日仍屬 0001707925"
LITE,0001633978,2026-03-23,,Lumentum,今日對照,"成分期由 2026-03-23 起一路未結束,代號今日仍屬 0001633978"
LKQ,0001065696,2016-05-23,2025-12-22,,同一實體改名·非回收,"0001065696 的申報由 2003-07-28 至 2026-08-06,一路貫穿成分期 2016-05-23~2025-12-22(期內名稱:LKQ CORP);成分期後改名為「LKQ CORP」是它自己改名,不是代號易主"
LLY,0000059478,1996-01-02,,Lilly (Eli),今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000059478"
LMT,0000936468,1996-01-02,,Lockheed Martin,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000936468"
LNC,0000059558,1996-01-02,2023-09-18,,今日對照·已核實,"成分期 1996-01-02~2023-09-18 結束後,0000059558 未改過名(現名 LINCOLN NATIONAL CORP);視為同一實體一路持有"
LNT,0000352541,2016-07-01,,Alliant Energy,今日對照,"成分期由 2016-07-01 起一路未結束,代號今日仍屬 0000352541"
LOW,0000060667,1996-01-02,,Lowe's,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000060667"
LRCX,0000707549,2012-06-05,,Lam Research,今日對照,"成分期由 2012-06-05 起一路未結束,代號今日仍屬 0000707549"
LULU,0001397187,2023-10-18,,Lululemon Athletica,今日對照,"成分期由 2023-10-18 起一路未結束,代號今日仍屬 0001397187"
LUMN,0000018926,2020-09-18,2023-03-20,,今日對照·已核實,"成分期 2020-09-18~2023-03-20 結束後,0000018926 未改過名(現名 Lumen Technologies, Inc.);視為同一實體一路持有"
LUV,0000092380,1996-01-02,,Southwest Airlines,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000092380"
LVS,0001300514,2019-10-03,,Las Vegas Sands,今日對照,"成分期由 2019-10-03 起一路未結束,代號今日仍屬 0001300514"
LW,0001679273,2018-12-03,2026-03-23,,今日對照·已核實,"成分期 2018-12-03~2026-03-23 結束後,0001679273 未改過名(現名 Lamb Weston Holdings, Inc.);視為同一實體一路持有"
LYB,0001489393,2012-09-05,,LyondellBasell,今日對照,"成分期由 2012-09-05 起一路未結束,代號今日仍屬 0001489393"
LYV,0001335258,2019-12-23,,Live Nation Entertainment,今日對照,"成分期由 2019-12-23 起一路未結束,代號今日仍屬 0001335258"
M,0000794367,1996-01-02,2020-04-06,,今日對照·已核實,"成分期 1996-01-02~2020-04-06 結束後,0000794367 未改過名(現名 Macy's, Inc.);視為同一實體一路持有"
MA,0001141391,2008-07-18,,Mastercard,今日對照,"成分期由 2008-07-18 起一路未結束,代號今日仍屬 0001141391"
MAA,0000912595,2016-12-02,,Mid-America Apartment Communities,今日對照,"成分期由 2016-12-02 起一路未結束,代號今日仍屬 0000912595"
MAC,0000912242,2013-05-09,2019-12-23,,今日對照·已核實,"成分期 2013-05-09~2019-12-23 結束後,0000912242 未改過名(現名 MACERICH CO);視為同一實體一路持有"
MAR,0001048286,1998-05-21,,Marriott International,今日對照,"成分期由 1998-05-21 起一路未結束,代號今日仍屬 0001048286"
MAS,0000062996,1996-01-02,,Masco,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000062996"
MAT,0000063276,1996-01-02,2019-06-07,,今日對照·已核實,"成分期 1996-01-02~2019-06-07 結束後,0000063276 未改過名(現名 MATTEL INC /DE/);視為同一實體一路持有"
MCD,0000063908,1996-01-02,,McDonald's,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000063908"
MCHP,0000827054,2007-09-07,,Microchip Technology,今日對照,"成分期由 2007-09-07 起一路未結束,代號今日仍屬 0000827054"
MCK,0000927653,1999-01-13,,McKesson Corporation,今日對照,"成分期由 1999-01-13 起一路未結束,代號今日仍屬 0000927653"
MCO,0001059556,1996-01-02,,Moody's Corporation,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001059556"
MDLZ,0001103982,2007-04-02,,Mondelez International,今日對照,"成分期由 2007-04-02 起一路未結束,代號今日仍屬 0001103982"
MDT,0001613103,1996-01-02,,Medtronic,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0001613103"
MET,0001099219,2000-12-11,,MetLife,今日對照,"成分期由 2000-12-11 起一路未結束,代號今日仍屬 0001099219"
META,0001326801,2022-06-09,,Meta Platforms,今日對照,"成分期由 2022-06-09 起一路未結束,代號今日仍屬 0001326801"
MGM,0000789570,2017-07-26,,MGM Resorts,今日對照,"成分期由 2017-07-26 起一路未結束,代號今日仍屬 0000789570"
MHK,0000851968,2013-12-23,2025-12-22,,今日對照·已核實,"成分期 2013-12-23~2025-12-22 結束後,0000851968 未改過名(現名 MOHAWK INDUSTRIES INC);視為同一實體一路持有"
MKC,0000063754,2003-03-21,,McCormick & Company,今日對照,"成分期由 2003-03-21 起一路未結束,代號今日仍屬 0000063754"
MKTX,0001278021,2019-07-01,2025-09-22,,同一實體改名·非回收,"0001278021 的申報由 2004-02-11 至 2026-08-14,一路貫穿成分期 2019-07-01~2025-09-22(期內名稱:MARKETAXESS HOLDINGS INC);成分期後改名為「MARKETAXESS HOLDINGS INC」是它自己改名,不是代號易主"
MLM,0000916076,2014-07-02,,Martin Marietta Materials,今日對照,"成分期由 2014-07-02 起一路未結束,代號今日仍屬 0000916076"
MMM,0000066740,1996-01-02,,3M,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000066740"
MNST,0000865752,2012-06-29,,Monster Beverage,今日對照,"成分期由 2012-06-29 起一路未結束,代號今日仍屬 0000865752"
MO,0000764180,1996-01-02,,Altria,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000764180"
MOH,0001179929,2022-03-02,2026-03-23,,今日對照·已核實,"成分期 2022-03-02~2026-03-23 結束後,0001179929 未改過名(現名 MOLINA HEALTHCARE, INC.);視為同一實體一路持有"
MOS,0001285785,2011-09-26,,Mosaic Company (The),今日對照,"成分期由 2011-09-26 起一路未結束,代號今日仍屬 0001285785"
MPC,0001510295,2011-07-01,,Marathon Petroleum,今日對照,"成分期由 2011-07-01 起一路未結束,代號今日仍屬 0001510295"
MPWR,0001280452,2021-02-12,,Monolithic Power Systems,今日對照,"成分期由 2021-02-12 起一路未結束,代號今日仍屬 0001280452"
MRK,0000310158,1996-01-02,,Merck & Co.,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000310158"
MRNA,0001682852,2021-07-21,,Moderna,今日對照,"成分期由 2021-07-21 起一路未結束,代號今日仍屬 0001682852"
MRSH,0000062709,2026-01-14,,Marsh McLennan,今日對照,"成分期由 2026-01-14 起一路未結束,代號今日仍屬 0000062709"
MRVL,0001835632,2026-06-22,,Marvell Technology,今日對照,"成分期由 2026-06-22 起一路未結束,代號今日仍屬 0001835632"
MS,0000895421,1996-01-02,,Morgan Stanley,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000895421"
MSCI,0001408198,2018-04-04,,MSCI,今日對照,"成分期由 2018-04-04 起一路未結束,代號今日仍屬 0001408198"
MSFT,0000789019,1996-01-02,,Microsoft,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000789019"
MSI,0000068505,1996-01-02,,Motorola Solutions,今日對照,"成分期由 1996-01-02 起一路未結束,代號今日仍屬 0000068505"
MTB,0000036270,2004-02-27,,M&T Bank,今日對照,"成分期由 2004-02-27 起一路未結束,代號今日仍屬 0000036270"
MTCH,0000891103,2021-09-20,2026-03-23,,今日對照·已核實,"成分期 2021-09-20~2026-03-23 結束後,0000891103 未改過名(現名 Match Group, Inc.);視為同一實體一路持有"
MTD,0001037646,2016-09-06,,Mettler Toledo,今日對照,"成分期由 2016-09-06 起一路未結束,代號今日仍屬 0001037646"
