ticker,membership,current_anchor,verdict,reason
NFX,2010-12-20~2019-02-15,佔位錨,佔位錨,"成分期 2010-12-20~2019-02-15 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
PCG,1996-01-02~2019-01-18,0001004980,人手待辨,"今日持有人 0001004980 的申報由 1996-02-21 起,蓋不住成分期 1996-01-02~2019-01-18,它不可能是當時的持有人;它在成分期後才取得名稱(PG&E Corp);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 1996-02-21 落在成分期之內,可能是期中成立的繼承實體,排除不了,暫時保留原錨"
PCL,2002-01-17~2016-02-22,佔位錨,佔位錨,"成分期 2002-01-17~2016-02-22 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
POM,2007-11-09~2016-03-24,0001877971,人手待辨,"今日持有人 0001877971 的申報由 2021-09-30 起,蓋不住成分期 2007-11-09~2016-03-24,它不可能是當時的持有人;它在成分期後才取得名稱(POMDOCTOR Ltd);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2021-09-30 晚過成分期結束 2016-03-24,當時它並不存在,故此不留它作錨,改用佔位錨"
SBNY,2021-12-20~2023-03-15,佔位錨,佔位錨,"成分期 2021-12-20~2023-03-15 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
SCG,2009-01-02~2019-01-02,佔位錨,佔位錨,"成分期 2009-01-02~2019-01-02 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
SE,2007-01-03~2017-02-27,0001703399,人手待辨,"今日持有人 0001703399 的申報由 2017-04-24 起,蓋不住成分期 2007-01-03~2017-02-27,它不可能是當時的持有人;它在成分期後才取得名稱(Sea Ltd);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2017-04-24 晚過成分期結束 2017-02-27,當時它並不存在,故此不留它作錨,改用佔位錨"
SPLS,1998-10-07~2017-09-13,佔位錨,佔位錨,"成分期 1998-10-07~2017-09-13 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
STI,1996-01-02~2019-12-09,0001881551,人手待辨,"今日持有人 0001881551 的申報由 2021-09-27 起,蓋不住成分期 1996-01-02~2019-12-09,它不可能是當時的持有人;它在成分期後才取得名稱(Nubia Brand International Corp.、Solidion Technology Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2021-09-27 晚過成分期結束 2019-12-09,當時它並不存在,故此不留它作錨,改用佔位錨"
TE,2001-10-10~2016-07-01,0001992243,人手待辨,"今日持有人 0001992243 的申報由 2023-09-08 起,蓋不住成分期 2001-10-10~2016-07-01,它不可能是當時的持有人;它在成分期後才取得名稱(FREYR Battery, Inc. /DE/、T1 Energy Inc.);但名稱表上找不到一個同名、申報整段覆蓋成分期、而又在它取用該名稱之前已放低該名稱的候選,認不出當時屬誰;其第一份申報 2023-09-08 晚過成分期結束 2016-07-01,當時它並不存在,故此不留它作錨,改用佔位錨"
TWX,1996-01-02~2018-06-15,佔位錨,佔位錨,"成分期 1996-01-02~2018-06-15 已結束,今日的代號→CIK 對照查無此代號;名稱表沒有代號一欄,單憑代號認不出當時屬誰"
