event_id,kind,year,bucket,accessionNumber,cik,ticker,reaction_date,signal_q_end,fiscal_quarter,improvement_type,C1_guidance_implied_growth,C1_note,C1_snippet,C2_prev4_avg_yoy,C2_note,C3_g0
E013,main,2016,金融地產,0000874501-16-000285,0000874501,OSG,2016-11-04,,,指引,,無 EX-99.1 文本,,,資料不足,
E014,main,2016,消費與零售,0001636222-16-000047,0001636222,WING,2016-08-05,2016-06-25,2016Q2,兩者,,指引抓不到,,0.161266,,0.18152
E015,main,2016,製造與工業,0001481792-16-000096,0001481792,QUAD,2016-08-02,2016-06-30,2016Q2,指引,,指引抓不到,,-0.034407,,-0.043281
E016,main,2016,製造與工業,0001193125-16-737232,0000836157,LNN,2016-10-13,2016-08-31,2016Q3,兩者,,去年餘下期間收入非正,"venues of $159.4 million reflected a decline of 10 percent, including a negative currency translation impact of 7 percent. Infrastructure segment revenues decreased 13 percent to $94.8 million, due primarily to the completion of the large Golden Gate Bridge project in the prior year. Increased Road Zipper System lease revenue and road safety product sales were offset by declines in tubing, rail an",-0.13167,,0.075741
E017,main,2017,能源原材料公用,0001376139-17-000017,0001376139,CVI,2017-02-16,2016-12-31,2016Q4,加速,,指引抓不到,,-0.282224,,0.339204
E018,main,2017,醫療,0001193125-17-151912,0000070318,THC,2017-05-02,2017-03-31,2017Q1,指引,,無去年同季期末,"ge diluted share count of 102 million. In addition, the Outlook assumes that CMS will approve the proposed California Provider Fee for the 30-month period from January 2017 through June 2019 during the fourth quarter of 2017 and further assumes that the Company will record approximately $220 million to $230 million of revenue and Adjusted EBITDA during 2017 as a result of this program. In 2016, th",,資料不足,
E019,main,2017,醫療,0000856982-17-000031,0000856982,MMSI,2017-07-27,2017-06-30,2017Q2,指引,-0.021952,指引中值換算,"f extraordinary skill,” Lampropoulos said. “Our staff and production employees are doing an excellent job.” 2017 GUIDANCE Based upon information currently available to Merit's management, Merit estimates that for the year ending December 31, 2017, absent material acquisitions or non-recurring transactions, Merit's revenues will be in the range of $722-$727 million, an increase of approximately 19.",0.156508,,0.234843
E020,main,2017,科技與軟件,0001490281-17-000023,0001490281,GRPN,2017-02-15,2016-12-31,2016Q4,指引,,指引抓不到,,2.4e-05,,0.019315
E021,main,2017,消費與零售,0001144204-17-013347,0001041859,PLCE,2017-03-08,2017-01-28,2017Q1,指引,,指引抓不到,,0.032194,,0.044586
E022,main,2017,消費與零售,0000906553-17-000032,0000906553,BYD,2017-05-03,2017-03-31,2017Q1,加速,,指引抓不到,,-0.006876,,0.095884
E023,main,2017,製造與工業,0001597672-17-000054,0001597672,RYAM,2017-11-02,2017-09-23,2017Q3,加速,,指引抓不到,,-0.093803,,0.015382
E024,main,2017,製造與工業,0001157523-17-002244,0000887733,CENTA,2017-08-03,2017-06-24,2017Q2,兩者,,指引抓不到,,0.162363,,0.116701
E025,main,2018,醫療,0001564590-18-018465,0001388658,IRTC,2018-08-02,2018-06-30,2018Q2,加速,0.380473,指引中值換算,"presents 45% to 48% growth over the company’s prior year, as adjusted and presented on a non-GAAP basis to show the effects of ASC 606. Gross margins for the full year 2018 are expected to range from 73% to 74% and operating expenses for the full year 2018 to be between $143 and $147 million. This compares to previous revenue guidance of $128.5 to $133.5 million, gross margins of 71.5% to 72.5% an",0.485158,,0.48692
E026,main,2018,醫療,0001564590-18-022125,0000899923,MYGN,2018-08-22,2018-06-30,2018Q2,兩者,,去年餘下期間收入非正,"on of Counsyl provides Myriad with two new products, ForeSight TM and Prelude TM , in the expanded carrier screening and non-invasive prenatal screening markets respectively. Myriad 5 estimates that these markets will grow to approximately 3 millio n tests performed annually in the United States and $1.5 billion of revenue over the next five years. Fiscal Year 2019 and Fiscal First-Quarter 2019 Fi",,資料不足,0.006513
E027,main,2018,科技與軟件,0001104659-18-063734,0000879585,ATNI,2018-10-25,2018-09-30,2018Q3,加速,,指引中值不高於已報累計收入,"works in the USVI, and network performance levels now exceed those that prevailed before the 2017 hurricanes. At this point, our network re-build is substantially complete, though work is continuing in some of the more challenging geographical areas. However, we believe it will be some time before our wireline service revenues in that market will reach pre-storm levels. Our U.S. Telecom operation ",-0.127729,,-0.008139
E028,main,2018,科技與軟件,0001193125-18-224716,0000751978,VICR,2018-07-25,2018-06-30,2018Q2,加速,,指引抓不到,,0.144877,,0.285692
E029,main,2018,金融地產,0001193125-18-308334,0000880631,WT,2018-10-26,2018-09-30,2018Q3,加速,,指引抓不到,,0.12693,,0.251509
E030,main,2018,消費與零售,0001193125-18-064138,0001316835,BLDR,2018-03-01,2017-12-31,2017Q4,加速,,指引抓不到,,0.083742,,0.149994
E031,main,2018,製造與工業,0001558370-18-007399,0001638290,MCFT,2018-09-07,2018-06-30,2018Q2,兩者,,指引抓不到,,0.325565,,0.636177
E032,main,2018,製造與工業,0000046080-18-000109,0000046080,HAS,2018-07-23,2018-07-01,2018Q3,加速,,指引抓不到,,-0.001174,,-0.069972
E033,main,2019,醫療,0001104659-19-058332,0001109354,BRKR,2019-11-01,2019-09-30,2019Q3,指引,,指引中值不高於已報累計收入,".2% year-over-year · Increasing FY 2019 non-GAAP EPS outlook to $1.59 to $1.62 BILLERICA, Massachusetts – October 31, 2019 – Bruker Corporation (Nasdaq: BRKR) today announced financial results for its third quarter and for the nine months ended September 30, 2019. Third Quarter 2019 Financial Results Bruker’s revenues for the third quarter of 2019 were $521.1 million, an increase of 11.7% compared",0.072077,,0.116802
E034,main,2019,醫療,0001144204-19-038866,0001124524,CYRX,2019-08-09,2019-06-30,2019Q2,加速,,指引抓不到,,0.678272,,0.82917
E035,main,2019,科技與軟件,0001384905-19-000012,0001384905,RNG,2019-07-30,2019-06-30,2019Q2,指引,0.159774,指引中值換算,"elephony and UCaaS Radar report delivers analysis of 30 providers across growth strategy, execution, and performance, as well as their ability to develop solutions that are globally applicable and aligned with mega trends and customers' evolving needs. Financial Outlook Full Year 2019 Guidance: • Raising total revenue range to $874 to $877 million , representing annual growth of 30% . This is up f",0.337906,,0.337744
E036,main,2019,科技與軟件,0001157523-19-000140,0001039065,OSIS,2019-01-25,2018-12-31,2018Q4,兩者,,指引抓不到,,0.108575,,0.09252
E037,main,2019,消費與零售,0001031203-19-000026,0001031203,GPI,2019-10-24,2019-09-30,2019Q3,加速,,指引抓不到,,-0.01045,,0.079348
E038,main,2019,消費與零售,0001558370-19-008493,0000821002,GIII,2019-09-05,2019-07-31,2019Q3,指引,,指引抓不到,,0.079047,,0.030725
E039,main,2019,製造與工業,0001104657-19-000037,0001104657,MTRN,2019-05-02,2019-03-29,2019Q1,兩者,,指引抓不到,,0.070325,,-0.006676
E040,main,2019,製造與工業,0001157523-19-002069,0000931015,PII,2019-10-22,2019-09-30,2019Q3,指引,,指引抓不到,,0.147694,,0.072805
E041,main,2020,能源原材料公用,0000766829-20-000122,0000766829,HTO,2020-08-07,2020-06-30,2020Q2,兩者,,指引抓不到,,0.130402,,0.363033
E042,main,2020,醫療,0001104659-20-118974,0001080014,INVA,2020-10-29,2020-09-30,2020Q3,加速,,指引抓不到,,0.168658,,0.348856
E043,main,2020,醫療,0001193125-20-138276,0001631574,WVE,2020-05-11,2020-03-31,2020Q1,加速,,指引抓不到,,0.251578,,0.375083
E044,main,2020,科技與軟件,0001666071-20-000007,0001666071,CDLX,2020-01-13,2019-09-30,2019Q3,加速,,指引抓不到,,0.163817,,0.631456
E045,main,2020,科技與軟件,0001193125-20-026800,0000817720,SYNA,2020-02-07,2019-12-31,2019Q4,兩者,,指引中值不高於已報累計收入,"siness Outlook Dean Butler, chief financial officer of Synaptics, added, “We had a record finish to calendar 2019 and continue to maintain a healthy backlog of $284 million entering the March quarter and expect that subsequent bookings, customer forecasts and product sell-in and sell-through patterns will result in revenue for the third quarter of fiscal 2020 to be in the range of $330 to $350 mil",-0.087313,,-0.087427
E046,main,2020,金融地產,0001405495-20-000006,0001405495,IDCC,2020-02-20,2019-12-31,2019Q4,加速,,去年餘下期間收入非正,"12.1 million for full year 2018 . The decrease in cash provided by operating activities was primarily driven by the timing of cash collections under fixed fee agreements, as well as higher cash operating expenses driven by the Technicolor acquisitions. Near-Term Outlook The company expects total first quarter 2020 revenue to be between $73 million and $75 million, comprised almost entirely of recu",-0.198812,,0.356251
E047,main,2020,消費與零售,0001130713-20-000044,0001130713,NXH,2020-07-30,2020-06-30,2020Q2,加速,,指引抓不到,,-0.165765,,1.093993
E048,main,2020,製造與工業,0001767258-20-000066,0001767258,XPEL,2020-11-12,2020-09-30,2020Q3,加速,,指引抓不到,,0.150591,,0.294929
E049,main,2021,醫療,0001564590-21-004309,0000879407,ARWR,2021-02-05,2020-12-31,2020Q4,加速,,指引抓不到,,-0.460995,,-0.276751
E050,main,2021,醫療,0001628280-21-015831,0001213037,CRDF,2021-08-06,2021-06-30,2021Q2,加速,,指引抓不到,,0.487734,,0.595009
E051,main,2021,科技與軟件,0001713683-21-000083,0001713683,ZS,2021-05-26,2021-04-30,2021Q2,兩者,,指引抓不到,,0.458477,,0.59607
E052,main,2021,科技與軟件,0001157523-21-001185,0001084765,RGP,2021-10-07,2021-08-28,2021Q3,加速,,指引抓不到,,-0.111436,,0.242925
E053,main,2021,金融地產,0001564590-21-053597,0001519401,RM,2021-11-03,2021-09-30,2021Q3,兩者,,指引抓不到,,0.027087,,0.231085
E054,main,2021,消費與零售,0001793659-21-000011,0001793659,RSI,2021-11-11,2021-09-30,2021Q3,指引,-0.683052,指引中值換算,"y, in the most recent quarterly update, our BetRivers sportsbook mobile app was rated #3 out of 35 total apps in the US Market by Eilers & Krejcik. We are thankful for the recognitions and believe that they provide further validation of our success in providing a premier experience to our customers.” Increasing 2021 Revenue Guidance RSI expects revenues for the full year ending December 31, 2021 t",,資料不足,0.571124
E055,main,2021,製造與工業,0000067215-21-000052,0000067215,DY,2021-11-23,2021-10-30,2021Q4,兩者,,指引抓不到,,-0.054144,,0.053955
E056,main,2021,製造與工業,0000799292-21-000040,0000799292,MHO,2021-04-28,2021-03-31,2021Q1,加速,,指引抓不到,,0.167679,,0.434854
E057,main,2022,醫療,0000950170-22-002526,0001501989,CTMX,2022-03-02,2021-12-31,2021Q4,加速,,指引抓不到,,-0.213398,,0.572761
E058,main,2022,醫療,0001688757-22-000037,0001688757,ESTA,2022-05-10,2022-03-31,2022Q1,指引,,指引抓不到,,0.641392,,0.267537
E059,main,2022,科技與軟件,0001437749-22-025164,0000855658,LSCC,2022-11-01,2022-10-01,2022Q4,加速,,指引抓不到,,0.278567,,0.307768
E060,main,2022,科技與軟件,0001441816-22-000038,0001441816,MDB,2022-03-09,,,指引,,無 EX-99.1 文本,"fiscal 2023. Please note that the guidance provided for the fiscal year 2023 includes additional adjustments to our non-GAAP financial measures with respect to expenses related to stock-based compensation, as discussed further below in “Non-GAAP Financial Measures.” First Quarter Fiscal 2023 Full Year Fiscal 2023 Revenue $263.0 million to $267.0 million $1,151.0 million to $1,181.0 million Non-GAA",,資料不足,
E061,main,2022,金融地產,0001561894-22-000004,0001561894,HASI,2022-02-18,,,指引,,無 EX-99.1 文本,,,資料不足,
E062,main,2022,消費與零售,0001558370-22-016999,0001712189,TH,2022-11-09,2022-09-30,2022Q3,兩者,3.449222,指引中值換算,"Target has intentionally aligned its premium service offerings with world-class customers, including the United States government, which has meaningfully increased long-term revenue visibility and significantly high graded contract structure. These attributes support approximately 99% of the Company’s anticipated 2022 revenue being contracted with approximately 76% of contracted revenue having min",0.582601,,0.535649
E063,main,2022,製造與工業,0001628280-22-019708,0000789460,WKC,2022-07-29,2022-06-30,2022Q2,加速,,指引抓不到,,0.731986,,1.416498
E064,main,2022,製造與工業,0000879526-22-000045,0000879526,WNC,2022-10-26,2022-09-30,2022Q3,指引,-0.467281,指引中值換算,"progress made against our strategic plan as we added new dealers, announced a new product line brand, and added additional strategically-aligned expertise to our board of directors that will support Wabash for years into the future.” For the full-year ending December 31, 2022, the company maintained its outlook for revenue of $2.5 billion and increased its EPS guidance to $2.15. “Demand conditions",0.345912,,0.357638
E065,main,2023,醫療,0001737287-23-000089,0001737287,ALLO,2023-11-03,2023-09-30,2023Q3,加速,,指引抓不到,,0.079658,,-0.122449
E066,main,2023,醫療,0000059478-23-000219,0000059478,LLY,2023-08-08,2023-06-30,2023Q2,兩者,,指引抓不到,,0.006567,,0.28115
E067,main,2023,科技與軟件,0000950170-23-002139,0001314727,SONO,2023-02-09,2022-12-31,2022Q4,兩者,-0.999981,指引中值換算,"EX-99.1 2 sono-ex99_1.htm EX-99.1 EX-99.1 Exhibit 99.1 Sonos Reports First Quarter Fiscal 2023 Results Delivers record Q1 revenue despite economic headwinds, maintains Fiscal 2023 outlook Santa Barbara, CA – February 8, 2023 - Sonos, Inc. (Nasdaq: SONO) today reported first quarter fiscal 2023 results. First Quarter 2023 Financial Highlights (unaudited) ● Revenue increased 1.2% year-over-year to $",0.022879,,0.012187
E068,main,2023,科技與軟件,0001558370-23-013603,0001867072,KD,2023-08-08,2023-06-30,2023Q2,兩者,,指引中值不高於已報累計收入,"pected to end this year. Fiscal Year 2024 Outlook ​ Kyndryl is raising its fiscal 2024 adjusted EBITDA margin outlook to approximately 14% from its prior projection of 12% – 13%, and now expects its fiscal 2024 adjusted pretax income to be at least $100 million. The Company is reaffirming its constant-currency revenue outlook and its fiscal 2024 targets for the benefits from its three-A initiative",-0.07044,,-0.022155
E069,main,2023,金融地產,0001434621-23-000019,0001434621,TREE,2023-10-31,2023-09-30,2023Q3,指引,,指引抓不到,,-0.206432,,-0.3475
E070,main,2023,消費與零售,0001558370-23-008647,0001712189,TH,2023-05-09,2023-03-31,2023Q1,兩者,,指引抓不到,,0.633448,,0.616293
E071,main,2023,製造與工業,0000866729-23-000016,0000866729,SCHL,2023-07-21,,,指引,,無 EX-99.1 文本,,,資料不足,
E072,main,2023,製造與工業,0001674335-23-000164,0001674335,JELD,2023-11-07,2023-09-30,2023Q3,指引,,指引中值不高於已報累計收入,"s full-year guidance for continuing operations to reflect its solid third quarter results. Comparability is to the same period in the prior year and all periods presented reflect the Company's Australasia segment as a discontinued operation, as appropriate and unless otherwise noted. Third Quarter Highlights • Net revenues from continuing operations of $1,077.0 million decreased (5.5%) in the thir",,資料不足,-0.168875
E073,main,2024,醫療,0001588978-24-000027,0001588978,PRCT,2024-10-28,2024-09-30,2024Q3,兩者,0.362704,指引中值換算,"Cash, cash equivalents and restricted cash as of September 30, 2024, totaled $199.8 million. Full Year 2024 Financial Guidance • The Company projects revenue for the full year 2024 to be in the range of $222.5 million to $223.0 million, which represents 63% and 64% growth respectfully over the Company’s prior year revenue. This compares to previous revenue guidance of $217.0 million. • The Company",0.786273,,0.662868
E074,main,2024,醫療,0001628280-24-034969,0001754195,TRLV,2024-08-06,2024-06-30,2024Q2,加速,,指引抓不到,,-0.066906,,0.076818
E075,main,2024,科技與軟件,0001759509-24-000121,0001759509,LYFT,2024-11-07,2024-09-30,2024Q3,指引,,指引抓不到,,0.202748,,0.297107
E076,main,2024,科技與軟件,0001441683-24-000013,0001441683,APPN,2024-02-15,,,指引,,無 EX-99.1 文本,"over-year increase of 9% to 11%. ◦ Adjusted EBITDA loss is expected to be between $(9.0) million and $(5.0) million. ◦ Non-GAAP net loss per share is expected to be between $(0.21) and $(0.16), assuming weighted average common shares outstanding of 73.5 million. • Full Year 2024 Guidance : ◦ Cloud subscription revenue is expected to be between $364.0 million and $366.0 million, representing year-o",,資料不足,
E077,main,2024,科技與軟件,0000950170-24-017935,0001637873,ACVA,2024-02-22,,,指引,,無 EX-99.1 文本,"$25 million BUFFALO, February 21, 2024 — ACV (Nasdaq: ACVA), a leading digital automotive marketplace and data services partner for dealers and commercial clients, today reported results for its fourth quarter and full-year ended December 31, 2023. “We are very pleased with our strong fourth quarter results, with revenue in line with our guidance, strong year-over-year margin expansion, and Adjust",,資料不足,
E078,main,2024,消費與零售,0000062234-24-000052,0000062234,MCS,2024-10-31,2024-09-26,2024Q3,加速,,指引抓不到,,-0.015116,,0.114492
E079,main,2024,製造與工業,0001493152-24-030661,0001534675,TGLS,2024-08-08,2024-06-30,2024Q2,兩者,,指引中值不高於已報累計收入,"intain a growth outlook for the full year reinforced by our established customer relationships, record backlog, innovative product portfolio and the benefits of our vertically-integrated operations. We are well-situated to continue on our journey of innovation and value creation.” Second Quarter 2024 Results Total revenues for the second quarter of 2024 decreased 2.5% to $219.7 million, the second",0.208281,,-0.024973
E080,main,2024,製造與工業,0001672013-24-000054,0001672013,GOLF,2024-11-07,2024-09-30,2024Q3,兩者,,指引抓不到,,0.033165,,0.045704
E081,main,2025,醫療,0001159036-25-000025,0001159036,HALO,2025-05-07,2025-03-31,2025Q1,指引,-0.353051,指引中值換算,".1 million on December 31, 2024. The increase was primarily a result of cash generated from operations. Financial Outlook for 2025 The Company is raising its financial guidance for 2025. Note that the guidance reflects tariffs that are currently implemented. For the full year 2025, the Company expects: • Total revenue of $1,200 million to $1,280 million, representing growth of 18% to 26% over 2024",0.157819,,0.352166
E082,main,2025,科技與軟件,0001764046-25-000061,0001764046,CLVT,2025-04-29,2025-03-31,2025Q1,指引,,指引抓不到,,-0.015189,,-0.044269
E083,main,2025,消費與零售,0000950170-25-057674,0001057060,HZO,2025-04-24,2025-03-31,2025Q1,兩者,,指引抓不到,,-0.000436,,0.083417
E084,main,2025,製造與工業,0001121484-25-000048,0001121484,OIS,2025-05-01,2025-03-31,2025Q1,加速,,指引抓不到,,-0.052182,,-0.043788
B001,backup,2015,醫療,0001564590-15-007002,0001294133,INGN,2015-08-12,2015-06-30,2015Q2,兩者,,指引抓不到,,0.47391,,0.448656
B002,backup,2015,科技與軟件,0001193125-15-362448,0001408710,FN,2015-11-03,2015-09-25,2015Q3,指引,-0.993895,指引中值換算,"6 was $0.45 per diluted share, an increase from non-GAAP net income of $0.41 per diluted share, in the same period a year ago. Business Outlook Based on information available as of November 2, 2015, Fabrinet is issuing guidance for the second quarter of fiscal 2016 as follows: • Fabrinet expects second quarter revenue to be in the range of $218 million to $222 million. • GAAP net income per dilute",0.144529,,0.143182
B003,backup,2015,消費與零售,0001171843-15-001675,0000075288,OXM,2015-03-27,2015-01-31,2015Q1,指引,,指引抓不到,,0.07969,,0.09622
B004,backup,2015,製造與工業,0000310354-15-000023,0000310354,SXI,2015-08-25,2015-06-30,2015Q2,指引,,指引抓不到,,0.0722,,0.012359
B005,backup,2016,醫療,0001157523-16-004680,0000084748,ROG,2016-02-23,2015-12-31,2015Q4,兩者,,指引抓不到,,0.064001,,0.035228
B006,backup,2016,科技與軟件,0000056978-16-000145,0000056978,KLIC,2016-02-03,2016-01-02,2016Q1,加速,,指引抓不到,,0.038411,,0.010201
B007,backup,2016,消費與零售,0001174922-16-000114,0001174922,WYNN,2016-01-15,2015-12-31,2015Q4,加速,,指引抓不到,,-0.266407,,-0.167906
B008,backup,2016,製造與工業,0001597672-16-000144,0001597672,RYAM,2016-05-03,2016-03-26,2016Q1,指引,,指引抓不到,,-0.015532,,-0.01635
B009,backup,2017,醫療,0000731012-17-000070,0000731012,HCSG,2017-07-12,2017-06-30,2017Q2,加速,,指引抓不到,,0.079527,,0.218131
B010,backup,2017,科技與軟件,0001000753-17-000005,0001000753,NSP,2017-02-13,2016-12-31,2016Q4,指引,,指引抓不到,,0.121597,,0.121626
B011,backup,2017,消費與零售,0001193125-17-245817,0000932696,NSIT,2017-08-03,2017-06-30,2017Q2,指引,,指引抓不到,,0.095542,,0.15643
B012,backup,2017,製造與工業,0000055242-17-000026,0000055242,KMT,2017-11-02,2017-09-30,2017Q3,兩者,,指引抓不到,,-0.016126,,0.136886
B013,backup,2018,醫療,0001295947-18-000010,0001295947,PBH,2018-05-10,2018-03-31,2018Q1,指引,,去年餘下期間收入非正,"EX-99.1 2 exhibit991fy18-q4earningsr.htm EXHIBIT 99.1 Exhibit Exhibit 99.1 Prestige Brands Holdings, Inc. Reports Fiscal 2018 Fourth Quarter and Full Year Results; Provides Fiscal 2019 Outlook • Reported Revenue Increased 6.4% to $256.0 Million and 18.0% to $1,041.2 Million in Q4 and Fiscal 2018, Respectively • Revenue Growth of 2.4% and 1.7%, Pro-forma for Fleet, in Q4 and Fiscal 2018, Respective",0.207599,,0.063552
B014,backup,2018,科技與軟件,0001288847-18-000127,0001288847,FIVN,2018-08-07,2018-06-30,2018Q2,加速,0.162499,指引中值換算,"irst step in this direction. As Five9 continues to disrupt this massive market, we are also laser-focused on near-term execution.” - Rowan Trollope, CEO, Five9 Business Outlook The guidance below includes the expected impact of the adoption of ASC 606. • For the full year 2018, Five9 expects to report: • Revenue in the range of $244.5 to $246.5 million, up from the prior guidance range of $235.8 t",0.238892,,0.280617
B015,backup,2018,消費與零售,0001023128-18-000071,0001023128,LAD,2018-10-24,2018-09-30,2018Q3,指引,,指引抓不到,,0.195449,,0.153566
B016,backup,2018,製造與工業,0000277135-18-000003,0000277135,GWW,2018-01-24,2017-12-31,2017Q4,兩者,,指引抓不到,,0.011544,,0.065467
B017,backup,2019,醫療,0001193125-19-200477,0000070318,THC,2019-07-24,2019-06-30,2019Q2,加速,,指引抓不到,,-0.081327,,0.011984
B018,backup,2019,科技與軟件,0001104659-19-060582,0001705110,ANGI,2019-11-07,2019-09-30,2019Q3,指引,,指引抓不到,,0.318233,,0.178948
B019,backup,2019,消費與零售,0001193125-19-081456,0000023217,CAG,2019-03-21,2019-02-24,2019Q1,加速,,指引抓不到,,0.044086,,0.357283
B020,backup,2019,製造與工業,0000920371-19-000105,0000920371,SSD,2019-10-29,2019-09-30,2019Q3,加速,,指引抓不到,,0.043852,,0.090626
B021,backup,2020,醫療,0001157523-20-000577,0000851205,CGNX,2020-04-28,2020-03-29,2020Q1,兩者,,指引抓不到,,-0.091739,,-0.036021
B022,backup,2020,科技與軟件,0001283699-20-000104,0001283699,TMUS,2020-05-07,2020-03-31,2020Q1,指引,,指引抓不到,,0.039173,,0.002978
B023,backup,2020,消費與零售,0001564590-20-001721,0001057060,HZO,2020-01-23,2019-12-31,2019Q4,兩者,,指引抓不到,,0.050785,,0.257236
B024,backup,2020,製造與工業,0000066382-20-000005,0000066382,MLKN,2020-03-19,2020-02-29,2020Q1,加速,,指引抓不到,,0.065795,,0.075444
B025,backup,2021,醫療,0001110803-21-000022,0001110803,ILMN,2021-04-06,2021-04-04,2021Q2,兩者,,指引中值不高於已報累計收入,"Cunningham +1.858.200.6583 ir@illumina.com Media: Dr. Karen Birmingham +1.646.355.2111 kbirmingham@illumina.com Illumina Announces Preliminary Revenue for First Quarter Fiscal Year 2021 Updates Fiscal Year 2021 Revenue Guidance San Diego – April 5, 2021 - Illumina, Inc. (NASDAQ: ILMN) today announced preliminary revenue for the first quarter of fiscal year 2021 and updated its fiscal year 2021 rev",-0.063664,,0.27241
B026,backup,2021,科技與軟件,0001334978-21-000022,0001334978,CCO,2021-07-29,2021-06-30,2021Q2,兩者,,指引抓不到,,-0.36604,,0.686478
B027,backup,2021,消費與零售,0001335258-21-000134,0001335258,LYV,2021-11-05,2021-09-30,2021Q3,加速,,指引抓不到,,1.014813,,13.665533
B028,backup,2021,製造與工業,0000006845-21-000013,0000006845,APOG,2021-06-25,2021-05-29,2021Q2,兩者,,指引中值不高於已報累計收入,"EX-99.1 2 a052921fy22q1results.htm EX-99.1 Document Press Release FOR RELEASE: June 25, 2021 APOGEE ENTERPRISES REPORTS FISCAL 2022 FIRST-QUARTER RESULTS • First-quarter revenue grows 13 percent to $326 million • First-quarter earnings improve to $0.42 per diluted share • Increases full-year earnings guidance to a range of $2.20 to $2.40 per diluted share MINNEAPOLIS, MN, June 25, 2021 – Apogee En",-0.097542,,0.127678
B029,backup,2022,醫療,0001823239-22-000015,0001823239,MRVI,2022-05-06,2022-03-31,2022Q1,指引,,指引中值不高於已報累計收入,"ts and services to researchers and biotech innovators, today reported financial results for the first quarter ended March 31, 2022, together with other business updates. Highlights include: • Record quarterly revenue of $244.3 million, an increase of 65% over the prior year; • Nucleic Acid Production base business revenue (excluding COVID-19 related CleanCap® revenue) increased 55% over the prior ",,資料不足,0.648278
B030,backup,2022,科技與軟件,0000950170-22-020313,0000752714,MGRC,2022-10-28,2022-09-30,2022Q3,指引,,指引抓不到,,0.117343,,0.157214
B031,backup,2022,消費與零售,0000840489-22-000061,0000840489,FCFS,2022-07-28,2022-06-30,2022Q2,指引,,指引抓不到,,0.02447,,0.123095
B032,backup,2022,製造與工業,0001111335-22-000027,0001111335,VC,2022-04-28,2022-03-31,2022Q1,加速,,指引抓不到,,0.167748,,0.096515
B033,backup,2023,醫療,0001437749-23-012324,0000944809,OPK,2023-05-04,2023-03-31,2023Q1,加速,,指引抓不到,,-0.441987,,-0.278362
B034,backup,2023,科技與軟件,0000950170-23-037140,0001851003,ZETA,2023-08-03,2023-06-30,2023Q2,指引,,指引抓不到,,0.274866,,0.251389
B035,backup,2023,消費與零售,0001628280-23-009338,0001701758,LOVE,2023-03-28,2023-01-29,2023Q1,指引,,指引抓不到,,0.431623,,
B036,backup,2023,製造與工業,0000014707-23-000046,0000014707,CAL,2023-08-31,2023-07-29,2023Q3,加速,,指引抓不到,,0.040889,,-0.057965
B037,backup,2024,醫療,0000885590-24-000034,0000885590,BHC,2024-10-31,2024-09-30,2024Q3,指引,,指引抓不到,,0.102984,,0.121537
B038,backup,2024,科技與軟件,0001490281-24-000088,0001490281,GRPN,2024-05-10,2024-03-31,2024Q1,加速,,指引抓不到,,-0.203514,,0.012112
