event_id,kind,year,bucket,accessionNumber,cik,ticker,reaction_date,signal_q_end,fiscal_quarter,improvement_type,C1_implied_yoy,C1_basis,C1_estimated,C1_guidance_mid_usd,C1_guidance_scale,C1_next_q_implied_rev,C1_next_q_prior_rev,C1_note,C1_snippet,C2_prev4_avg_yoy,C2_n_quarters,C2_n_hist_after_T1,C2_note,C3_g0_text,C3_g0_xbrl
E013,main,2016,科技與軟件,0001104659-16-154163,0000946581,TTWO,2016-11-03,2016-09-30,2016Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.479064,4,0,,0.211042,0.210947
E014,main,2016,消費與零售,0001089063-16-000147,0001089063,DKS,2016-05-19,2016-04-30,2016Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.070062,4,0,,0.060713,0.060713
E015,main,2016,製造與工業,0001157523-16-004697,0001069878,TREX,2016-02-23,2015-12-31,2015Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.118689,4,0,,0.199429,0.202151
E016,main,2016,製造與工業,0001157523-16-005704,0000072331,NDSN,2016-05-24,2016-04-30,2016Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.024165,4,0,,0.093013,0.091995
E017,main,2017,醫療,0001193125-17-034965,0000928054,FTK,2017-02-09,2016-12-31,2016Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.208767,4,0,,-0.083284,-0.083232
E018,main,2017,醫療,0001193125-17-045894,0001439222,AGIO,2017-02-16,2016-12-31,2016Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.123272,4,0,,2.642329,2.642329
E019,main,2017,科技與軟件,0001352010-17-000040,0001352010,EPAM,2017-11-02,2017-09-30,2017Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.23135,4,0,,0.265534,0.265611
E020,main,2017,科技與軟件,0001111928-17-000140,0001111928,IPGP,2017-08-01,2017-06-30,2017Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.199806,4,0,,0.461309,0.461203
E021,main,2017,消費與零售,0000906553-17-000032,0000906553,BYD,2017-05-03,2017-03-31,2017Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.006876,4,0,,0.095808,0.095884
E022,main,2017,消費與零售,0000916540-17-000006,0000916540,DAR,2017-03-01,2016-12-31,2016Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.012012,4,0,,0.095872,0.095843
E023,main,2017,製造與工業,0001157523-17-001434,0001180262,HLF,2017-05-05,2017-03-31,2017Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.003883,4,0,,-0.017506,-0.015631
E024,main,2017,製造與工業,0001530721-17-000088,0001530721,CPRI,2017-11-06,2017-09-30,2017Q3,加速,,,,1355000000.0,句中單位字,,,指引中值不高於已報累計收入,"For the third quarter of fiscal 2018, the Company expects total revenue to be between $1.355 billion and $1.385 billion, including between $105 million and $110 million of incremental Jimmy Choo revenue.",0.007577,4,0,,0.056791,0.053667
E025,main,2018,醫療,0001564590-18-009821,0001294133,INGN,2018-05-01,2018-03-31,2018Q1,兩者,0.703053,本財年餘下季度(去年同季佔比分配;比例分配下與下一季增速同值),真,315000000.0,往年收入量級,74036872.77,58038000.0,本財年已完成 1 季;指引 315 + 單位判讀(往年收入量級);句中年份 2018,"Inogen is increasing its full year 2018 total revenue guidance range to $310 to $320 million, up from $298 to $308 million, representing growth of 24.3% to 28.3% versus 2017 full year results.",0.174845,4,0,,0.506667,0.505733
E026,main,2018,醫療,0001157523-18-000569,0000031235,KODK,2018-03-16,2017-12-31,2017Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.034118,4,0,,0.024752,0.024752
E027,main,2018,科技與軟件,0001049521-18-000026,0001049521,MRCY,2018-08-01,2018-06-30,2018Q2,加速,0.242944,下一財年(分母=以去年同季佔比推當財年總額),真,613000000.0,往年收入量級,,,本財年已完成 4 季;指引 613 + 單位判讀(往年收入量級);句中年份 2019,"For the full fiscal year 2019, inclusive of the acquisition of Germane Systems, we currently expect revenue of $602.0 million to $624.0 million, and GAAP net income of $36.1 million to $44.5 million , or $0.75 to $0.93 per share, assuming no restructuring, acquisition, or non-recurring financing rel",0.212614,4,0,,0.322573,0.322287
E028,main,2018,科技與軟件,0001193125-18-314896,0000797721,VSAT,2018-11-01,2018-09-30,2018Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.049637,4,1,其中 1 季的首報日晚於 T1,0.316546,0.31648
E029,main,2018,消費與零售,0001144980-18-000125,0001144980,ABG,2018-10-23,2018-09-30,2018Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.011957,4,0,,0.096935,0.096935
E030,main,2018,製造與工業,0001157523-18-000221,0001116132,TPR,2018-02-06,2017-12-30,2017Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.056274,4,0,,0.354316,0.350533
E031,main,2018,製造與工業,0001157523-18-001761,0000769520,MIDD,2018-08-08,2018-06-30,2018Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.048506,4,0,,0.153203,0.153251
E032,main,2018,製造與工業,0001558370-18-007368,0001368622,AVAV,2018-09-06,2018-07-28,2018Q3,加速,0.136618,本財年餘下季度(去年同季佔比分配;比例分配下與下一季增速同值),真,290000000.0,句中單位字,61330898.51,73827000.0,本財年已完成 1 季;指引 290 + 單位判讀(句中單位字);句中年份 2019,"For fiscal 2019, the company continues to expect its continuing operations to generate revenue of between $290 million and $310 million, and earnings per diluted share of between $1.10 and $1.40 at 5% ownership of the HAPSMobile, Inc.",0.205081,4,0,,0.782287,0.783269
E033,main,2019,能源原材料公用,0001090727-19-000042,0001090727,UPS,2019-07-24,2019-06-30,2019Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.055836,4,0,,0.033914,0.033914
E034,main,2019,醫療,0001232524-19-000025,0001232524,JAZZ,2019-05-08,2019-03-31,2019Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.170693,4,0,,0.142567,0.142985
E035,main,2019,醫療,0001024305-19-000124,0001024305,COTY,2019-11-06,2019-09-30,2019Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.081212,4,0,,-0.043568,-0.043568
E036,main,2019,科技與軟件,0001511737-19-000007,0001511737,UI,2019-02-08,2018-12-31,2018Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.163,4,0,,0.225225,0.22513
E037,main,2019,科技與軟件,0001410384-19-000111,0001410384,QTWO,2019-08-08,2019-06-30,2019Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.259509,4,0,,0.32482,0.325605
E038,main,2019,消費與零售,0001193125-19-046137,0000049754,DIN,2019-02-21,2018-12-31,2018Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.075776,4,0,,0.439745,0.439745
E039,main,2019,製造與工業,0001206264-19-000181,0001206264,SGI,2019-10-31,2019-09-30,2019Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.068836,4,0,,0.125428,0.125428
E040,main,2019,製造與工業,0000278166-19-000094,0000278166,CVCO,2019-07-30,2019-06-29,2019Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.111452,4,0,,0.071416,0.071586
E041,main,2020,醫療,0001564590-20-004616,0001627223,CC,2020-02-14,2019-12-31,2019Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.16149,4,0,,-0.07582,-0.07582
E042,main,2020,醫療,0000105132-20-000044,0000105132,WDFC,2020-10-21,2020-08-31,2020Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.034431,4,0,,0.045492,0.045923
E043,main,2020,科技與軟件,0001459200-20-000028,0001459200,ALRM,2020-11-06,2020-09-30,2020Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.230296,4,0,,0.242571,0.242188
E044,main,2020,科技與軟件,0001157523-20-000655,0001618732,NTNX,2020-05-06,2020-04-30,2020Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.004956,4,0,,0.102133,0.106559
E045,main,2020,科技與軟件,0000733269-20-000023,0000733269,RAMP,2020-05-22,2020-03-31,2020Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.08312,4,0,,0.353491,0.349673
E046,main,2020,消費與零售,0000935703-20-000026,0000935703,DLTR,2020-05-28,2020-05-02,2020Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.035003,4,0,,0.082858,0.082308
E047,main,2020,製造與工業,0001019056-20-000540,0000913241,SHOO,2020-10-27,2020-09-30,2020Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.180249,4,0,,-0.302444,-0.302511
E048,main,2020,製造與工業,0000929008-20-000084,0000929008,WCC,2020-11-05,2020-09-30,2020Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.014288,4,0,,0.928114,0.928114
E049,main,2021,醫療,0000950170-21-000843,0000897448,AMRN,2021-08-05,2021-06-30,2021Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.204843,4,0,,0.141763,0.141675
E050,main,2021,醫療,0001110803-21-000012,0001110803,ILMN,2021-02-12,2021-01-03,2021Q1,加速,,,,4885000000.0,往年收入量級,,,本財年已無餘下季度,"For fiscal 2021, the company expects year-over-year revenue growth in the range of 17% to 20%, and expects GAAP earnings per diluted share of $4.76 to $5.01 and non-GAAP earnings per diluted share of $5.10 to $5.35.",-0.063664,4,0,,0.0,0.0
E051,main,2021,科技與軟件,0001564590-21-055710,0001720592,RPAY,2021-11-10,2021-09-30,2021Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.193861,4,0,,0.623509,0.624183
E052,main,2021,科技與軟件,0001445305-21-000107,0001445305,WK,2021-08-04,2021-06-30,2021Q2,兩者,1.369004,本財年餘下季度(去年同季佔比分配;比例分配下與下一季增速同值),真,431000000.0,句中單位字,107109243.01,88099000.0,本財年已完成 2 季;指引 431 + 單位判讀(句中單位字),"""Due to continued broad-based demand and the resulting top-line growth, we are raising our full-year revenue guidance range to $430 million to $432 million.",0.17815,4,0,,0.259242,0.259087
E053,main,2021,科技與軟件,0001437107-21-000017,0001437107,WBD,2021-02-22,2020-12-31,2020Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.037163,4,0,,0.004175,0.004175
E054,main,2021,消費與零售,0001336917-21-000037,0001336917,UA,2021-08-03,2021-06-30,2021Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.019558,4,0,,0.909917,0.909917
E055,main,2021,製造與工業,0001493152-21-018813,0001534675,TGLS,2021-08-06,2021-06-30,2021Q2,兩者,,,,130000000.0,往年收入量級,,,指引中值不高於已報累計收入,Increases Full Year 2021 Growth Outlook to Adjusted EBITDA 1 of $125 Million to $135 Million on Total Revenues of $450,-0.012056,4,0,,0.485197,0.485368
E056,main,2021,製造與工業,0001628280-21-021035,0000060519,LPX,2021-11-02,2021-09-30,2021Q3,指引,10.627907,本財年餘下季度(去年同季佔比分配;比例分配下與下一季增速同值),真,10000000000.0,往年收入量級,6439000000.0,860000000.0,"本財年已完成 3 季;指引 10 + 單位判讀(往年收入量級);極端值(|隱含增速|>200%),指引數字疑誤抽","• We reiterate prior guidance of 10% year-over-year revenue growth for Siding Solutions in the second half of 2021, and full-year EBITDA margin of 25%, with lower volume and higher prices netting to at most 5% revenue growth for the fourth quarter of 2021, as compared to the corresponding quarter of",0.769061,4,0,,0.533333,0.533333
E057,main,2022,能源原材料公用,0000093410-22-000062,0000093410,CVX,2022-07-29,2022-06-30,2022Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.892619,4,0,,0.828923,0.828923
E058,main,2022,醫療,0001157523-22-000115,0000009092,BMI,2022-01-28,2021-12-31,2021Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.153058,4,0,,0.208058,0.208486
E059,main,2022,醫療,0001104659-22-026089,0001583107,TBPH,2022-02-24,2021-12-31,2021Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.266026,4,0,,-0.204485,-0.202029
E060,main,2022,科技與軟件,0000950170-22-007576,0001517228,VISN,2022-05-05,2022-03-31,2022Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.018162,4,0,,0.075772,0.075579
E061,main,2022,科技與軟件,0001628280-22-014496,0000946581,TTWO,2022-05-17,2022-03-31,2022Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.037901,4,0,,0.107893,0.107898
E062,main,2022,消費與零售,0001437749-22-025362,0001611647,FRPT,2022-11-02,2022-09-30,2022Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.351991,4,0,,0.406265,0.406571
E063,main,2022,製造與工業,0000067215-22-000029,0000067215,DY,2022-05-25,2022-04-30,2022Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.020595,4,0,,0.204541,0.204541
E064,main,2022,製造與工業,0001558370-22-017810,0000933974,AZTA,2022-11-15,2022-09-30,2022Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.311609,4,0,,0.007748,0.004586
E065,main,2023,能源原材料公用,0001492691-23-000084,0001492691,KNX,2023-10-20,2023-09-30,2023Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.049392,4,0,,0.066511,0.064896
E066,main,2023,醫療,0001157523-23-000585,0000009092,BMI,2023-04-20,2023-03-31,2023Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.120078,4,0,,0.201643,0.201651
E067,main,2023,醫療,0000021076-23-000005,0000021076,CLX,2023-02-03,2022-12-31,2022Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.025839,4,0,,0.01715,0.014193
E068,main,2023,科技與軟件,0001157523-23-001139,0001408198,MSCI,2023-07-25,2023-06-30,2023Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.074358,4,0,,0.125758,0.12568
E069,main,2023,科技與軟件,0000050863-23-000100,0000050863,INTC,2023-10-27,2023-09-30,2023Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.258319,4,0,,-0.074195,-0.076933
E070,main,2023,科技與軟件,0001108524-23-000046,0001108524,CRM,2023-11-30,2023-10-31,2023Q4,指引,-0.736275,下一財年(分母=以去年同季佔比推當財年總額),真,9205000000.0,句中單位字,,,本財年已完成 3 季;指引 9.205 + 單位判讀(句中單位字),"• Initiates Fourth Quarter FY24 Revenue Guidance of $9.18 Billion to $9.23 Billion, up 10% Y/Y",0.12838,4,0,,0.112671,0.112671
E071,main,2023,消費與零售,0001856437-23-000031,0001856437,VSXY,2023-11-30,2023-10-28,2023Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.067569,4,0,,-0.040212,-0.040212
E072,main,2023,製造與工業,0001373670-23-000031,0001373670,GRBK,2023-05-04,2023-03-31,2023Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.307095,4,0,,0.148482,0.148482
E073,main,2024,能源原材料公用,0000884614-24-000079,0000884614,UGI,2024-11-22,2024-09-30,2024Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.221052,4,0,,-0.115385,-0.115385
E074,main,2024,醫療,0001628280-24-019986,0001437402,ARDX,2024-05-03,2024-03-31,2024Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,10.305421,4,0,"基數效應(去年同季接近零),數值不可直接比",3.04609,3.048113
E075,main,2024,醫療,0001558370-24-002189,0001070081,PTCT,2024-03-01,2023-12-31,2023Q4,加速,-0.360221,下一財年(分母=以去年同季佔比推當財年總額),真,600000000.0,句中單位字,,,本財年已完成 4 季;指引 600 + 單位判讀(句中單位字);句中年份 2024,● PTC anticipates total revenues for full year 2024 to be between $600 million and $680 million.,0.17299,4,0,,0.834397,0.834134
E076,main,2024,科技與軟件,0001730168-24-000125,0001730168,AVGO,2024-12-13,2024-11-03,2024Q4,兩者,-0.716912,下一財年(分母=以去年同季佔比推當財年總額),真,14600000000.0,句中單位字,,,本財年已完成 4 季;指引 14.6 + 單位判讀(句中單位字);句中年份 2025,"• First quarter fiscal year 2025 revenue guidance of approximately $14.6 billion, an increase of 22 percent from the prior year period",0.321286,4,0,,0.511996,0.511996
E077,main,2024,科技與軟件,0001459200-24-000024,0001459200,ALRM,2024-11-08,2024-09-30,2024Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.055613,4,0,,0.084046,0.084033
E078,main,2024,消費與零售,0000764180-24-000100,0000764180,MO,2024-10-31,2024-09-30,2024Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.033568,4,0,,-0.003503,-0.003503
E079,main,2024,製造與工業,0000814453-24-000111,0000814453,NWL,2024-10-25,2024-09-30,2024Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.085962,4,0,,-0.049316,-0.049316
E080,main,2024,製造與工業,0001856485-24-000021,0001856485,SLVM,2024-08-09,2024-06-30,2024Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.020517,4,0,,0.015234,0.015234
E081,main,2025,醫療,0001159036-25-000025,0001159036,HALO,2025-05-07,2025-03-31,2025Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.223243,4,0,,0.352876,0.352166
E082,main,2025,科技與軟件,0000950170-25-027818,0001643615,ONT,2025-02-27,2024-12-31,2024Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.130809,4,0,,0.14093,0.140676
E083,main,2025,科技與軟件,0001907982-25-000088,0001907982,QBTS,2025-05-08,2025-03-31,2025Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.090121,4,0,,5.085193,5.085598
E084,main,2025,製造與工業,0000708821-25-000010,0000708821,PAR,2025-02-28,2024-12-31,2024Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.041559,4,0,,-0.025142,-0.025096
B001,backup,2015,醫療,0001145197-15-000049,0001145197,PODD,2015-07-30,2015-06-30,2015Q2,加速,1.117984,本財年餘下季度(去年同季佔比分配;比例分配下與下一季增速同值),真,312500000.0,往年收入量級,89291743.22,74985000.0,本財年已完成 2 季;指引 312.5 + 單位判讀(往年收入量級);句中年份 2015,Company Reaffirms Full Year 2015 Revenue Guidance of $305 to $320 million,0.092363,4,0,,0.04981,0.049644
B002,backup,2015,科技與軟件,0000933036-15-000008,0000933036,UPBD,2015-04-28,2015-03-31,2015Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.017274,4,0,,0.052599,0.052646
B003,backup,2015,消費與零售,0000812011-15-000003,0000812011,MTN,2015-03-12,2015-01-31,2015Q1,加速,,,,,,,,指引值與往年收入量級不合(疑單位誤判),,0.118434,4,0,,0.171143,0.171225
B004,backup,2015,製造與工業,0001157523-15-004072,0000006955,EPAC,2015-12-17,2015-11-30,2015Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.105567,4,0,,-0.069455,-0.069422
B005,backup,2016,醫療,0001144204-16-115797,0000874716,IDXX,2016-08-02,2016-06-30,2016Q2,兩者,-0.985952,下一財年(分母=以去年同季佔比推當財年總額),真,25000000.0,句中單位字,,,本財年已完成 2 季;指引 25 + 單位判讀(句中單位字),"-- Revenue guidance for 2016 increased by $25 million, reflecting increase in full year growth outlook to 9.5% - 11.0% (10.0% - 11.5% on an organic basis)",0.08661,4,0,,0.129812,0.12877
B006,backup,2016,科技與軟件,0000816761-16-000036,0000816761,TDC,2016-02-04,2015-12-31,2015Q4,加速,-0.076087,下一財年(分母=以去年同季佔比推當財年總額),真,2337500000.0,往年收入量級,,,本財年已完成 4 季;指引 2.337 + 單位判讀(往年收入量級);句中年份 2016,"GAAP revenue guidance for the full year 2016 is expected to be in the $2.315 billion to $2.360 billion range, or down 7 to 8 percent from 2015.",-0.063377,4,0,,-0.055191,-0.055191
B007,backup,2016,消費與零售,0001193125-16-604238,0001403568,ULTA,2016-05-27,2016-04-30,2016Q2,加速,,,,1049500000.0,往年收入量級,,,指引中值不高於已報累計收入,"For the second quarter of fiscal 2016, the Company currently expects net sales in the range of $1,041 million to $1,058 million, compared to",0.210635,4,0,,0.236808,0.236826
B008,backup,2016,製造與工業,0001157523-16-007283,0001069878,TREX,2016-11-08,2016-09-30,2016Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.086851,4,0,,0.129511,0.129171
B009,backup,2017,醫療,0001367644-17-000045,0001367644,EBS,2017-11-03,2017-09-30,2017Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.046313,4,0,,0.045384,0.045622
B010,backup,2017,科技與軟件,0001564590-17-008781,0001005284,OLED,2017-05-05,2017-03-31,2017Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.00577,4,0,,0.871865,0.87072
B011,backup,2017,消費與零售,0000900075-17-000059,0000900075,CPRT,2017-11-22,2017-10-31,2017Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.144715,4,0,,0.211592,0.2115
B012,backup,2017,製造與工業,0001437749-17-017601,0001443669,PRLB,2017-10-26,2017-09-30,2017Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.083092,4,0,,0.126988,0.127052
B013,backup,2018,醫療,0001601046-18-000012,0001601046,KEYS,2018-05-31,2018-04-30,2018Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.145353,4,0,,0.317942,0.317942
B014,backup,2018,科技與軟件,0001564590-18-011773,0001652535,ICHR,2018-05-09,2018-03-30,2018Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.663203,4,1,其中 1 季的首報日晚於 T1,0.73499,0.735185
B015,backup,2018,消費與零售,0001170010-18-000105,0001170010,KMX,2018-06-22,2018-05-31,2018Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.07905,4,0,,0.054524,0.055096
B016,backup,2018,製造與工業,0001069183-18-000038,0001069183,AXON,2018-05-09,2018-03-31,2018Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.297848,4,0,,0.274577,0.27729
B017,backup,2019,醫療,0000105132-19-000031,0000105132,WDFC,2019-07-10,2019-05-31,2019Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.047901,4,0,,0.065172,0.065069
B018,backup,2019,科技與軟件,0001587523-19-000014,0001587523,KN,2019-07-25,2019-06-30,2019Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.099221,4,0,,0.089172,0.089172
B019,backup,2019,消費與零售,0001558370-19-005646,0001528849,RH,2019-06-13,2019-05-04,2019Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.027095,4,0,,0.072827,0.073582
B020,backup,2019,製造與工業,0001437749-19-017446,0000014707,CAL,2019-08-27,2019-05-04,2019Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.003287,4,0,,44.984017,44.899634
B021,backup,2020,醫療,0001500435-20-000057,0001500435,GPRO,2020-11-06,2020-09-30,2020Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.29755,4,0,,1.142274,1.138516
B022,backup,2020,科技與軟件,0000816761-20-000023,0000816761,TDC,2020-08-07,2020-06-30,2020Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.120303,4,0,,-0.043933,-0.043933
B023,backup,2020,科技與軟件,0001564590-20-051440,0001404655,HUBS,2020-11-06,2020-09-30,2020Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.291932,4,0,,0.315509,0.315423
B024,backup,2020,製造與工業,0000945841-20-000092,0000945841,POOL,2020-04-23,2020-03-31,2020Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.064834,4,0,,0.13364,0.13362
B025,backup,2021,醫療,0001564590-21-038462,0001520262,ALKS,2021-07-28,2021-06-30,2021Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.094433,4,0,,0.226927,0.226996
B026,backup,2021,科技與軟件,0001447669-21-000047,0001447669,TWLO,2021-02-18,2020-12-31,2020Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.540474,4,0,,0.654771,0.654741
B027,backup,2021,消費與零售,0001157523-21-000652,0001610250,BOOT,2021-05-13,2021-03-27,2021Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.043911,4,0,,0.372543,0.372394
B028,backup,2021,製造與工業,0001327567-21-000020,0001327567,PANW,2021-08-24,2021-07-31,2021Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.221337,4,0,,0.282934,0.282934
