事件,家,代號,敘事適用度,輪次,編號,可證偽的預測,勝率區間,核的日期,核的文件,證偽出場價,證偽出場價算式,支不支持買入,作廢前提
2026 SaaSpocalypse,Toast,TOST,大致不適用,第一輪,S1,"2026 Q2(期末 2026-06-30)業績稿披露的總 Locations ≥ 175,000,且該季淨增 Locations ≥ 6,000",65%-78%,估 2026-08,TOST 8-K 附件 99.1(2026 Q2 業績稿),26,"收入 6,430 × 2.2 EV/S = 14,146;加淨現金 1,857 = 16,003;÷ 609 百萬股 = 每股約 26",支持——門店淨增與 ARR 守住即屬「實際替代有限」;但買入理由須另行成立,
2026 SaaSpocalypse,Toast,TOST,大致不適用,第一輪,S2,同一份業績稿披露的 ARR 按年增長 ≥ 22%;基準 2025-09-30 為 +30%,60%-75%,估 2026-08,TOST 8-K 附件 99.1(2026 Q2 業績稿),26,"收入 6,430 × 2.2 EV/S = 14,146;加淨現金 1,857 = 16,003;÷ 609 百萬股 = 每股約 26",支持——門店淨增與 ARR 守住即屬「實際替代有限」;但買入理由須另行成立,
2026 SaaSpocalypse,Datadog,DDOG,大致不適用,第一輪,D1,2026 Q2(期末 2026-06-30)披露的 trailing-12-month dollar-based net retention rate ≥ 115%;基準約 120%,60%-72%,估 2026-08,DDOG 10-Q(期末 2026-06-30)〈Key Factors Affecting Our Performance〉,80,"收入 3,660 × 7.0 EV/S = 25,620;加淨現金 3,158 = 28,778;÷ 362.0 百萬股 = 每股約 80","只支持一半——兩條守住即敘事對 DDOG 不適用,但事前 EV/S 12.6× 本身仍是獨立風險",
2026 SaaSpocalypse,Datadog,DDOG,大致不適用,第一輪,D2,"2026 Q2 業績稿披露的「>$100,000 ARR 客戶數」按年增長 ≥ 12%;基準 +16%",60%-72%,估 2026-08,DDOG 8-K 附件 99.1,80,"收入 3,660 × 7.0 EV/S = 25,620;加淨現金 3,158 = 28,778;÷ 362.0 百萬股 = 每股約 80","只支持一半——兩條守住即敘事對 DDOG 不適用,但事前 EV/S 12.6× 本身仍是獨立風險",
2026 SaaSpocalypse,Datadog,DDOG,大致不適用,第一輪,D3,風險段那句「increase usage of our product and then seek to optimize their usage」是否仍以假設語氣書寫;配套量化門檻:AI-native 客戶群佔按年收入增長維持 ≥ 6pp,"未給(不設勝率,是查證動作)",估 2026-08,DDOG 10-Q(期末 2026-06-30)風險因素段落,80,"收入 3,660 × 7.0 EV/S = 25,620;加淨現金 3,158 = 28,778;÷ 362.0 百萬股 = 每股約 80",未給,
2026 SaaSpocalypse,monday.com,MNDY,高度適用,第一輪,MNDY-P1,"2025 全年業績公佈時,整體淨收入留存率(NDR)跌穿 108%;基準 2025 Q3 為 111%",45%-55%,估 2026-02-09 至 2026-02-16,monday.com FY2025 業績 6-K 附件 99.1,108,"FY2027E 收入 1,290 × 3.0 EV/收入 = 3,870;加淨現金 1,740 = 5,610;÷ 51.7 百萬股 = US$108.5","不支持——這條成真即證實敘事適用,應該避開;不是①錯殺注的候選",
2026 SaaSpocalypse,monday.com,MNDY,高度適用,第一輪,MNDY-P2,"同一份 FY2025 業績中,ARR 超過 $50,000 的付費客戶數淨增少於 250 家;基準 2025 Q3 為 3,993 家、按年 +37%",35%-45%,估 2026-02-09 至 2026-02-16,monday.com FY2025 業績 6-K 附件 99.1,108,"FY2027E 收入 1,290 × 3.0 EV/收入 = 3,870;加淨現金 1,740 = 5,610;÷ 51.7 百萬股 = US$108.5",不支持(大客戶擴張停下 = 座位敘事在企業端已落地),
2026 SaaSpocalypse,BlackLine,BL,部分適用,第一輪,BL-P1,"FY2025 年報披露的期末個別用戶數低於 385,000,而同期客戶數不低於 4,350;基準 385,336 名用戶、4,424 家客戶",55%-65%,估 2026-02 下旬,BlackLine FY2025 10-K「Key Business Metrics」一節,26.7,"FY2027E 收入 676 × 2.5 EV/收入 = 1,690;減淨負債 101 = 1,589;÷ 59.487 百萬股 = US$26.7(不含任何併購溢價)",不支持——用戶數續跌 = 敘事在數字上已見血,
2026 SaaSpocalypse,Workiva,WK,資料不足,第一輪,WK-P1,"FY2025 全年業績披露的淨留存率不低於 110%,且總留存率不低於 96%;基準 NDR 114%、GRR 97%",70%-80%,估 2026-02 下旬,Workiva FY2025 業績 8-K 附件 99.1,55.4,"FY2027E 收入 1,008 × 3.0 EV/收入 = 3,024;加淨現金 83.6 = 3,107.6;÷ 56.128 百萬股 = US$55.4","支持——但只在預測成真那一邊;$55.4 是不成真時的下望價,是風險腳而不是目標價",
2026 SaaSpocalypse,Guidewire,GWRE,大致不適用,第一輪,GWRE-P1,"FY2026 年度結束時的期末 ARR 不低於 $1,220M(即達到界線前指引下限,不下調)",70%-80%,估 2026-09 上旬(中途站 估 2026-03 上旬),FY2026 全年業績 8-K 附件 99.1,128.4,"FY2028E 收入 1,700 × 6.0 EV/收入 = 10,200;加淨現金 719 = 10,919;÷ 85.019 百萬股 = US$128.4","支持——在預測成真那一邊;ARR 守住指引下限 = 敘事被證偽,$128.4 是風險腳",
2026 SaaSpocalypse,Snowflake,SNOW,大致不適用,第一輪,SNOW-P1,FY2026 全年業績披露的淨收入留存率不低於 120%;基準 125%,70%-80%,估 2026-03 上旬,Snowflake FY2026 全年業績 8-K 附件,145.7,"FY2028E 收入 5,973 × 8.0 EV/收入 = 47,784;加淨現金 2,090 = 49,874;÷ 342.2 百萬股 = US$145.7",支持——在預測成真那一邊(NRR ≥120% = 敘事被證偽);$145.7 是不成真時的下望價,
2026 SaaSpocalypse,Snowflake,SNOW,大致不適用,第一輪,SNOW-P2,"同一份 FY2026 業績中,過去十二個月產品收入逾 $1M 的客戶數不少於 730 家;基準 688 家",60%-70%,估 2026-03 上旬,Snowflake FY2026 全年業績 8-K 附件,145.7,"FY2028E 收入 5,973 × 8.0 EV/收入 = 47,784;加淨現金 2,090 = 49,874;÷ 342.2 百萬股 = US$145.7",成真同樣支持買入方向,
2026 SaaSpocalypse,Twilio,TWLO,大致不適用,第一輪,TWLO-P1,FY2025 全年業績披露的按金額計淨擴張率(DBNE)不低於 105%;基準 2025 Q3 為 109%,70%-80%,估 2026-02 中,Twilio FY2025 業績 8-K 附件 99.1,97.2,"FY2027E 收入 5,325 × 2.5 EV/收入 = 13,313;加淨現金 1,459 = 14,772;÷ 152.068 百萬股 = US$97.1","支持——在預測成真那一邊(DBNE ≥105% = 敘事被證偽);但 Twilio 跌得最淺,可撿幅度最小",
2026 SaaSpocalypse,Asana,ASAN,高度適用,第一輪,A1,"$100,000 以上客戶的 dollar-based net retention rate ≤ 94%;界線前值 96%、一年前 99%",55%-65%,估 2026-12,2026-10-31 止季度的 8-K 附件 99.1 與 10-Q,6.55,"FY27 收入 750 × 1.5 EV/S = 1,125;加淨現金 428 = 1,553;÷ 237.10 百萬股 = $6.55","不支持——印證敘事適用,①錯殺注不成立",
2026 SaaSpocalypse,Asana,ASAN,高度適用,第一輪,A2,"Core 客戶(年付 ≥$5,000)家數同比增長 ≤ 5%;界線前 25,413 家、同比 +8%",50%-60%,估 2026-12,2026-10-31 止季度的 8-K 附件 99.1 與 10-Q,6.55,"FY27 收入 750 × 1.5 EV/S = 1,125;加淨現金 428 = 1,553;÷ 237.10 百萬股 = $6.55","不支持——印證敘事適用,①錯殺注不成立",
2026 SaaSpocalypse,UiPath,PATH,高度適用,第一輪,P1,ARR 同比增長 ≤ 6%(對應 2026-10-31 ARR ≤ 約 $1.89B);界線前 +11%、ARR $1.782B,50%-60%,估 2026-12,2026-10-31 止季度的 8-K 附件 99.1,6.91,"FY27 收入 1,450 × 1.5 EV/S = 2,175;加淨現金 1,519.8 = 3,694.8;÷ 534.75 百萬股 = $6.91","不支持——淨現金 $2.84/股雖佔基準價 16%,但那是估值問題,不是敘事錯殺",
2026 SaaSpocalypse,UiPath,PATH,高度適用,第一輪,P2,dollar-based net retention rate ≤ 104%;界線前 107%,55%-65%,估 2026-12,2026-10-31 止季度的 8-K 附件 99.1,6.91,"FY27 收入 1,450 × 1.5 EV/S = 2,175;加淨現金 1,519.8 = 3,694.8;÷ 534.75 百萬股 = $6.91","不支持——淨現金 $2.84/股雖佔基準價 16%,但那是估值問題,不是敘事錯殺",
2026 SaaSpocalypse,Procore,PCOR,大致不適用,第一輪,C1,毛收入留存率(gross revenue retention rate)≥ 94%;界線前 95%,70%-80%,估 2026-11,2026-09-30 止季度的 8-K 附件 99.1,30.73,"2027 年收入 1,350 × 3.0 EV/S = 4,050;加淨現金 728 = 4,778;÷ 155.47 百萬股 = $30.73","支持——但只支持把它留在①候選名單,實際落注仍要過 200 日線閘與損失預算",
2026 SaaSpocalypse,Procore,PCOR,大致不適用,第一輪,C2,"$100,000 以上 ARR 的 organic 客戶家數同比增長 ≥ 10%;界線前 2,602 家、+15%",60%-70%,估 2026-11,2026-09-30 止季度的 8-K 附件 99.1,30.73,"2027 年收入 1,350 × 3.0 EV/S = 4,050;加淨現金 728 = 4,778;÷ 155.47 百萬股 = $30.73","支持——但只支持把它留在①候選名單,實際落注仍要過 200 日線閘與損失預算",
2026 SaaSpocalypse,Elastic,ESTC,大致不適用,第一輪,E1,淨擴張率(net expansion rate)≥ 110%;界線前約 112%,60%-70%,估 2026-11 下旬,2026-10-31 止季度(FY27 Q2)的 8-K 附件 99.1,57.62,"FY28 收入 1,750 × 3.0 EV/S = 5,250;加淨現金 821.1 = 6,071.1;÷ 105.37 百萬股 = $57.62","支持——留在①候選,仍須過 200 日線閘",
2026 SaaSpocalypse,Elastic,ESTC,大致不適用,第一輪,E2,"Elastic Cloud 收入同比增長 ≥ 18%(界線前 +22%),且雲佔總收入 ≥ 52%(界線前 49%)",55%-65%,估 2026-11 下旬,2026-10-31 止季度(FY27 Q2)的 8-K 附件 99.1,57.62,"FY28 收入 1,750 × 3.0 EV/S = 5,250;加淨現金 821.1 = 6,071.1;÷ 105.37 百萬股 = $57.62","支持——留在①候選,仍須過 200 日線閘",
2026 SaaSpocalypse,MongoDB,MDB,大致不適用,第一輪,M1,淨 ARR 擴張率(net ARR expansion rate)≥ 118%;界線前 120%,60%-70%,估 2026-12,2026-10-31 止季度(FY27 Q3)10-Q 的 MD&A,216.3,"FY28 收入 2,550 × 6.0 EV/S = 15,300;加淨現金 2,305.8 = 17,605.8;÷ 81.39 百萬股 = $216.3","判斷層支持,但本票不列入①候選——急性期只跌 25.6%,錯殺幅度不足",
2026 SaaSpocalypse,MongoDB,MDB,大致不適用,第一輪,M2,"$100,000 以上 ARR 客戶家數 ≥ 3,050;界線前 2,694 家、同比 +16%",55%-65%,估 2026-12,2026-10-31 止季度的 8-K 附件 99.1 或 10-Q,216.3,"FY28 收入 2,550 × 6.0 EV/S = 15,300;加淨現金 2,305.8 = 17,605.8;÷ 81.39 百萬股 = $216.3","判斷層支持,但本票不列入①候選——急性期只跌 25.6%,錯殺幅度不足",
2026 SaaSpocalypse,Zoom,ZM,部分適用,第一輪,Z1,"「>$100,000 TTM 收入的客戶家數」同比增長 ≤ 5%;界線前 4,363 家、+9.2%",50%-60%,估 2026-11 下旬,2026-10-31 止季度(FY27 Q3)的 8-K 附件 99.1,57.90,"FY28 收入 4,600 × 2.0 EV/S = 9,200;加淨現金 7,943.3 = 17,143.3;÷ 296.10 百萬股 = $57.90","不支持作為①錯殺注——敘事對它一半成立,不是錯殺",
2026 SaaSpocalypse,Zoom,ZM,部分適用,第一輪,Z2,企業客戶 TTM 淨美元擴張率 ≥ 98%(即止跌不再惡化);界線前 98%,45%-55%,估 2026-11 下旬,2026-10-31 止季度(FY27 Q3)的 8-K 附件 99.1,57.90,"FY28 收入 4,600 × 2.0 EV/S = 9,200;加淨現金 7,943.3 = 17,143.3;÷ 296.10 百萬股 = $57.90","不支持作為①錯殺注——敘事對它一半成立,不是錯殺",
2026 SaaSpocalypse,PagerDuty,PD,高度適用,第一輪,PD-P1,期末 2026-10-31 那一季的 dollar-based net retention rate ≤ 97%;界線前 2025-10-31 為 100%、一年前 107%,65%-75%,估 2026-12 上旬,Q3 FY2027 業績 8-K 附件 99.1,18.58,"收入 520 × 3.0 = 1,560;加淨現金 145.281 = 1,705.3;÷ 91.777 百萬股 = 每股 18.58 美元","不支持——NDR 跌穿 97% 等於實際替代已在座位上發生,這一跌是對的",
2026 SaaSpocalypse,PagerDuty,PD,高度適用,第一輪,PD-P2,"總付費客戶數 ≤ 15,300;界線前 2025-10-31 為 15,398、一年前 15,050",45%-60%,估 2026-12 上旬,Q3 FY2027 業績新聞稿,18.58,"收入 520 × 3.0 = 1,560;加淨現金 145.281 = 1,705.3;÷ 91.777 百萬股 = 每股 18.58 美元",不支持——客戶數淨流失是「實際替代」而非「尚未反映」的直接證據,
2026 SaaSpocalypse,Freshworks,FRSH,高度適用,第一輪,FRSH-P1,期末 2026-09-30 那一季的 net dollar retention rate ≤ 99%;界線前 2025 Q3 為 105%、一年前 107%,55%-65%,估 2026-11 上旬,Q3 2026 業績 8-K 附件 99.1,14.05,"收入 1,050 × 3.0 = 3,150;加淨現金 813.2 = 3,963.2;÷ 282.0 百萬股 = 每股 14.05 美元","不支持——NDR 跌穿 100 代表現有客戶的座位在淨縮,跌是對的",
2026 SaaSpocalypse,Freshworks,FRSH,高度適用,第一輪,FRSH-P2,"期末 2026-09-30 的「customers contributing more than $5,000 in ARR」按年增幅 ≤ 4%;界線前 24,377 家、按年 +9%",60%-70%,估 2026-11 上旬,Q3 2026 業績 8-K 附件 99.1,14.05,"收入 1,050 × 3.0 = 3,150;加淨現金 813.2 = 3,963.2;÷ 282.0 百萬股 = 每股 14.05 美元","不支持——新客上量放緩加上留存下滑,是實際替代而非估值情緒",
2026 SaaSpocalypse,Freshworks,FRSH,高度適用,第一輪,FRSH-P3,"披露一個把計價單位講死的數,三選一:(甲)按 agent/seat 計的席位數或 ARR per agent;(乙)Freddy AI 按 resolution/conversation 計費的絕對 ARR 或收入金額;(丙)10-K 收入確認附註寫明訂閱按「per agent」或「per user」計價",40%-55%,估 2027-02 中下旬(若 Q3 2026 新聞稿已披露則以較早者為準),2026 年度 10-K(收入確認附註與業務章節),14.05,"收入 1,050 × 3.0 = 3,150;加淨現金 813.2 = 3,963.2;÷ 282.0 百萬股 = 每股 14.05 美元",兩邊都不直接支持——它只把證據等級由「中」推上「高」,
2026 SaaSpocalypse,BILL Holdings,BILL,大致不適用,第一輪,BILL-P1,期末 2026-09-30 那一季的 transaction fees ≥ 315 百萬美元(即較 287.2 百萬按年 +10% 或以上),65%-75%,估 2026-11 上旬,Q1 FY2027 業績 8-K 附件 99.1,42.71,"核心收入 1,540 × 2.5 = 3,850;加淨現金 427.9 = 4,277.9;÷ 100.157 百萬股 = 每股 42.71 美元","支持——交易費守住雙位數,等於敘事機制在這一家身上沒有作用,主震跌幅屬錯殺",
2026 SaaSpocalypse,BILL Holdings,BILL,大致不適用,第一輪,BILL-P2,期末 2026-09-30 那一季的訂閱費 ÷ 核心收入 ≤ 19.0%;界線前 70.8 ÷ 358.0 = 19.8%,60%-70%,估 2026-11 上旬,Q1 FY2027 業績 8-K 附件 99.1,42.71,"核心收入 1,540 × 2.5 = 3,850;加淨現金 427.9 = 4,277.9;÷ 100.157 百萬股 = 每股 42.71 美元","支持,但只作輔證——要與預測一同時成立",
2026 SaaSpocalypse,Paylocity,PCTY,大致不適用,第一輪,PCTY-P1,期末 2026-09-30 那一季的 recurring and other revenue ≥ 416 百萬美元(即較 378.9 百萬按年 +10% 或以上),60%-70%,估 2026-11 上旬,Q1 FY2027 業績 8-K 附件 99.1,136.15,"收入 1,830 × 4.0 = 7,320;加淨現金 83.9 = 7,403.9;÷ 54.382 百萬股 = 每股 136.15 美元",支持——直接分辨「替代尚未反映」與「實際替代有限」,
2026 SaaSpocalypse,Paylocity,PCTY,大致不適用,第一輪,PCTY-P2,FY2027(年結 2027-06-30)10-K 披露的 annual revenue retention ≥ 90%;界線前 FY2023–FY2025 連續三年 >92%,70%-80%,估 2027-08 上旬,FY2027 10-K,136.15,"收入 1,830 × 4.0 = 7,320;加淨現金 83.9 = 7,403.9;÷ 54.382 百萬股 = 每股 136.15 美元","支持,作為結構證據;但較遲公佈,只宜作覆核用,不宜作進場觸發",
2026 SaaSpocalypse,Okta,OKTA,部分適用,第一輪,OKTA-P1,"期末 2026-10-31 的 ACV 超過 100,000 美元的客戶數 ≥ 5,250;界線前 5,030、按年 +7%",70%-80%,估 2026-12 上旬,Q3 FY2027 10-Q 的 Key Business Metrics 表,70.18,"收入 2,950 × 3.5 = 10,325;加淨現金 2,113 = 12,438;÷ 177.228 百萬股 = 每股 70.18 美元","支持——大額客戶淨增代表企業仍在把更多身分放進 Okta,是「實際替代有限」的直接證據",
2026 SaaSpocalypse,Okta,OKTA,部分適用,第一輪,OKTA-P2,期末 2026-10-31 的 dollar-based net retention rate ≥ 104%;界線前 106%、一年前 108%,60%-70%,估 2026-12 上旬,Q3 FY2027 10-Q,70.18,"收入 2,950 × 3.5 = 10,325;加淨現金 2,113 = 12,438;÷ 177.228 百萬股 = 每股 70.18 美元","支持——NDR 只溫和下滑而非跳水,等於 AI 代理沒有在削 Okta 的席位",
2026 SaaSpocalypse,Cloudflare,NET,大致不適用,第一輪,NET-P1,期末 2026-09-30 那一季的 dollar-based net retention rate ≥ 115%;界線前 2025 Q3 為 119%、一年前 110%,70%-80%,估 2026-11 上旬,Q3 2026 10-Q 的 MD&A Key Business Metrics 段,85.04,"收入 2,900 × 10.0 = 29,000;加淨現金 780.5 = 29,780.5;÷ 350.2 百萬股 = 每股 85.04 美元","支持這家不受敘事影響的結論,但不支持在這個跌幅下買入——錯殺折讓已被市場自己收窄",
2026 SaaSpocalypse,Cloudflare,NET,大致不適用,第一輪,NET-P2,"期末 2026-09-30 的年化收入超過 100,000 美元的付費客戶數 ≥ 4,800;界線前 4,009、一年前 3,265",60%-70%,估 2026-11 上旬,Q3 2026 10-Q,85.04,"收入 2,900 × 10.0 = 29,000;加淨現金 780.5 = 29,780.5;÷ 350.2 百萬股 = 每股 85.04 美元",不支持在現價買入;它的用途是為「敘事適用度」判斷法提供一個高信心的對照組,
