ticker,p0,p1,ret,rel_spy,ma200,px_vs_ma200,ma200_slope_40d,med_dollar_vol_60d,name,entity_id,sic,sic_description,approx_mcap_usd,shares_outstanding,mcap_now_usd
QCOM,226.91238403320312,168.74000549316406,-0.25636493480905365,-0.27433922390139187,166.11623596191407,0.015794780781401396,-0.003344032595095081,2088593613.899231,QUALCOMM INC/DE,0000804328,3663,Radio & Tv Broadcasting & Communications Equipment,174940500640.86914,1050000000.0,177177005767.82227
UPB,8.079999923706055,6.010000228881836,-0.25618808346161115,-0.2741623725539494,13.894674980640412,-0.5674601790070204,-0.1739979136058718,3993456.982278824,"Upstream Bio, Inc.",0002022626,2834,Pharmaceutical Preparations,358750328.996747,54771041.0,329173968.9460964
HLIT,15.8100004196167,11.779999732971191,-0.254901997449992,-0.2728762865423302,11.380400018692017,0.03511297613641373,0.03133894859005859,17301672.71938324,HARMONIC INC.,0000851310,3663,Radio & Tv Broadcasting & Communications Equipment,1278258764.5238829,109066445.0,1284802692.9761171
KRMN,53.650001525878906,39.97999954223633,-0.25479965694033846,-0.2727739460326767,71.6363000869751,-0.4419030645958014,-0.06676339576007373,133300674.75700378,Karman Holdings Inc.,0002040127,3728,"Aircraft Parts & Auxiliary Equipment, NEC",5445810081.943039,132533708.0,5298697585.170883
MYGN,4.28000020980835,3.190000057220459,-0.25467292036340783,-0.27264720945574605,5.062850003242493,-0.3699200933905943,-0.11112155993342554,5508888.033151627,MYRIAD GENETICS INC,0000899923,2835,In Vitro & In Vivo Diagnostic Substances,304165877.4853027,95649645.0,305122373.0231166
PUMP,15.34000015258789,11.470000267028809,-0.25228160671864175,-0.27025589581098,12.720949997901917,-0.09833776023641538,0.05582954269260987,38813309.65356827,ProPetro Holding Corp.,0001680247,1389,"Oil & Gas Field Services, NEC",1394051504.8036063,122823917.0,1408790360.7875242
SSYS,10.6899995803833,8.0,-0.25163701459068233,-0.26961130368302055,8.97644999742508,-0.10877908278942983,-0.05004374818165458,4813836.131858826,STRATASYS LTD.,0001517396,3577,"Computer Peripheral Equipment, NEC",653574427.3793335,86109936.0,688879488.0
AAP,59.030452728271484,44.18000030517578,-0.2515727346943313,-0.2695470237866695,51.969647903442386,-0.1498884043382297,-0.00038699123012153613,82320504.08973694,ADVANCE AUTO PARTS INC,0001158449,5531,Retail-Auto & Home Supply Stores,2585119953.918457,60400000.0,2668472018.432617
SANM,264.8800048828125,198.47000122070312,-0.2507173151536686,-0.2686916042460068,183.38969982147216,0.0822309072642109,0.06151097427967889,152220927.7633667,SANMINA CORP,0000897723,3672,Printed Circuit Boards,10038784942.36615,53597356.0,10637467310.74646
ENLT,105.22000122070312,78.91999816894531,-0.2499525066207946,-0.2679267957131328,72.61837490081787,0.08677725543616477,0.14116156602149643,17277233.876037598,Enlight Renewable Energy Ltd.,0001922641,4911,Electric Services,9900793092.394066,132133899.0,10428007067.135605
DQ,16.3799991607666,12.3100004196167,-0.24847368435148454,-0.26644797344382276,20.870850019454956,-0.4101821244395021,-0.12932843987821085,12256723.341464996,DAQO NEW ENERGY CORP.,0001477641,3674,Semiconductors & Related Devices,4384765677.546291,338330684.0,4164850862.009205
FIP,4.534110069274902,3.4100000858306885,-0.24792295869958492,-0.26589724779192314,4.827219932079315,-0.29358924312324886,-0.04356880867547486,4020068.0708408356,FTAI Infrastructure Inc.,0001899883,4011,"Railroads, Line-Haul Operating",399454284.58482647,118181737.0,402999733.31361985
KTOS,63.4900016784668,47.81999969482422,-0.24681054606047048,-0.2647848351528087,71.61184993743896,-0.3322334259399752,-0.0859290772208694,182630931.5591812,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",0001069258,3760,Guided Missiles & Space Vehicles & Parts,9262170302.824001,187721327.0,8976833799.851997
CRDO,226.10000610351562,170.57000732421875,-0.24559928031967193,-0.26357356941201016,175.34477546691895,-0.02723074086459465,0.08638983408166157,1406644802.0225525,Credo Technology Group Holding Ltd,0001807794,3674,Semiconductors & Related Devices,38836505734.073975,187951918.0,32058960029.860962
CMP,33.5099983215332,25.31999969482422,-0.24440462658710937,-0.2623789156794476,25.29240001678467,0.0010912241630385289,0.07103346256095988,11782671.639537811,COMPASS MINERALS INTERNATIONAL INC,0001227654,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),1025592764.631546,41980874.0,1062955716.868454
RZLV,2.9200000762939453,2.2100000381469727,-0.24315069164248193,-0.26112498073482016,2.6916250002384188,-0.17893464433150408,-0.12384497733563138,25556948.82683754,REZOLVE AI PLC,0001920294,7370,"Services-Computer Programming, Data Processing, Etc.",803822968.212168,336327587.0,743283980.0998793
SGML,16.360000610351562,12.390000343322754,-0.24266504394363198,-0.2606393330359702,13.460899975299835,-0.07955631747818759,0.062420885041663654,18194041.64791107,Sigma Lithium Corp,0001848309,1000,Metal Mining,1365800548.0381184,111402979.0,1380282948.0571775
STM,68.9422607421875,52.2400016784668,-0.24226445265813823,-0.26023874175047645,45.22651359558105,0.15507470121621325,0.13257100206183958,621672703.2283783,STMicroelectronics N.V.,0000932787,3674,Semiconductors & Related Devices,43905148064.952576,888768152.0,46429249752.24783
CLVT,2.7300000190734863,2.069999933242798,-0.24175827150898,-0.2597325606013182,2.562350002527237,-0.19214785989378347,-0.09895792964481787,9639055.909347534,CLARIVATE PLC,0001764046,7374,Services-Computer Processing & Data Preparation,1304914541.718755,639664003.0,1324104443.5078208
WIT,2.3829360008239746,1.809999942779541,-0.24043283489205036,-0.2584071239843886,2.246946752667427,-0.1944624675102654,-0.05851773558545459,16099786.88582778,WIPRO LTD,0001123799,7371,Services-Computer Programming Services,19193795248.25383,10488412458.0,18984025948.828224
MTSI,353.7900085449219,268.95001220703125,-0.23980325698519045,-0.2577775460775287,263.5796994781494,0.02037453088957264,0.0978507298422806,424823123.7854004,"MACOM Technology Solutions Holdings, Inc.",0001493594,3674,Semiconductors & Related Devices,20009948377.119873,76370931.0,20539962824.71234
TDC,36.83000183105469,28.049999237060547,-0.23839267329579472,-0.25636696238813295,29.817550039291383,-0.05927887435090029,0.03542425777432423,79309961.48395538,TERADATA CORP /DE/,0000816761,7372,Services-Prepackaged Software,2664449964.523316,93000000.0,2608649929.046631
MARA,14.850000381469727,11.3100004196167,-0.23838382969136784,-0.25635811878370607,10.919249999523164,0.03578546329744259,-0.10258316001071521,531980687.8311157,"MARA Holdings, Inc.",0001507605,6199,Finance Services,3951841631.4762154,386299297.0,4369045211.167636
NN,19.93000030517578,15.180000305175781,-0.2383341659441136,-0.25630845503645183,16.90275004386902,-0.10192126927405609,0.020384612012740666,38145005.6476593,NEXTNAV INC.,0001865631,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",2569286875.277109,168809910.0,2562534485.316696
LULU,132.08999633789062,100.61000061035156,-0.2383223302316716,-0.2562966193240098,152.7701495361328,-0.3414289315298763,-0.06287865224690425,337527984.0457916,lululemon athletica inc.,0001397187,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,12795678926.0,108437957.0,10909942919.955276
SOLS,83.66853332519531,63.72999954223633,-0.2383038520044769,-0.2562781410968151,67.87902244567871,-0.061123786907254174,0.011541294040679384,160896595.24497986,Solstice Advanced Materials Inc.,0002064953,2800,Chemicals & Allied Products,9805648015.655445,158847369.0,10123342753.655445
DRS,47.86444091796875,36.599998474121094,-0.23534052059968558,-0.2533148096920238,41.761275691986086,-0.1235900276594144,0.018039438140552422,34952909.227371216,"Leonardo DRS, Inc.",0001833756,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",10061810319.122066,266891515.0,9768229041.755867
ACLS,150.4199981689453,115.08000183105469,-0.23494214046059392,-0.25291642955293214,116.6675,-0.013607029969317175,0.07907780000399689,53870538.05923462,AXCELIS TECHNOLOGIES INC,0001113232,3559,"Special Industry Machinery, NEC",3420742432.862892,30881489.0,3553841810.665695
ACDC,6.730000019073486,5.150000095367432,-0.23476967596258225,-0.25274396505492047,5.424400013685227,-0.05058622476688868,0.011100906047776693,7347530.143451691,ProFrac Holding Corp.,0001881487,1389,"Oil & Gas Field Services, NEC",919719982.8371601,182122762.0,937932241.66858
