"編號","名稱","類別","白話一句","公式或做法","所需輸入","免費可算","預測力證據出處","OSAP 訊號名","Karst 適用度"
"A14","隱含資本成本(反推 DCF)","絕對估值","反過來做:用今日市價與分析員預測,倒推出市場其實預期這隻股票每年回報多少。預期回報高即代表便宜。","解出令 V0 等於市價的 r;四大估計式:Claus-Thomas (2001) JF 56(5), DOI 10.1111/0022-1082.00384;Gebhardt-Lee-Swaminathan (2001) JAR 39(1), DOI 10.1111/1475-679X.00007;Ohlson-Juettner-Nauroth (2005);Easton (2004) TAR 79(1), DOI 10.2308/accr.2004.79.1.73","損益表、資產負債表、分析員預測、市價","部分(需要歷史分析員預測,免費來源缺歷史)","反證:Easton & Monahan (2005), The Accounting Review 80(2): 501–538, DOI 10.2308/accr.2005.80.2.501——七個隱含回報代理「none of them has a positive association with realized returns」;Lee, So & Wang (2021), Review of Financial Studies 34(4): 1907–1951, DOI 10.1093/rfs/hhaa066——隱含回報類代理適合時序應用,橫斷面應用要用特徵類代理","—(OSAP 無)","低——概念完整,但作橫斷面選股的證據已被反覆證偽;免費來源亦無歷史共識,回測會前視"
"A15","實質選擇權估值(擴張、延遲、放棄)","絕對估值","把「將來可以選擇做或不做」本身當成有價值的東西計算——例如一塊未開發的礦,即使今日開採虧本,將來油價上升就有價值。","以 Black-Scholes 或二元樹替專案的彈性定價;Damodaran expand.xls / delay.xls / abandon.xls / natres.xls","損益表、資產負債表、折現率、市價、波幅","難(要逐個專案的標的資產與波幅,無法橫斷面量產)","Damodaran「The Promise and Peril of Real Options」(pages.stern.nyu.edu/~adamodar/pdfiles/papers/realopt.pdf);CFA 課程無此章節","—(OSAP 無)","低——不可能對 1,209 個代號逐一量產,只適合個案使用"
"A16","股權作為看漲期權(財困公司)","絕對估值","一間資不抵債的公司,股票其實類似一張彩票:債主取回一切之前股東分毫不得,但資產一旦翻身股東就全數受惠。用期權公式替這張彩票定價。","以公司資產價值為標的、負債面值為行使價,用 Black-Scholes 計算股權價值;Damodaran equity.xls","資產負債表、市價、波幅、折現率","可(以市值與波幅近似資產價值)","Merton (1974), Journal of Finance 29(2): 449–470, DOI 10.1111/j.1540-6261.1974.tb03058.x;Damodaran realopt.pdf p.56–59、Eurotunnel 案例 p.63;⚠ 用作選股要反讀:Campbell, Hilscher & Szilagyi (2008) 證實高違約風險股回報反而低","—(OSAP 無)","中——本身是 D10 距離違約的另一面,建議直接做 D10,不重複"
"A17","淨資產值與清算價值","絕對估值","把公司所有資產逐項按市價變賣、還清所有債務,剩下多少就是多少。適合資產型公司。","調整後資產市值減負債","資產負債表、市價","可(帳面值算得到;真正市價要重估,免費來源沒有)","CFA Program《Equity Asset Valuation》資產基礎估值章;Graham & Dodd《Security Analysis》;淨流動資產版本的實證見 Oppenheimer (1986), Financial Analysts Journal 42(6): 40–47——1970–1983 年化 28.3% 對基準 10.7%","—(OSAP:AM 資產市值比為近親)","中——帳面版本即 B14,重估版本免費數據做不到"
"A18","總派付折現(股息加回購)","絕對估值","美股大公司回購多於派息,只看股息會低估回報;把回購一併當成派給股東的錢來折現。","以(股息加淨回購)取代 DDM 中的股息","損益表、資產負債表、現金流量表、折現率、市價","可","Boudoukh, Michaely, Richardson & Roberts (2007), Journal of Finance 62(2): 877–915, DOI 10.1111/j.1540-6261.2007.01226.x","—(OSAP:NetPayoutYield、PayoutYield)","高——比率版本(B13)已有 OSAP 實證且量級可觀,建議直接做比率版本"
"B01","追蹤市盈率(P/E,盈利價格比 E/P)","相對估值","股價是每股盈利的多少倍。倍數低即市場對這盤生意的出價便宜。倒轉來看,就是每一元股價買到多少盈利。","E/P = 過去十二個月每股盈利 ÷ 股價","損益表、市價","可","Basu (1977), Journal of Finance 32(3): 663–682, DOI 10.1111/j.1540-6261.1977.tb01979.x(樣本 1956-09 至 1971-08;⚠ 坊間流傳的 16.3% 對 9.3% 找不到可追溯出處);Basu (1983), JFE 12(1): 129–156;Fama & French (1992) 報 E/P 組合由 0.93% 單調升至 1.72%/月;Hou-Xue-Zhang (2020) 滯後 E/P 四個變體全部複製成功;OSAP 記錄原文月均 0.58%","EP","高——輸入最少、覆蓋最闊、現代複製通得過;但虧損公司算不出,標普 500 每年約 6% 成分要留白"
"B02","前瞻市盈率(Forward P/E)","相對估值","用分析員估計的下一年盈利計算市盈率,而不是用已經過去的盈利。","前瞻 E/P = 未來十二個月每股盈利預測 ÷ 股價","分析員預測、市價","部分(yfinance 有現值,沒有歷史快照)","Elgers, Lo & Pfeiffer (2001), The Accounting Review 76(4): 613–632, DOI 10.2308/accr.2001.76.4.613;⚠ Hou-Xue-Zhang (2020) 同一套程序下:前瞻 E/P 只有一個月持有期(Efp1)複製成功,六個月與十二個月(Efp6、Efp12)複製失敗;滯後 E/P 則四個變體全部成功","sfe、FEPS","低——現代證據顯示滯後版勝過前瞻版;加上免費來源沒有歷史共識、共識值會被回溯修訂,回測極易前視。建議用 B01 不用 B02"
"B03","PEG 比率","相對估值","市盈率除以增長率:貴或不貴,要看它增長得多快。增長快的公司市盈率高,不一定就是昂貴。","PEG = 市盈率 ÷ 盈利增長率(百分數)","損益表、分析員預測、市價","部分","⚠ 沒有經同行評審的選股證據:OSAP 全表沒有 PEG 訊號(已逐欄核對);Hou-Xue-Zhang 的 447 個異象裡亦沒有 PEG;Easton (2004) 用 PEG 作隱含回報估計式而非選股篩網;Easton (2002) 直接測排序那一篇(DOI 10.2139/ssrn.301837)從未在期刊發表","—(OSAP 無)","低——業界極常用,但屬「無證據支持」而非「證據不足」,列出以正視聽"
"B04","市帳率(P/B)與帳面市值比(B/M)","相對估值","股價相對公司帳面淨值的多少倍。這是學術界最經典的「價值」量度。","B/M = 普通股帳面權益 ÷ 市值","資產負債表、市價","可","Fama & French (1992), Journal of Finance 47(2): 427–465, DOI 10.1111/j.1540-6261.1992.tb04398.x——樣本 1963-07 至 1990-12,最低至最高帳面市值比組合由 0.30% 升至 1.83%/月,差 1.53%/月;⚠ 常見誤引更正:t=5.71 是對數帳面市值比單變數 Fama-MacBeth 斜率 0.50%/月 的 t 值,不是那 1.53% 價差的 t 值;LSV (1994) 五年年化價差 7.8%;OSAP BMdec 全樣本 0.720%/月、t=6.53","BM、BMdec","高——輸入最少、歷史最長、OSAP 有現成對照;首批必做"
"B05","市有形帳面值比(P/TBV)","相對估值","與市帳率相同,但先剔除商譽與無形資產,因為這些由收購產生的數字不一定變賣得到現金。","(帳面權益 − 商譽 − 無形資產) ÷ 市值","資產負債表、市價","可(視乎免費來源有沒有拆出無形資產)","Damodaran「Valuing Financial Service Firms」(finfirm09.pdf) p.27:債務定義模糊令銀行的企業價值類倍數失效,股權類倍數較適合;沒有獨立橫斷面實證","—(OSAP 無)","中——銀行股專用,標普 500 金融板塊適用;見 B18"
"B06","市銷率(P/S)與銷售價格比(S/P)","相對估值","股價相對公司一年賣出多少貨。虧損公司計不出市盈率,但一定有收入。","S/P = 每股收入 ÷ 股價","損益表、市價","可","Barbee, Mukherji & Raines (1996), Financial Analysts Journal 52(2): 56–60, DOI 10.2469/faj.v52.n2.1980——1979–91,銷售價格比的解釋力強於帳面市值比與市值(⚠ 原文報迴歸解釋力,沒有多空價差);Hou-Xue-Zhang (2020) Sp 複製成功;OSAP 全樣本 0.798%/月、t=5.89","SP","高——虧損公司一樣算得到,補上 B01 的缺口;首批建議"
"B07","市現金流比(P/CF)","相對估值","股價相對公司實際收到的現金,而不是會計上的盈利。現金比盈利難以粉飾。","CF/P = (淨利 + 折舊攤銷) ÷ 市值,或營運現金流 ÷ 市值","損益表、現金流量表、市價","可","Lakonishok, Shleifer & Vishny (1994), Journal of Finance 49(5): 1541–1578, DOI 10.1111/j.1540-6261.1994.tb04772.x——組合 1968-04 起每年構建,現金流價格比五年年化價差 8.8%,原文明言按現金流價格比排序本身比按帳面市值比排序更有效;⚠ 現代打折:Hou-Xue-Zhang Cp 只有 0.49%/月 (t=2.47),原文直指遠低於 LSV 的 9.9%/年;Ocp 0.77%/月 (t=3.5);OSAP 全樣本 0.423%/月、t=2.85","CF、cfp","高——首批建議,但量級要按現代複製值(約 0.4–0.8%/月)而非原文設定"
"B08","自由現金流孳息(FCF Yield)","相對估值","公司投入維持生意所需的資金之後,每年真正剩下的現金佔股價多少個百分比。","自由現金流 ÷ 市值;自由現金流 = 營運現金流 − 資本開支","現金流量表、市價","可","⚠ 作為價格倍數在學術上是空的:OSAP 全表沒有自由現金流孳息訊號,Hou-Xue-Zhang 的 447 個變數裡亦沒有;經得起複製的是把現金流放在分母為資產那一側,即 D17 現金基礎營運獲利(Ball et al. 2016,Hou-Xue-Zhang Cop 0.63%/月 t=3.44、q 因子 alpha 0.69% t=4.77)","—(OSAP 無)","低——業界極常用但學術上是空格;要做就做 D17,兩者不要混為一談"
"B09","EV/EBITDA(企業倍數)","相對估值","不理會公司借了多少債,只看整盤生意值多少,相對於未計利息、稅項、折舊、攤銷的盈利有多少倍。跨資本結構比較時比市盈率公道。","企業價值 = 市值 + 債務 + 優先股 − 現金;倍數 = 企業價值 ÷ EBITDA;因子取倒數","損益表、資產負債表、市價","可","Loughran & Wellman (2011), Journal of Financial and Quantitative Analysis 46(6): 1629–1650, DOI 10.1017/S0022109011000445——企業倍數因子年化溢價 5.28%(⚠ 樣本期 1963–2009 未核實);Hou-Xue-Zhang (2020) Em 落在複製成功那一組;OSAP 原文 0.95%/月、t=6.54,全樣本 0.674%/月、t=5.69","EntMult","高——證據最紮實的估值倍數之一,而且現代複製通得過;首批必做"
"B10","EV/EBIT","相對估值","與上一項相同,但把折舊攤銷計算在內,因為機器始終要更換,不計折舊會高估重資產公司。","企業價值 ÷ EBIT;因子取倒數","損益表、資產負債表、市價","可","Greenblatt 魔法公式的估值一半(見 D23);Davydov, Tikkanen & Äijö (2016) 芬蘭 1991–2013:單靠 EBIT/企業價值 一個比率年化 20.57%,高於完整魔法公式的 19.26%;沒有獨立 OSAP 訊號","—(OSAP 無)","中——與 B09 高度相關,建議二選一;但上述芬蘭證據顯示估值那一半才是魔法公式的真正動力"
"B11","EV/Sales","相對估值","整盤生意值多少倍的年度收入。仍在虧損並且消耗現金的公司,只剩下這個算得到。","企業價值 ÷ 收入;因子取倒數","損益表、資產負債表、市價","可","⚠ 沒有獨立學術證據:Crossref 書目檢索零篇,Hou-Xue-Zhang 的 447 個變數裡沒有企業價值對收入比,最接近的只有 Sp(分母是市值)與 Em;它只曾以市銷率或 EV/EBITDA 的身份寄生在複合價值因子裡出現","—(OSAP 無)","低——覆蓋闊但等同未經檢驗的東西落場,列作候補"
"B12","股息率","相對估值","公司一年派發的股息,佔股價多少個百分比。","每股年度股息 ÷ 股價","損益表、市價","可","時序證據 Fama & French (1988), JFE 22(1): 3–25——月度只解釋不足 5% 變異,二至四年期解釋逾 25%;⚠ 反駁 Welch & Goyal (2008), RFS 21(4): 1455–1508——逐字「predicted poorly both in-sample and out-of-sample for 30 years now」;⚠ 橫斷面 Hou-Xue-Zhang 逐字:「Dividend yield (Dp) and payout yield (Op) are also insignificant in both annual sorts and all monthly sorts」;OSAP DivYieldST 是「預測下月派息」的短線變體,口徑不同","DivYieldST","低——作為橫斷面選股訊號在現代美股已失效,而且原因是機制性的(回購取代派息)。要用就用 B13"
"B13","淨派付孳息(Net Payout Yield)","相對估值","股息加回購,再減去新發行的股份,才是公司真正回饋股東的錢佔股價多少。美股回購普遍,這個比純股息率有用。","(股息 + 回購 − 發行) ÷ 市值","損益表、資產負債表、現金流量表、市價","可","Boudoukh, Michaely, Richardson & Roberts (2007), Journal of Finance 62(2): 877–915——淨派付孳息所含的橫斷面預期回報資訊逐字「exceeding that of dividend yields」;Hou-Xue-Zhang:Nop(淨派付)複製成功,而 Op 與 Dp 失敗;OSAP 全樣本 0.813%/月、t=5.33","NetPayoutYield","高——三者之中唯一在現代樣本站得住的那個;輸入全部在三張報表之內;首批建議"
"B14","資產市值比(Assets-to-Market)","相對估值","公司全部資產的帳面值,相對它的市值有多少倍。可視為帳面市值比的槓桿加強版。","總資產 ÷ 市值","資產負債表、市價","可","Fama & French (1992), Journal of Finance 47(2);OSAP 原文 t=5.69,全樣本 0.502%/月、t=3.55","AM","中——與 B04 相關度高"
"B15","企業帳面市值比分拆(EBM 與 BPEBM)","相對估值","把帳面市值比拆成兩截:做生意那一半便宜與否,以及借貸那一半影響多少,分開來看。","EBM = 企業帳面值 ÷ 企業市值;BPEBM 為帳面市值比減 EBM 的槓桿殘差","資產負債表、市價","可","Penman, Richardson & Tuna (2007), Journal of Accounting Research 45(2);OSAP EBM 原文 0.12%/月、t=3.00,全樣本 0.233%/月、t=3.93","EBM、BPEBM","中——比單純帳面市值比多一層資訊,OSAP 有現成對照"
"B16","週期調整市盈率(個股 CAPE)","相對估值","不用單一年度盈利,改用過去十年經通脹調整的平均盈利計算市盈率,避免在景氣高峰誤以為股票便宜。","股價 ÷ 過去十年平均實質每股盈利","損益表(十年)、市價","難(免費來源的歷史深度不足十年)","Campbell & Shiller (1988) 屬指數層(時序)證據;個股層橫斷面證據未查到","—(OSAP 無)","低——免費財報的歷史深度是硬限制,標普 500 全體十年盈利取不齊"
"B17","行業特定:P/FFO(房地產信託)","相對估值","房託持有的物業每年在帳面折舊,但實際樓價往往不跌反升,所以淨利根本失真;行業改用「營運資金」這個口徑計算倍數。","Nareit 1999 版逐字定義:FFO = 淨利(按公認會計原則計) 剔除債務重組與物業出售的損益,加回折舊與攤銷,並就未合併合夥與合營作調整;倍數 = 股價 ÷ 每股 FFO","損益表、現金流量表、市價","部分(要拆出房地產折舊,免費來源未必分得出)","Nareit FFO 白皮書(已取得 1999-06-22 版逐字定義;⚠ 2018 Restatement 的逐字措辭與版本日期未核實,官網路徑失效);Damodaran 行業估值章","—(OSAP 無)","中——標普 500 有約三十隻房託,不處理則該板塊的估值因子全部失真"
"B18","行業特定:P/TBV 配 ROTE(銀行)","相對估值","銀行所經營的「貨品」本身就是資金,盈利受撥備政策左右極大,所以看市價相對有形資產淨值,再配合有形股本回報率一併判斷。","市價對有形帳面值比,配有形股本回報率 = 淨利 ÷ 有形股本,兩者一併看","損益表、資產負債表、市價","可","Damodaran, finfirm09.pdf——p.7 逐字「Debt is to a bank what steel is to a manufacturing company」;債務定義模糊令銀行資金成本算出來只有 4% 或更低,企業價值類倍數在數學上無意義;p.27 明言股權類倍數較適合金融業;2009-02 實證:銀行市帳率與股東權益回報率相關系數大於 0.70(即市帳率的配對變數是股東權益回報率)","—(OSAP 無)","中——標普 500 金融板塊約六十餘隻;另注意銀行資產按市值計價,其股東權益回報率與工業股的並非同一種量,不宜放進同一條橫斷面排序"
"B19","行業特定:EV/EBITDAX 與 EV/儲量(能源)","相對估值","石油公司的價值主要在地底,不在帳面;所以要剔除勘探費用,或者直接用已探明儲量計算。","EBITDAX = EBITDA + 勘探費用(加回的理由是拉平兩種石油會計法);或企業價值 ÷ 已探明儲量","損益表、資產負債表、市價、儲量披露","難(儲量在 10-K 附註,免費結構化來源沒有)","EBITDAX 定義有業界來源;⚠ 企業價值對已探明儲量、對日產量兩者無權威定義來源(未核實);Damodaran multiples.pdf 警告:行業專用倍數算不到其他行業,會令整個板塊相對大市長期高估或低估","—(OSAP 無)","低——儲量數據免費來源取不到"
"B20","行業特定:EV/ARR 與 Rule of 40(軟件)","相對估值","訂閱制軟件公司一邊虧損一邊擴張是常態,所以看年度經常性收入的倍數,再用「增長率加利潤率是否達到四十」判斷健康程度。","企業價值 ÷ 年度經常性收入;Rule of 40 = 收入增長率 + 利潤率 ≥ 40%","損益表、資產負債表、市價","部分(年度經常性收入不是公認會計原則科目,只能用收入近似)","Rule of 40 源頭:Brad Feld (2015-02-03)「The Rule of 40% For a Healthy SaaS Company」,逐字「your growth rate + your profit should add up to 40%」,適用門檻年收入 5,000 萬美元以上(業界出處,非同行評審);⚠ 企業價值對年度經常性收入的權威定義未核實","—(OSAP 無)","低——年度經常性收入不是財報科目,免費來源只能用收入近似"
"B21","行業特定:風險調整淨現值(rNPV,生物科技)","相對估值","藥廠的價值是一堆尚未上市的藥物,每一隻都有失敗機會;把每隻藥的未來收入乘以成功機率再折現。","逐個在研藥物:峰值銷售 × 累計成功機率 減成本,折現後加總","專案層披露、折現率","難(逐隻藥的臨床階段與成功機率,免費結構化來源沒有)","成功機率兩份權威來源互相矛盾:Wong, Siah & Lo (2019), Biostatistics 20(2): 273–286, DOI 10.1093/biostatistics/kxx069——第一期至獲批 13.8%;BIO/QLS/Informa (2021)——同一口徑 7.9%。⚠ 選用哪一份本身就是一個要落檔的假設","—(OSAP 無)","低——無法量產"
"B22","行業迴歸隱含倍數殘差","相對估值","不是把你與行業平均比較貴或便宜,而是用一條迴歸算出「以你的增長、風險、盈利能力,應該值多少倍」,再看實際市價偏離多少。","按年在行業內做橫斷面迴歸,以市值對會計科目迴歸,殘差即錯價","損益表、資產負債表、市價","可","方法基礎見 C05 Rhodes-Kropf 等 (2005);不分行業的版本見 C04 Bartram-Grinblatt (2018);理論依據 Damodaran relvalAIMR.pdf 命題三逐字:「It is impossible to properly compare firms on a multiple, if we do not know the nature of the relationship between fundamentals and the multiple」——即單變數倍數排序在其框架下是明文不成立的做法","—(OSAP 無)","高——相對估值裡最有前景的一條,直接連上 C04 與 C05 兩條錯價訊號"
"C01","Frankel-Lee 內在價值比(V/P)","學術錯價訊號","用剩餘收益模型配合分析員預測,算出這隻股票應該值多少,再除以實際市價。比值高即市場低估。","V 由剩餘收益模型配分析員共識預測算出;訊號 = V ÷ P。Hou-Xue-Zhang 附錄 A.2.27 有完整可實作規格:Vf = B + Σ (E[ROE(t+k)]−r)·B(t+k−1)/(1+r)^k,r 固定 12%","損益表、資產負債表、分析員預測、折現率、市價","部分(需要歷史分析員共識,免費來源缺)","Frankel & Lee (1998), Journal of Accounting and Economics 25(3): 283–319, DOI 10.1016/S0165-4101(98)00026-3(⚠ 原文三年期對沖回報的確切百分比未核實,全文封鎖);Hou-Xue-Zhang (2020) 1967–2016 複製:分析員版 Vfp 0.47%/月 t=2.18、歷史 ROE 版 Vhp 0.38%/月 t=2.05;OSAP 全樣本 0.278%/月、t=1.59","AnalystValue","中——概念正是 D-033 第八類所指的東西,而歷史 ROE 版不需分析員預測仍有 t=2.05,是可行的替代路徑;但量級遠低於原文"
"C02","Frankel-Lee 分析員樂觀度(AOP)","學術錯價訊號","比較「由分析員預測撐起的估值」與「由歷史數字撐起的估值」,差距大即代表分析員過分樂觀。","(分析員版 V − 歷史版 V) ÷ P","損益表、資產負債表、分析員預測、市價","部分","Frankel & Lee (1998), JAE 25(3): 283–319;OSAP 原文 0.275%/月,全樣本 0.160%/月、t=1.49","AOP","低——訊號弱,而且需要歷史分析員預測"
"C03","Lee-Myers-Swaminathan 內在價值(道指)","學術錯價訊號","把剩餘收益模型套用在指數成分之上,判斷整個市場昂貴還是便宜,而不是逐隻股票判斷。","以剩餘收益模型對指數成分加總得出指數內在價值,再與指數市價比較;折現率用時變無風險利率加固定風險溢價(作者明指是成功關鍵)","損益表、資產負債表、分析員預測、折現率、市價","部分","Lee, Myers & Swaminathan (1999), Journal of Finance 54(5): 1693–1741, DOI 10.1111/0022-1082.00164——道指成分 1963-05 至 1996-06,V/P 在 1、3、6、9、12、18 個月各期均 1% 顯著,迴歸 R² 3.1%–20.5%,平均斜率 0.033;同期帳面價格比、盈利價格比、股息價格比幾乎無預測力","—(OSAP 無)","低——屬時序擇時訊號,不是橫斷面選股,與「因子只管選股」的既有裁決不符"
