代號,公司,ETF,IGV權重%,CIBR權重%,基準價,急性窗相對大市低點%,急性窗低點日,全期相對大市低點%,全期低點日,現價,至今相對大市%,至今絕對%,回補比例%,衝擊時200日線,事前日均成交額(百萬),市值(十億美元),在200的35家內,備註,收費模式,收費證據,收費備註
TTAN,SERVICETITAN CLASS A,IGV,0.16,,106.34,-42.6,2026-02-11,-50.7,2026-05-13,81.58,-30.7,-23.3,27.9,線下,77.3,5.4,否,,用量或交易,"Fees for access to the Company’s Core platform are charged based upon a per unit basis which may vary by product, primarily on a per technician per month basis, and are generally invoiced to the customer in advance on the first day of the monthly service period.",按件(每技師每月)
PATH,UIPATH INC CLASS A,IGV,0.2,,17.24,-42.2,2026-02-25,-48.7,2026-05-13,14.01,-26.6,-18.7,36.8,線下,315.2,,是,,混合,Licenses revenue (including the term license portion of Flex Offerings ) is recognized when we transfer control of the respective license to the customer.,定期授權加 SaaS
FRSH,FRESHWORKS CLASS A,IGV,0.09,,12.1,-42.1,2026-02-23,-42.1,2026-02-23,12.1,-9.7,0.0,76.9,線下,44.5,,是,,訂閱(未標明計量),Deferred revenue consists of customer billings in advance of revenue being recognized from our subscription and professional services arrangements.,"原文只說訂閱加服務,未講計量"
CCC,CCC INTELLIGENT SOLUTIONS HOLDINGS,IGV,0.13,,8.5,-41.6,2026-02-23,-53.8,2026-05-14,7.08,-24.8,-16.7,40.4,線下,54.0,4.0,否,,用量或交易,"For contracts where fees are solely based on transaction volume, the amount invoiced corresponds directly with the value provided to the customer, and revenue is recognized when invoiced using the as-invoiced practical expedient.",按成交量
NCNO,NCINO,IGV,0.07,,25.41,-41.3,2026-02-23,-46.8,2026-06-25,22.14,-21.3,-12.9,48.3,線下,39.0,2.3,否,,訂閱(未標明計量),"Our subscription revenues consist principally of fees from customers for accessing our solutions and maintenance and support services that we generally offer under non-cancellable multi-year contracts, which are typically three to five years in length, we offer: Client onboarding, loan origination, and deposit account opening solutions targeted at a FI’s commercial, small business, and retail lines of business, as we","原文只說使用費,未講計量"
SNAP,SNAP INC CLASS A,IGV,0.2,,8.19,-41.2,2026-02-17,-50.3,2026-07-24,5.43,-40.1,-33.7,2.6,線下,319.4,9.1,否,,其他,"We define average revenue per user, or ARPU, as quarterly revenue divided by the average DAUs.","原文只給每人平均收入(廣告),未講收費模式"
VRNS,VARONIS SYSTEMS,IGV+CIBR,0.18,0.89,35.26,-39.1,2026-02-23,-41.6,2026-04-10,45.46,16.4,28.9,141.9,線下,60.8,5.3,否,,混合,Services Maintenance and Support of Subscription and Perpetual Licenses Maintenance and support associated with a term license subscription is included in the Term license subscriptions revenue line of the statement of operations.,定期授權加訂閱
AGYS,AGILYSYS INC,IGV,0.09,,116.63,-38.9,2026-02-25,-47.6,2026-05-14,108.03,-16.4,-7.4,57.9,線下,19.2,3.0,否,,用量或交易,"Our subscription service revenue is primarily based on rates per location, including rates per points of sale and per room.",按場點/房間數
FROG,JFrog Ltd.,CIBR,,1.99,57.79,-38.7,2026-02-23,-38.7,2026-02-23,86.73,35.5,50.1,191.6,線下,106.1,10.9,否,,混合,"For SaaS subscriptions, usage-based fees in excess of the minimum usage commitment constitute variable consideration and are included in the transaction price.",底價訂閱加超額用量
QBTS,D WAVE QUANTUM,IGV,0.22,,28.8,-38.7,2026-02-05,-50.9,2026-04-09,17.67,-44.6,-38.6,-15.3,線下,933.2,6.2,否,,查不到,,"10-K 只有 ASC 606 通用語,未講收費模式"
VERX,VERTEX CLASS A,IGV,0.03,,19.91,-38.5,2026-02-18,-50.6,2026-06-22,12.92,-41.4,-35.1,-7.6,線下,26.6,2.0,否,,用量或交易,"Our flexible, tiered transaction-based pricing model also results in our customers growing their spend with us as they grow and continue to use our solutions.",按交易
ATO.FP,Atos Group,CIBR,,0.11,56.8,-38.2,2026-02-25,-58.6,2026-09-08,26.04,-58.6,-54.2,-53.5,線上,4.1,,否,,查不到,,倉內無 10-K 全文(法國申報)
CRCL,CIRCLE INTERNET GROUP CLASS A,IGV,0.19,,82.9,-37.8,2026-02-05,-37.8,2026-02-05,96.18,4.7,16.0,112.5,,985.1,23.1,否,,用量或交易,"115 Transaction revenue is generated from usage-based, volume-based, or event-driven transactions.",按用量與成交量
DOCU,DOCUSIGN,IGV,0.43,,68.31,-37.7,2026-02-23,-41.9,2026-06-22,65.08,-14.0,-4.7,62.9,線下,159.8,,是,,混合,"For example, in the second quarter of fiscal 2025, we began to offer our IAM platform on a user-based subscription with transaction-based add-ons.",按用戶訂閱加按件附加
ZETA,ZETA GLOBAL HOLDINGS CLASS A,IGV,0.21,,24.28,-37.1,2026-02-23,-38.6,2026-04-10,30.79,14.5,26.8,139.0,線下,120.2,7.7,否,,用量或交易,"A substantial portion of our revenue is derived from usage-based pricing, which is less stable than subscription-based pricing.",按用量
WDAY,WORKDAY CLASS A,IGV,1.29,,207.91,-36.7,2026-02-23,-49.5,2026-06-22,186.28,-19.1,-10.4,47.9,線下,519.6,,是,,席位,"Furthermore, our subscription-based model is largely based on the size of our customers’ employee headcount.",按員工人數
SOUN,SOUNDHOUND AI CLASS A,IGV,0.09,,11.57,-35.6,2026-02-17,-53.3,2026-07-29,6.57,-48.7,-43.2,-36.9,線下,291.3,2.8,否,,混合,"Subscription revenues are derived from monthly fees based on fixed fees, usage-based revenue, revenue per query or revenue per user.",定額加用量與席位
CVLT,COMMVAULT SYSTEMS,IGV+CIBR,0.19,0.85,127.18,-35.2,2026-02-03,-36.2,2026-04-08,133.36,-5.3,4.9,84.8,線下,81.2,5.5,否,,查不到,,"10-K 只講按件付給第三方的專利費,未講自己怎樣收費"
MARA,MARA HOLDINGS,IGV,0.15,,10.65,-35.2,2026-02-05,-35.2,2026-02-05,11.83,0.3,11.1,100.8,線下,491.3,4.5,否,,查不到,,10-K 掃不到收費語(加密貨幣挖礦)
QLYS,QUALYS,IGV+CIBR,0.2,0.95,135.21,-35.1,2026-02-24,-42.5,2026-04-10,170.32,13.7,26.0,139.1,線下,49.7,5.8,否,,查不到,,10-K 全文掃不到任何收費語
WK,WORKIVA CLASS A,IGV,0.13,,89.27,-34.6,2026-02-24,-53.6,2026-05-13,73.71,-25.5,-17.4,26.5,線下,54.9,,是,,查不到,,10-K 掃不到收費語
PEGA,PEGASYSTEMS,IGV,0.11,,58.03,-34.6,2026-02-11,-58.7,2026-07-22,35.8,-44.3,-38.3,-28.0,線下,58.5,5.8,否,,訂閱(未標明計量),"Our clients largely prefer subscription-based offerings, requiring us to have a scalable organization and make a considerable investment of technical, financial, legal, managerial, and sales resources.","原文只說訂閱,未講計量"
TYL,TYLER TECHNOLOGIES,IGV,0.5,,446.46,-34.4,2026-02-12,-42.7,2026-06-22,347.82,-29.7,-22.1,13.7,線下,159.1,13.8,否,,混合,Revenues We derive our revenues from three primary sources: • Subscription-based services • Maintenance and support • Professional services Subscription-Based Services Subscriptions revenue consists of revenues derived from our Software as a Service (“SaaS”) arrangements and transaction-based fees.,SaaS 訂閱加按件收費
PCOR,PROCORE TECHNOLOGIES INC,IGV,0.22,,73.66,-33.7,2026-02-12,-51.0,2026-06-25,56.18,-31.1,-23.7,7.5,線下,82.7,,是,,其他,"Our business model is designed to encourage rapid, widespread adoption of our products by allowing for unlimited users, meaning we do not charge a per-seat or per-user fee.","原文只明言**不**按席位/用戶,未講按什麼計"
ZS,ZSCALER,IGV+CIBR,0.56,3.4,216.63,-32.6,2026-02-23,-46.8,2026-06-22,161.94,-32.5,-25.2,0.3,線下,401.0,26.7,否,,席位,Our subscription pricing is primarily calculated on a per-user basis.,按用戶
RBRK,RUBRIK CLASS A,IGV+CIBR,0.5,2.8,71.37,-32.5,2026-02-23,-37.4,2026-04-10,91.63,15.9,28.4,148.9,線下,186.6,18.6,否,,混合,"2025 Form 10-K 17 Table of Contents Furthermore, we have historically sold our products to customers as perpetual licenses with associated maintenance contracts or as subscription term-based licenses with associated support, and with respect to the latter, we recognized a portion of the revenue upfront at the time we transferred control of the subscription term-based license to the customer and deferred the remainder",永久授權轉訂閱中
MSTR,STRATEGY INC CLASS A,IGV,1.53,,162.23,-32.3,2026-02-05,-51.9,2026-06-26,136.52,-24.0,-15.8,25.7,線下,3531.8,51.5,否,,混合,"(iii) Sales and usage-based royalties – Certain product license arrangements include sales or usage-based royalties, covering both product license and product support.",授權加按銷量抽成
BILL,BILL HOLDINGS,IGV,0.14,,53.7,-31.8,2026-02-05,-44.7,2026-06-22,47.6,-20.0,-11.4,37.2,線下,114.8,,是,,混合,We generate revenue by charging customers a fixed monthly rate per user for subscriptions as well as transaction fees.,按用戶定額加按件
ORCL,ORACLE,IGV,6.22,,203.26,-31.6,2026-02-05,-47.1,2026-07-24,162.52,-27.8,-20.0,12.0,線下,4851.4,446.2,否,,用量或交易,"Oracle Autonomous AI Database is designed to enable on-demand, automatic scaling of database resources combined with consumption-based pricing in order to help organizations lower costs by paying only for resources used.",按資源消耗
OTEX.CN,Open Text Corporation,CIBR,,0.74,45.02,-31.6,2026-02-03,-42.2,2026-06-22,32.18,-35.5,-28.5,-12.4,線下,33.9,,否,,混合,"In addition, increased competition and transitioning from perpetual license sales to subscription-based business model could put significant pricing pressures on our products, which could negatively impact our margins and profitability.","永久授權轉訂閱(同一家公司,證據取 OTEX 的 10-K)"
QTWO,Q2 HOLDINGS INC,IGV,0.13,,69.16,-31.6,2026-02-25,-43.5,2026-06-22,60.38,-21.2,-12.7,32.9,線下,47.4,,是,,席位,We consider various factors including the degree to which usage is interdependent or interrelated to past services and contractual price per user and their relationship to market terms.,按用戶
ACN,Accenture plc,CIBR,,1.77,275.29,-31.6,2026-02-25,-58.6,2026-06-30,179.03,-41.3,-35.0,-30.5,線下,896.8,108.9,否,,混合,"We have many types of contracts, including time-and-materials contracts, fixed-price contracts, fee-per-transaction contracts and contracts with multiple fee types.",顧問合約按期、按件、按成交
GTLB,GITLAB CLASS A,IGV,0.23,,35.66,-31.4,2026-02-23,-44.4,2026-04-10,47.15,19.4,32.2,161.8,線下,142.8,,是,,查不到,,10-K 掃不到收費語
ESTC,ELASTIC,IGV+CIBR,0.27,1.4,76.69,-31.2,2026-02-27,-42.4,2026-04-10,88.42,4.1,15.3,113.1,線下,125.1,,是,,用量或交易,"Our limited history with consumption-based arrangements for our Elastic Cloud offerings is not adequate to enable us to accurately predict the long-term rate of customer adoption or renewal, or the impact those arrangements will have on our near-term or long-term revenue and operating results.",按消耗
GWRE,GUIDEWIRE SOFTWARE,IGV,0.43,,180.93,-31.2,2026-02-17,-47.3,2026-06-22,149.71,-25.3,-17.3,18.9,線下,174.9,,是,,資產或存戶,"We generally price our subscription services for core products based on the amount of Direct Written Premium (""DWP"") managed on our platform, with certain cloud-delivered products priced based on usage or other metrics.",按平台上保單保額
APPN,APPIAN CORP CLASS A,IGV,0.05,,33.05,-30.9,2026-02-12,-47.1,2026-05-13,34.58,-5.5,4.6,82.1,線下,28.0,2.5,否,,席位,We generally sell our software on a per-user basis or through non-user-based single application licenses.,按用戶
OTEX,OPEN TEXT,IGV,0.19,,32.46,-30.4,2026-02-03,-43.4,2026-06-22,23.36,-35.0,-28.0,-15.4,線下,27.5,5.4,否,,混合,"In addition, increased competition and transitioning from perpetual license sales to subscription-based business model could put significant pricing pressures on our products, which could negatively impact our margins and profitability.",永久授權轉訂閱
VYX,NCR VOYIX,IGV,0.04,,11.11,-30.3,2026-02-27,-46.5,2026-05-21,8.48,-31.1,-23.7,-2.6,線下,19.5,1.1,否,,混合,"Further, we have product revenue derived from term-based software license arrangements that include customer termination rights and services revenue that is recurring or transaction-based business and we do not measure backlog information for these types of transactions.",定期授權加服務
NTNX,NUTANIX CLASS A,IGV,0.61,,53.25,-30.2,2026-02-03,-34.1,2026-04-10,67.49,14.4,26.7,147.7,線下,180.1,17.8,否,,訂閱(未標明計量),"• our plans for, and the timing of, any current and future business model transitions, including our ongoing transition to a subscription-based business model, our ability to manage, complete or realize the benefits of such transitions successfully and in a timely manner, and the short-term and long-term impacts of such transitions on our business, operations and financial results; • the timing, evolution and potenti","轉訂閱中,未講計量"
CRM,SALESFORCE,IGV,6.85,,258.09,-30.0,2026-02-23,-46.0,2026-06-22,249.12,-12.9,-3.5,57.2,線下,1589.4,,是,,訂閱(未標明計量),The number of paying subscriptions at each of our customers ranges from one to hundreds of thousands.,"原文只說訂閱,未講按什麼計"
CXM,SPRINKLR CLASS A,IGV,0.02,,7.6,-30.0,2026-02-23,-39.9,2026-05-13,5.55,-34.1,-27.0,-13.5,線下,11.3,,是,,混合,Our platform includes products that are licensed on a per-user basis as well as products that are licensed based on different tiers of volume.,席位加用量分級
NOW,SERVICENOW,IGV,4.69,,142.64,-29.2,2026-02-11,-43.0,2026-05-13,134.21,-15.1,-5.9,48.4,線下,1296.4,,是,,混合,"In addition to subscription offerings, certain AI and data solutions include a consumption-based pricing component that governs when customer usage exceeds the fixed number of service credits available under the customer’s subscription agreement.","訂閱為主,超額部分按消耗"
CLSK,CLEANSPARK,IGV,0.12,,11.96,-29.1,2026-02-05,-29.1,2026-02-05,13.48,1.8,12.7,106.0,線下,325.4,3.3,否,,查不到,,10-K 掃不到收費語(加密貨幣挖礦)
ALKT,ALKAMI TECHNOLOGY,IGV,0.05,,21.96,-28.2,2026-02-26,-38.3,2026-06-22,19.38,-20.3,-11.7,28.0,線下,27.9,2.0,否,,席位,"We predominantly employ a per-registered-user pricing model, with incremental fees above certain contractual client minimum commitments for each licensed solution.",按登記用戶
ZD,"Ziff Davis, Inc.",CIBR,,0.29,37.25,-28.0,2026-02-24,-28.0,2026-02-24,55.73,35.1,49.6,225.1,線下,19.9,1.9,否,,用量或交易,"(ii) usage-based fees, and (iii) reselling various third-party solutions, primarily through the Company’s email security line of business.",按用量
DSGX,DESCARTES SYSTEMS GROUP,IGV,0.22,,88.62,-27.8,2026-02-23,-30.5,2026-07-23,75.56,-23.0,-14.7,17.1,線下,38.9,6.1,否,,查不到,,倉內無 10-K 全文(加拿大申報)
SAIC,Science Applications International Corporation,CIBR,,0.9,113.13,-27.5,2026-02-11,-27.5,2026-02-11,127.55,1.8,12.7,106.5,線下,47.8,5.5,否,,其他,"Contract terms may include variable consideration, such as reimbursable costs, award and incentive fees, usage-based fees, service-level penalties, performance bonuses, or other provisions that can either increase or decrease the transaction price.",政府服務合約計價
PLTR,PALANTIR TECHNOLOGIES CLASS A,IGV,10.07,,179.41,-27.4,2026-02-24,-43.7,2026-06-25,170.3,-14.3,-5.1,47.7,線下,7548.0,399.6,否,,混合,"There is no guarantee that our existing or proposed business strategies, including subscription-based or usage-based pricing structures, will achieve broad adoption by current or prospective customers or be appropriately structured to attract and retain other potential customers across the customer base.",訂閱與用量兩種並存
IBM,International Business Machines Corporation,CIBR,,1.52,305.95,-26.7,2026-02-23,-38.2,2026-07-22,232.09,-31.5,-24.1,-18.0,線上,1077.6,219.9,否,,查不到,,"快取的 10-K 全文為 XBRL 標籤,掃不到自然語句"
LSPD,LIGHTSPEED COMMERCE,IGV,0.04,,12.21,-26.7,2026-02-11,-36.0,2026-05-21,10.22,-24.4,-16.3,8.4,線下,5.7,1.3,否,,查不到,,倉內無 10-K 全文(加拿大申報)
CIFR,CIPHER DIGITAL INC,IGV,0.19,,17.68,-26.3,2026-02-05,-26.3,2026-02-05,18.51,-5.5,4.7,79.2,線上,616.7,6.6,否,,查不到,,10-K 掃不到收費語
ROP,ROPER TECHNOLOGIES,IGV,1.35,,430.21,-25.7,2026-02-17,-32.2,2026-05-27,395.65,-17.0,-8.0,34.0,線下,361.7,38.5,否,,用量或交易,"(ii) reoccurring revenue comprised of transactional and volume-based fees facilitated through our software; (iii) non-recurring revenue comprised of multi-year term and perpetual software licenses, professional services associated with software products and hardware sold with our software licenses; and (iv) product revenue.",按件與按量
IOT,SAMSARA CLASS A,IGV,0.5,,33.46,-25.7,2026-02-03,-25.7,2026-02-03,40.15,8.3,20.0,132.4,線下,180.3,22.7,否,,訂閱(未標明計量),We offer subscriptions to access our Connected Operations Platform.,"原文只說訂閱,未講計量"
AVPT,AVEPOINT CLASS A,IGV,0.06,,13.63,-25.6,2026-02-23,-34.3,2026-05-13,13.18,-12.7,-3.3,50.3,線下,21.1,2.7,否,,混合,"Invoices for SaaS, term license and support and maintenance are generally issued annually in advance or when the license is made available for customer use.",SaaS 加定期授權
APPF,APPFOLIO CLASS A,IGV,0.17,,222.81,-25.3,2026-02-23,-39.8,2026-06-22,206.01,-16.5,-7.5,34.7,線下,50.8,7.3,否,,用量或交易,We generally invoice our customers for usage-based services on a monthly basis or collect the fee at the time of service.,按用量
HUT,HUT CORP,IGV,0.34,,61.09,-25.3,2026-02-05,-25.3,2026-02-05,99.49,47.0,62.9,285.8,線上,267.4,11.1,否,,用量或交易,"Usage revenue (overage and consumption-based services) is recorded as service revenue in the month the usage is incurred/service is consumed by the customer, based on a fixed agreed upon fee per unit consumed.",按用量
BOX,BOX INC CLASS A,IGV,0.16,,29.58,-24.9,2026-02-23,-26.3,2026-04-10,34.3,4.7,16.0,118.8,線下,62.0,4.7,否,,席位,"Sales and Marketing We offer our solution to customers as a subscription-based service, with subscription fees based on customer requirements, including the number of users and functionality deployed.",按用戶數
MANH,MANHATTAN ASSOCIATES,IGV,0.42,,176.31,-24.8,2026-02-23,-33.5,2026-05-13,207.92,6.5,17.9,126.0,線下,89.3,12.0,否,,查不到,,10-K 掃不到收費語
RIOT,RIOT PLATFORMS,IGV,0.24,,16.45,-24.8,2026-02-05,-24.8,2026-02-05,22.26,22.2,35.3,189.4,線下,265.0,7.9,否,,查不到,,10-K 掃不到收費語
OKTA,"Okta, Inc.",CIBR,,4.23,93.57,-24.3,2026-02-23,-31.6,2026-04-14,167.6,61.7,79.1,353.7,線下,178.8,,是,,訂閱(未標明計量),"Our revenue is relatively predictable as a result of our subscription-based business model, which constituted approximately 97% of total revenue for fiscal 2023.",未講計量
PANW,PALO ALTO NETWORKS,IGV+CIBR,9.18,8.98,188.88,-24.1,2026-02-24,-24.1,2026-02-24,336.98,61.1,78.4,352.9,線下,1074.2,276.1,否,,混合,"In addition to the subscriptions purchased with these firewalls, customers may also purchase other subscriptions on a per-user, per-endpoint, or capacity-based basis.",席位與用量並列(防火牆訂閱)
CRWD,CROWDSTRIKE HOLDINGS CLASS A,IGV+CIBR,7.18,8.58,116.75,-24.1,2026-02-24,-24.1,2026-02-24,210.02,62.4,79.9,358.4,線下,1088.1,,是,,用量或交易,Our subscriptions are generally priced on a per-endpoint and per-module basis.,按端點數與模組數
4704.JP,Trend Micro Incorporated,CIBR,,0.92,6517.0,-24.0,2026-02-24,-26.6,2026-08-17,5798.0,-19.8,-11.0,17.4,線下,5681.4,,否,"基準日該市場休市,改用 2026-01-09",查不到,,倉內無 10-K 全文(日本申報)
BLKB,BLACKBAUD,IGV,0.05,,61.91,-23.9,2026-02-23,-60.2,2026-06-22,45.26,-34.0,-26.9,-42.5,線下,20.0,2.0,否,,用量或交易,"In addition, we derive a significant portion of our revenue from transaction-based payment processing fees that we collect from our customers through our Blackbaud Merchant Services solution, which enables our customers' donors to make donations and purchase goods and services using various payment options.",按交易
FICO,FAIR ISAAC,IGV,0.73,,1631.31,-23.9,2026-02-24,-48.7,2026-09-04,933.3,-48.4,-42.8,-102.4,線下,368.3,20.7,否,,用量或交易,"The expected contract value equals the fixed amount — including guaranteed minimums, if any — stated in the contract, plus estimates of future usage-based fees.",按用量(評分次數)
LIF,LIFE360,IGV,0.12,,62.69,-23.7,2026-02-23,-42.4,2026-05-15,43.09,-37.9,-31.3,-60.3,線下,56.1,3.4,否,,混合,"Customers purchase a Global Positioning System (""GPS"") enabled device and a monthly subscription to access location tracking services.",硬件加月度訂閱
ADBE,ADOBE INC,IGV,3.52,,327.65,-23.3,2026-02-23,-44.8,2026-06-18,257.26,-29.1,-21.5,-24.9,線下,1179.9,99.4,否,,混合,Arrangements with some of our enterprise customers with non-cancellable and non-refundable committed funds provide options to either renew monthly on-premise term-based licenses or use some or all funds to purchase other Adobe products or services.,訂閱與定期授權並存
TENB,TENABLE HOLDINGS,IGV+CIBR,0.13,0.6,23.1,-22.6,2026-02-23,-29.2,2026-04-10,33.7,31.7,45.9,240.3,線下,31.3,3.6,否,,混合,"We recognize substantially all of our revenue ratably over the term of our subscriptions and, to a lesser extent, perpetual licenses ratably over an expected period of benefit and, as a result, downturns in sales may not be immediately reflected in our operating results.",訂閱與永久授權並存
TTWO,TAKE TWO INTERACTIVE SOFTWARE,IGV,1.26,,248.92,-22.0,2026-02-12,-23.1,2026-09-03,213.29,-22.6,-14.3,-3.1,線下,337.6,40.5,否,,其他,Cultural differences may also require us to modify the content of our products or the method by which we charge our customers.,"遊戲銷售與內購,非軟件訂閱"
BAH,Booz Allen Hamilton Holding Corporation,CIBR,,1.27,94.6,-21.6,2026-02-25,-41.6,2026-07-01,72.11,-31.2,-23.8,-44.6,線下,176.9,9.1,否,,其他,"We generate revenue through various fixed price and multi-year government contracts, our primary customer being the U.S.","政府服務合約計價,非軟件收費"
INFY,Infosys Limited (ADR),CIBR,,1.63,17.42,-21.4,2026-02-24,-44.3,2026-06-30,11.13,-42.3,-36.1,-98.1,線下,171.1,44.2,否,,查不到,,倉內無 10-K 全文(外國私人發行人交 20-F)
SNPS,SYNOPSYS,IGV,2.54,,533.42,-21.4,2026-02-27,-34.9,2026-07-30,392.03,-33.7,-26.5,-57.6,線下,864.7,75.7,否,,混合,"The majority of licenses to our EDA products and Ansys semiconductor products are network licenses that allow a number of individual users to access the software on a defined network, including, in some cases, regional or global networks.",授權加按使用人數
BSY,BENTLEY SYSTEMS INC CLASS B,IGV,0.17,,39.99,-20.2,2026-02-03,-33.0,2026-06-23,32.84,-25.9,-17.9,-28.3,線下,84.4,9.4,否,,混合,The Company’s standard offerings are usage based with monetization through the Company’s CSS program as described below.,按用量計費
ADSK,AUTODESK,IGV,1.52,,277.89,-19.8,2026-02-23,-37.2,2026-06-22,212.21,-31.1,-23.6,-56.5,線下,395.5,44.2,否,,混合,"In recent years, the industry has undergone a transition from developing and selling perpetual licenses and on-premises products to subscriptions and cloud-enabled technologies.",永久授權轉訂閱
DT,DYNATRACE INC,IGV+CIBR,0.5,2.24,42.3,-19.8,2026-02-06,-23.3,2026-05-13,50.29,7.3,18.9,137.0,線下,145.4,14.8,否,,用量或交易,"Under the DPS licensing model, a customer makes a minimum annual spend commitment at the platform level and then consumes that commitment based on actual usage and a straightforward rate card.",承諾額內按實際用量
TRMB,TRIMBLE INC,IGV,0.46,,80.8,-19.4,2026-02-03,-43.7,2026-06-18,58.78,-34.3,-27.3,-77.2,線下,95.1,13.2,否,,混合,Software including perpetual licenses is recognized upon delivery and commencement of the license term.,永久授權加訂閱
CHKP,Check Point Software Technologies Ltd.,CIBR,,2.09,190.0,-19.3,2026-02-25,-43.4,2026-05-13,132.9,-36.9,-30.1,-90.7,線下,127.5,13.4,否,,查不到,,倉內無 10-K 全文(外國私人發行人交 20-F)
AIP,ARTERIS INC,IGV,0.03,,17.37,-19.0,2026-02-05,-19.0,2026-02-05,22.72,18.1,30.8,195.0,線上,7.2,1.1,否,,用量或交易,"Royalties are calculated either as a percentage of the revenues received by a licensee’s sale of products incorporating the IP or on a per unit basis, as specified in the agreements with the licensees.",按件抽成
