v1_theme,ticker,rule,rule_name,reason,v1_valid_from,v1_valid_to,v1_added_by,v21_review,switch_date,switch_evidence
energy,COP,d,主業已轉向(只入其股價主要跟隨的那條),"純 E&P,不持煉廠——它的股價跟原油價走,主歸屬是 upstream_oil,不應同時掛在一體化油企那條。",2022-01-01,2026-07-22,v0,"維持出隊,但出隊理由要改寫。轉向日查得到而且很早:2012-04-30 完成下游分拆(Phillips 66),自此是純上游 E&P。表的起點是 2022-01-01,即量度窗內沒有一日屬 energy(一體化油企)那一層,補回舊鏈那一行會得出一段空區間,對切片沒有用。另外要更正一件事:v0 那一行的 valid_to=2026-07-22 是舊倉的表務日期(energy 主題退役、COP 轉入 upstream_oil 那一天),不是業務轉向日。COP 本來已在 upstream_oil 現役,本項沒有樣本損失。",2012-04-30,"COP FY2012 10-K(accession 0001193125-13-065426,申報日 2013-02-19,財年結 2012-12-31)原文:「On April 30, 2012, we completed the separation of our downstream businesses into an independent, publicly traded company, Phillips 66. Our refining, marketing and transportation businesses, most of our Midstream segment, our Chemicals segment ... were transferred to Phillips 66.」"
software_cloud,PLTR,c,單一資產主導,"股價主要跟自己的政府合約公布與散戶推動的估值倍數走,不跟企業 IT 支出週期走——這是「跟自己的故事走」最典型的一家。",2022-01-01,,v0,"維持出隊。規則 c 單一資產主導,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
software_cloud,SHOP,a,位置不同,"客戶是網店商戶不是企業 IT 部門,開關是零售 GMV 與消費支出,與企業軟件同儕不是同一條敘事。",2022-01-01,,v0,"維持出隊。規則 a 位置不同,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
travel_cruise,ABNB,a,位置不同,"平台商,不持有床位運力——郵輪的運力樽頸敘事對它不成立;主歸屬 travel_platform。",2022-01-01,2021-11-30,v0,"維持出隊。規則 a 位置不同,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
travel_cruise,BKNG,a,位置不同,"平台商,不持有床位運力;主歸屬 travel_platform。",2022-01-01,2021-11-30,v0,"維持出隊。規則 a 位置不同,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
streaming,SPOT,a,位置不同,"音樂訂閱分發商,不自有內容也不賣廣告曝光為主——串流內容商與廣告平台兩條它都不屬於,美股沒有同位置可比公司。",2022-01-01,,v0,"維持出隊。規則 a 位置不同,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
china,BIDU,c,單一資產主導,"收入是搜尋廣告,股價近兩年主要跟自己的自駕與 AI 雲消息走;電商與內容兩條都不屬於,美股沒有同位置可比公司。",2022-01-01,,v0,"維持出隊。規則 c 單一資產主導,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
building_products,POOL,a,位置不同,"泳池用品分銷商,不是建材製造商;需求開關是泳池翻新與換季,不是住宅開工。",2022-01-01,,v1,"維持出隊。規則 a 位置不同,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
building_products,LPX,b,定價機制不同,"OSB 是商品,售價由木材期貨週期決定,與品牌建材的提價機制不同。",2022-01-01,,v1,"維持出隊。規則 b 定價機制不同,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
auto_retail,CPRT,b,定價機制不同,"全損車拍賣平台,收入由事故全損率與保險公司決定,不由二手車零售價決定。",2022-01-01,,v1,"維持出隊。規則 b 定價機制不同,不是主業轉向,不在本票的改動範圍(票面 ②)。",,
fintech,HOOD,d,主業已轉向(只入其股價主要跟隨的那條),"同一家公司在 v1 出現兩次(fintech 與 web3_crypto)。2024 年起加密交易佔它的交易收入主體,按「只入其股價主要跟隨的那條」只保留 crypto_exchange 那一行,fintech 這一行出隊。",2022-01-01,,v0,"維持出隊。規則 d 名下,但這一行本來處理的是同一家公司在 v1 出現兩次(fintech 與 web3_crypto)的去重,不是某日主業轉向。而且舊鏈 fintech 在 v2 已拆成 alt_lending 與 payments,券商這個位置在 v2 的 65 條鏈裡沒有對應層,沒有舊鏈可以寫 valid_to。",,"chain_stories_v2.md 拆鏈表:「fintech → alt_lending / payments;HOOD 併去 crypto_exchange」。順帶記低一件本票沒有動的事:HOOD 在 crypto_exchange 那一行的 valid_from 仍是 2022-01-01,即 2022–2023 年的 HOOD 被當成加密交易所,與 MSFT/ORCL 原本那個前視問題同一類;按票面「其餘 v2 內容一字不改」,本票不改,列作未做事項。"
