year,field,companies_in_panel,has_value,custom_tag_only,custom_tag_measurable,no_value,pct_has_value,note
2011,diluted_shares,592,563,0,False,29,0.951,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2011,equity,592,589,0,False,3,0.9949,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2011,gross_profit,592,275,0,False,317,0.4645,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2011,liabilities,592,386,0,False,206,0.652,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2011,lt_debt,592,422,0,False,170,0.7128,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2011,net_income,592,587,0,False,5,0.9916,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2011,revenue,592,536,0,False,56,0.9054,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,assets,606,604,0,False,2,0.9967,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,capex,606,530,0,False,76,0.8746,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,cash,606,578,0,False,28,0.9538,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,cfo,606,600,0,False,6,0.9901,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,diluted_shares,606,585,0,False,21,0.9653,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,equity,606,601,0,False,5,0.9917,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,gross_profit,606,293,0,False,313,0.4835,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,liabilities,606,402,0,False,204,0.6634,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,lt_debt,606,460,0,False,146,0.7591,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,net_income,606,600,0,False,6,0.9901,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2012,revenue,606,552,0,False,54,0.9109,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,assets,616,614,0,False,2,0.9968,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,capex,616,544,0,False,72,0.8831,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,cash,616,591,0,False,25,0.9594,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,cfo,616,613,0,False,3,0.9951,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,diluted_shares,616,605,0,False,11,0.9821,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,equity,616,612,0,False,4,0.9935,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,gross_profit,616,300,0,False,316,0.487,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,liabilities,616,409,0,False,207,0.664,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,lt_debt,616,480,0,False,136,0.7792,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,net_income,616,613,0,False,3,0.9951,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2013,revenue,616,569,0,False,47,0.9237,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,assets,629,627,0,False,2,0.9968,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,capex,629,559,0,False,70,0.8887,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,cash,629,605,0,False,24,0.9618,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,cfo,629,625,0,False,4,0.9936,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,diluted_shares,629,621,0,False,8,0.9873,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,equity,629,625,0,False,4,0.9936,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,gross_profit,629,309,0,False,320,0.4913,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,liabilities,629,423,0,False,206,0.6725,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,lt_debt,629,507,0,False,122,0.806,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,net_income,629,627,0,False,2,0.9968,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2014,revenue,629,583,0,False,46,0.9269,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,assets,640,638,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,capex,640,572,0,False,68,0.8938,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,cash,640,618,0,False,22,0.9656,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,cfo,640,636,0,False,4,0.9938,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,diluted_shares,640,630,0,False,10,0.9844,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,equity,640,636,0,False,4,0.9938,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,gross_profit,640,320,0,False,320,0.5,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,liabilities,640,431,0,False,209,0.6734,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,lt_debt,640,531,0,False,109,0.8297,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,net_income,640,638,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2015,revenue,640,596,0,False,44,0.9313,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,assets,638,636,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,capex,638,574,0,False,64,0.8997,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,cash,638,616,0,False,22,0.9655,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,cfo,638,634,0,False,4,0.9937,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,diluted_shares,638,629,0,False,9,0.9859,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,equity,638,635,0,False,3,0.9953,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,gross_profit,638,318,0,False,320,0.4984,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,liabilities,638,438,0,False,200,0.6865,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,lt_debt,638,539,0,False,99,0.8448,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,net_income,638,637,0,False,1,0.9984,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2016,revenue,638,594,0,False,44,0.931,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,assets,639,639,0,False,0,1.0,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,capex,639,578,0,False,61,0.9045,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,cash,639,620,0,False,19,0.9703,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,cfo,639,636,0,False,3,0.9953,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,diluted_shares,639,627,0,False,12,0.9812,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,equity,639,636,0,False,3,0.9953,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,gross_profit,639,318,0,False,321,0.4977,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,liabilities,639,440,0,False,199,0.6886,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,lt_debt,639,542,0,False,97,0.8482,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,net_income,639,637,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2017,revenue,639,594,0,False,45,0.9296,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,assets,635,633,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,capex,635,574,0,False,61,0.9039,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,cash,635,623,0,False,12,0.9811,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,cfo,635,632,0,False,3,0.9953,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,diluted_shares,635,625,0,False,10,0.9843,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,equity,635,631,0,False,4,0.9937,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,gross_profit,635,322,0,False,313,0.5071,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,liabilities,635,441,0,False,194,0.6945,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,lt_debt,635,549,0,False,86,0.8646,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,net_income,635,633,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2018,revenue,635,621,0,False,14,0.978,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,assets,642,640,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,capex,642,584,0,False,58,0.9097,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,cash,642,636,0,False,6,0.9907,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,cfo,642,639,0,False,3,0.9953,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,diluted_shares,642,633,0,False,9,0.986,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,equity,642,639,0,False,3,0.9953,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,gross_profit,642,323,0,False,319,0.5031,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,liabilities,642,456,0,False,186,0.7103,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,lt_debt,642,556,0,False,86,0.866,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,net_income,642,640,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2019,revenue,642,631,0,False,11,0.9829,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,assets,637,635,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,capex,637,582,0,False,55,0.9137,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,cash,637,635,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,cfo,637,633,0,False,4,0.9937,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,diluted_shares,637,629,0,False,8,0.9874,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,equity,637,634,0,False,3,0.9953,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,gross_profit,637,326,0,False,311,0.5118,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,liabilities,637,460,0,False,177,0.7221,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,lt_debt,637,569,0,False,68,0.8932,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,net_income,637,635,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2020,revenue,637,628,0,False,9,0.9859,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,assets,641,640,0,False,1,0.9984,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,capex,641,587,0,False,54,0.9158,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,cash,641,640,0,False,1,0.9984,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,cfo,641,640,0,False,1,0.9984,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,diluted_shares,641,634,0,False,7,0.9891,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,equity,641,639,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,gross_profit,641,328,0,False,313,0.5117,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,liabilities,641,471,0,False,170,0.7348,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,lt_debt,641,578,0,False,63,0.9017,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,net_income,641,640,0,False,1,0.9984,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2021,revenue,641,633,0,False,8,0.9875,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2022,assets,638,637,0,False,1,0.9984,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2022,capex,638,584,0,False,54,0.9154,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2022,cash,638,637,0,False,1,0.9984,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2022,cfo,638,637,0,False,1,0.9984,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2022,diluted_shares,638,631,0,False,7,0.989,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2022,equity,638,636,0,False,2,0.9969,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2022,gross_profit,638,327,0,False,311,0.5125,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2022,liabilities,638,474,0,False,164,0.7429,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
2022,lt_debt,638,580,0,False,58,0.9091,"custom_tag_only 恆為 0:companyfacts 端點只出標準分類體系,公司自訂標籤根本不在這份文件裡,不是「沒有公司用自訂標籤」"
