ticker,joined_on,left_on
SEE,1998-04-01,2023-12-18
SHLD,2005-03-28,2012-09-05
SIAL,1996-01-02,2015-11-18
SII,2006-10-02,2010-08-27
SIVB,2018-03-19,2023-03-15
SLM,1998-07-01,2014-05-01
SNI,2008-07-01,2018-03-07
SRCL,2008-11-19,2018-12-03
STJ,1996-01-02,2017-01-05
STR,2006-12-01,2010-07-01
SUN,1996-01-02,2012-10-05
SUNEQ,2007-05-31,2011-12-19
SVU,1996-01-02,2012-05-01
SWN,2008-06-06,2017-04-04
SWY,1998-11-13,2015-01-27
SYMC,2003-03-31,2019-11-05
TEG,2007-02-22,2015-06-30
TGNA,1996-01-02,2017-06-02
TIE,2007-10-29,2012-12-24
TIF,2000-06-21,2021-01-07
TLAB,1996-01-02,2011-12-21
TMK,1996-01-02,2019-08-08
TSS,2008-01-02,2019-09-23
TWC,2009-03-30,2016-05-18
TWTR,2018-06-07,2022-11-01
UA,2016-04-08,2022-06-21
UTX,1996-01-02,2020-04-03
VAR,2007-02-12,2021-04-20
VIAB,2006-01-03,2019-12-05
VIAC,2019-12-05,2022-02-17
VIAV,2000-07-27,2013-12-23
WBA,1996-01-02,2025-08-28
WCG,2018-09-17,2020-01-28
WFM,2006-01-03,2017-08-28
WIN,2006-07-18,2015-04-07
WLTW,2016-01-05,2022-01-10
WPX,2012-01-03,2014-03-24
WRK,2015-07-02,2024-07-08
WYND,2006-08-01,2018-05-31
X,1996-01-02,2014-07-02
XEC,2014-06-20,2020-03-03
XL,2001-09-04,2018-09-12
XLNX,1999-11-08,2022-02-15
XTO,2004-12-29,2010-06-28
