ticker,display_name,joined_on,left_on,delisted_or_removed,cik,cik_source,cik_note
APOL,,2002-05-15,2013-07-01,True,0000929887,edgar_full_text_search,"全文檢索:成分期 2002-05-15~2013-07-01 內 96/100 份 10-K/10-Q 印有代號 APOL,全屬 0000929887(APOLLO EDUCATION GROUP INC);該 CIK 申報期 1995-06-28~2017-02-14 覆蓋成分期"
APP,AppLovin,2025-09-22,,False,0001751008,anchors,今日對照
APTV,Aptiv,2012-12-24,,False,0001521332,anchors,今日對照
AR,,1996-01-02,1999-10-27,True,,,no display_name recorded; ticker not in anchors nor current map
ARC,,1996-01-02,2000-04-18,True,,,no display_name recorded; ticker not in anchors nor current map
ARE,Alexandria Real Estate Equities,2017-03-20,,False,0001035443,anchors,今日對照
ARES,Ares Management,2025-12-11,,False,0001176948,anchors,今日對照
ARG,,2009-09-09,2016-05-23,True,,,no display_name recorded; ticker not in anchors nor current map
ARNC,,1996-01-02,2020-04-06,True,,,no display_name recorded; ticker not in anchors nor current map
AS,,1996-01-02,1998-11-24,True,,,no display_name recorded; ticker not in anchors nor current map
ASC,,1996-01-02,1999-06-24,True,,,no display_name recorded; ticker not in anchors nor current map
ASH,,1996-01-02,2008-11-14,True,,,no display_name recorded; ticker not in anchors nor current map
ASN,,2004-12-20,2007-10-08,True,,,no display_name recorded; ticker not in anchors nor current map
ASND,,1998-06-12,1999-06-25,True,,,no display_name recorded; ticker not in anchors nor current map
ASO,,1999-03-10,2006-11-06,True,,,no display_name recorded; ticker not in anchors nor current map
AT,,1996-01-02,2007-11-19,True,,,no display_name recorded; ticker not in anchors nor current map
ATGE,,2009-06-09,2012-10-01,True,,,no display_name recorded; ticker not in anchors nor current map
ATI,,1996-01-02,2015-07-02,True,0001018963,anchors,人手辨明
ATO,Atmos Energy,2019-02-15,,False,0000731802,anchors,今日對照
ATVI,,2015-08-31,2023-10-18,True,0000718877,edgar_full_text_search,"全文檢索:成分期 2015-08-31~2023-10-18 內 38/50 份 10-K/10-Q 印有代號 ATVI,全屬 0000718877(Activision Blizzard, Inc.);該 CIK 申報期 1995-06-30~2024-06-11 覆蓋成分期"
AV,,2000-10-02,2007-10-26,True,,,no display_name recorded; ticker not in anchors nor current map
AVB,,2007-01-10,,False,0000915912,anchors,今日對照
AVGO,Broadcom,2014-05-08,,False,0001730168,anchors,今日對照
AVP,,1996-01-02,2015-03-23,True,,,no display_name recorded; ticker not in anchors nor current map
AVY,Avery Dennison,1996-01-02,,False,0000008818,anchors,今日對照
AW,,1999-08-02,2008-12-05,True,,,no display_name recorded; ticker not in anchors nor current map
AWE,,2001-07-09,2004-10-27,True,,,no display_name recorded; ticker not in anchors nor current map
AWK,American Water Works,2016-03-04,,False,0001410636,anchors,今日對照
AXON,Axon Enterprise,2023-05-04,,False,0001069183,anchors,今日對照
AXP,American Express,1996-01-02,,False,0000004962,anchors,今日對照
AYE,,2000-12-11,2011-02-28,True,,,no display_name recorded; ticker not in anchors nor current map
AYI,,2016-05-03,2018-06-18,True,0001144215,anchors,同一實體改名·非回收
AZA.A,,1996-01-02,2001-06-25,True,,,no display_name recorded; ticker not in anchors nor current map
AZO,AutoZone,1997-01-02,,False,0000866787,anchors,今日對照
BA,Boeing,1996-01-02,,False,0000012927,anchors,今日對照
BAC,Bank of America,1996-01-02,,False,0000070858,anchors,今日對照
BALL,Ball Corporation,2022-05-10,,False,0000009389,anchors,今日對照
BAX,Baxter International,1996-01-02,,False,0000010456,anchors,今日對照
BAY,,1996-02-12,1998-08-31,True,,,no display_name recorded; ticker not in anchors nor current map
BBBY,,1999-10-01,2017-07-26,True,0000886158,anchors,代號回收·改錨
BBI,,1996-01-02,1998-01-12,True,,,no display_name recorded; ticker not in anchors nor current map
BBT,,1997-12-04,2019-12-09,True,0000092230,anchors,人手辨明
BBWI,,2021-08-03,2024-10-01,True,0000701985,anchors,今日對照·已核實
BBY,Best Buy,1999-06-30,,False,0000764478,anchors,今日對照
BC,,1996-01-02,2008-06-23,True,,,no display_name recorded; ticker not in anchors nor current map
BCO,,1996-01-02,1996-01-22,True,,,no display_name recorded; ticker not in anchors nor current map
BCR,,1996-01-02,2017-12-29,True,,,no display_name recorded; ticker not in anchors nor current map
BDK,,1996-01-02,2010-03-15,True,,,no display_name recorded; ticker not in anchors nor current map
BDX,Becton Dickinson,1996-01-02,,False,0000010795,anchors,今日對照
BEAM,,1996-01-02,2014-05-01,True,,,no display_name recorded; ticker not in anchors nor current map
BEN,Franklin Resources,1998-04-29,,False,0000038777,anchors,今日對照
BEV,,1996-01-02,1997-12-04,True,,,no display_name recorded; ticker not in anchors nor current map
BF-B,Brown–Forman,1996-01-02,,False,0000014693,anchors,今日對照
BFI,,1996-01-02,1999-08-02,True,,,no display_name recorded; ticker not in anchors nor current map
BFO,,1996-01-02,2000-10-03,True,,,no display_name recorded; ticker not in anchors nor current map
BG,Bunge Global,2023-03-15,,False,0001996862,anchors,今日對照
BGEN,,2000-01-31,2003-11-13,True,,,no display_name recorded; ticker not in anchors nor current map
BGG,,1996-01-02,2001-04-03,True,,,no display_name recorded; ticker not in anchors nor current map
BHF,,2017-08-07,2019-04-02,True,0001685040,anchors,今日對照·已核實
BHGE,,1996-01-02,2019-10-18,True,,,no display_name recorded; ticker not in anchors nor current map
BHMSQ,,1996-01-02,2000-12-11,True,,,no display_name recorded; ticker not in anchors nor current map
BIG,,1998-01-20,2013-02-14,True,,,no display_name recorded; ticker not in anchors nor current map
BIIB,Biogen,2003-11-13,,False,0000875045,anchors,今日對照
BIO,,2020-06-22,2024-09-23,True,0000012208,anchors,今日對照·已核實
BJS,,2002-05-15,2010-04-29,True,,,no display_name recorded; ticker not in anchors nor current map
BK,,1996-01-02,2026-05-21,True,,,no display_name recorded; ticker not in anchors nor current map
BKB,,1996-01-02,1999-10-01,True,,,no display_name recorded; ticker not in anchors nor current map
BKNG,Booking Holdings,2009-11-06,,False,0001075531,anchors,今日對照
BKR,Baker Hughes,2019-10-18,,False,0001701605,anchors,今日對照
BLDR,Builders FirstSource,2023-12-18,,False,0001316835,anchors,今日對照
BLK,BlackRock,2011-04-04,,False,0002012383,anchors,今日對照
BLL,,1996-01-02,2022-05-10,True,0000009389,edgar_full_text_search,"全文檢索:成分期 1996-01-02~2022-05-10 內 67/100 份 10-K/10-Q 印有代號 BLL,全屬 0000009389(BALL Corp);該 CIK 申報期 1994-01-27~2026-08-26 覆蓋成分期"
BLS,,1996-01-02,2007-01-03,True,,,no display_name recorded; ticker not in anchors nor current map
BLY,,1996-01-02,1996-12-19,True,,,no display_name recorded; ticker not in anchors nor current map
BMC,,1998-10-01,2013-09-11,True,,,no display_name recorded; ticker not in anchors nor current map
BMET,,1996-01-02,2007-07-12,True,,,no display_name recorded; ticker not in anchors nor current map
BMGCA,,1996-07-22,1999-08-09,True,,,no display_name recorded; ticker not in anchors nor current map
BMS,,1996-01-02,2014-12-05,True,,,no display_name recorded; ticker not in anchors nor current map
BMY,Bristol Myers Squibb,1996-01-02,,False,0000014272,anchors,今日對照
BNI,,1996-01-02,2010-02-16,True,,,no display_name recorded; ticker not in anchors nor current map
BNL,,1996-01-02,1998-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
BNY,BNY Mellon,2026-05-21,,False,0001390777,anchors,今日對照
BOAT,,1996-01-02,1997-01-07,True,,,no display_name recorded; ticker not in anchors nor current map
BOL,,1996-01-02,2007-10-29,True,,,no display_name recorded; ticker not in anchors nor current map
BR,Broadridge Financial Solutions,1996-01-02,,False,0001383312,anchors,今日對照
BRCM,,2000-07-03,2016-02-01,True,0001054374,edgar_full_text_search,"全文檢索:成分期 2000-07-03~2016-02-01 內 87/100 份 10-K/10-Q 印有代號 BRCM,全屬 0001054374(BROADCOM CORP);該 CIK 申報期 1998-02-05~2020-07-06 覆蓋成分期"
BRK-B,Berkshire Hathaway,2010-02-16,,False,0001067983,anchors,今日對照
BRL,,2006-02-27,2008-12-23,True,,,no display_name recorded; ticker not in anchors nor current map
BRO,Brown & Brown,2021-09-20,,False,0000079282,anchors,今日對照
BSC,,1998-07-01,2008-06-02,True,,,no display_name recorded; ticker not in anchors nor current map
BSX,Boston Scientific,1996-01-02,,False,0000885725,anchors,今日對照
BT,,1996-01-02,1999-06-04,True,,,no display_name recorded; ticker not in anchors nor current map
BTUUQ,,2006-11-20,2014-09-22,True,,,no display_name recorded; ticker not in anchors nor current map
BUD,,1996-01-02,2008-11-18,True,,,no display_name recorded; ticker not in anchors nor current map
BVSN,,2000-11-06,2001-09-04,True,,,no display_name recorded; ticker not in anchors nor current map
BWA,,2011-12-19,2025-03-24,True,0000908255,anchors,今日對照·已核實
BX,Blackstone Inc.,2023-09-18,,False,0001393818,anchors,今日對照
BXLT,,2015-07-01,2016-06-03,True,,,no display_name recorded; ticker not in anchors nor current map
BXP,"BXP, Inc.",2006-04-03,,False,0001037540,anchors,今日對照
C,Citigroup,1996-01-02,,False,0000831001,anchors,今日對照
CA,,1996-01-02,2018-11-06,True,,,no display_name recorded; ticker not in anchors nor current map
CAG,,1996-01-02,2026-06-30,True,0000023217,anchors,今日對照·已核實
CAH,Cardinal Health,1997-05-27,,False,0000721371,anchors,今日對照
CAL,,1996-01-02,1996-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
CAM,,2008-01-29,2016-04-04,True,0000941548,anchors,人手辨明
CAR,,1996-01-02,2006-08-01,True,,,no display_name recorded; ticker not in anchors nor current map
CARR,Carrier Global,2020-04-03,,False,0001783180,anchors,今日對照
CASY,Casey's,2026-04-09,,False,0000726958,anchors,今日對照
CAT,Caterpillar Inc.,1996-01-02,,False,0000018230,anchors,今日對照
CB,Chubb Limited,1996-01-02,,False,0000896159,anchors,今日對照
CBB,,1996-01-02,1998-01-28,True,,,no display_name recorded; ticker not in anchors nor current map
CBE,,1996-01-02,2012-12-03,True,,,no display_name recorded; ticker not in anchors nor current map
CBH,,2006-06-06,2008-03-31,True,,,no display_name recorded; ticker not in anchors nor current map
CBOE,Cboe Global Markets,2017-03-01,,False,0001374310,anchors,今日對照
CBRE,CBRE Group,2006-11-10,,False,0001138118,anchors,今日對照
CBS,,1996-01-02,2019-12-05,True,0000813828,edgar_full_text_search,"全文檢索:成分期 1996-01-02~2019-12-05 內 73/100 份 10-K/10-Q 印有代號 CBS,全屬 0000813828(Paramount Global);該 CIK 申報期 1994-01-07~2026-07-31 覆蓋成分期"
CBSS,,2004-12-20,2007-09-07,True,,,no display_name recorded; ticker not in anchors nor current map
CCB,,1996-01-02,1996-02-12,True,,,no display_name recorded; ticker not in anchors nor current map
CCE,,1998-10-08,2016-05-31,True,,,no display_name recorded; ticker not in anchors nor current map
CCEP,,2016-01-04,2016-05-31,True,0001650107,anchors,同一實體改名·非回收
CCI,Crown Castle,1996-01-02,,False,0001051470,anchors,今日對照
CCK,,1996-01-02,2000-12-11,True,,,no display_name recorded; ticker not in anchors nor current map
CCL,Carnival Corporation,1998-12-22,,False,0000815097,anchors,今日對照
CCTYQ,,1996-01-02,2008-03-31,True,,,no display_name recorded; ticker not in anchors nor current map
CCU,,1997-09-02,2008-07-31,True,,,no display_name recorded; ticker not in anchors nor current map
CDAY,,2021-09-20,2024-02-01,True,0001725057,edgar_full_text_search,"全文檢索:成分期 2021-09-20~2024-02-01 內 94/100 份 10-K/10-Q 印有代號 CDAY,全屬 0001725057(Dayforce, Inc.);該 CIK 申報期 2018-01-12~2026-05-15 覆蓋成分期"
CDNS,Cadence Design Systems,2017-09-18,,False,0000813672,anchors,今日對照
CDW,CDW Corporation,2019-09-23,,False,0001402057,anchors,今日對照
CE,,2001-04-02,2025-03-24,True,0001306830,anchors,今日對照·已核實
CEG,Constellation Energy,1996-01-02,,False,0001868275,anchors,今日對照
CELG,,2006-11-06,2019-11-21,True,0000816284,edgar_full_text_search,"全文檢索:成分期 2006-11-06~2019-11-21 內 65/100 份 10-K/10-Q 印有代號 CELG,全屬 0000816284(CELGENE CORP /DE/);該 CIK 申報期 1995-04-28~2020-07-13 覆蓋成分期"
CEN,,1996-01-02,2001-04-02,True,,,no display_name recorded; ticker not in anchors nor current map
CEPH,,2008-11-17,2011-10-14,True,,,no display_name recorded; ticker not in anchors nor current map
CERN,,2010-04-30,2022-06-08,True,,,no display_name recorded; ticker not in anchors nor current map
CF,CF Industries,2000-06-19,,False,0001324404,anchors,今日對照
CFC,,1997-06-18,2008-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
CFG,Citizens Financial Group,2016-02-01,,False,0000759944,anchors,今日對照
CFL,,1996-01-02,1998-04-28,True,,,no display_name recorded; ticker not in anchors nor current map
CFN,,2009-09-01,2015-03-17,True,,,no display_name recorded; ticker not in anchors nor current map
CG,,1996-01-02,2000-11-02,True,,,no display_name recorded; ticker not in anchors nor current map
CGP,,1996-01-02,2001-01-30,True,,,no display_name recorded; ticker not in anchors nor current map
CHA,,1996-01-02,2000-06-19,True,,,no display_name recorded; ticker not in anchors nor current map
CHD,Church & Dwight,2015-12-29,,False,0000313927,anchors,今日對照
CHIR,,2000-11-24,2006-04-20,True,,,no display_name recorded; ticker not in anchors nor current map
CHK,,2006-03-03,2018-03-19,True,0000895126,edgar_full_text_search,"全文檢索:成分期 2006-03-03~2018-03-19 內 73/101 份 10-K/10-Q 印有代號 CHK,全屬 0000895126(EXPAND ENERGY Corp);該 CIK 申報期 1995-02-06~2026-08-07 覆蓋成分期"
CHRS,,1996-01-02,1998-04-08,True,,,no display_name recorded; ticker not in anchors nor current map
CHRW,C.H. Robinson,2007-03-02,,False,0001043277,anchors,今日對照
CHTR,Charter Communications,2016-09-08,,False,0001091667,anchors,今日對照
CI,Cigna,1996-01-02,,False,0001739940,anchors,今日對照
CIEN,Ciena,2001-08-30,,False,0000936395,anchors,今日對照
CIN,,1996-01-02,2006-04-03,True,,,no display_name recorded; ticker not in anchors nor current map
CINF,Cincinnati Financial,1997-12-18,,False,0000020286,anchors,今日對照
CIT.A,,2000-07-17,2001-06-04,True,,,no display_name recorded; ticker not in anchors nor current map
CITGQ,,2004-10-27,2009-07-27,True,,,no display_name recorded; ticker not in anchors nor current map
CL,Colgate-Palmolive,1996-01-02,,False,0000021665,anchors,今日對照
CLF,,2009-12-21,2014-04-02,True,0000764065,submissions_window_overlap,候選 CIK 0000764065(CLEVELAND-CLIFFS INC.);申報期 1994-02-08~2026-08-07;成分期 2009-12-21~2014-04-02;曾用名:CLIFFS NATURAL RESOURCES INC.; CLEVELAND CLIFFS INC
CLX,Clorox,1996-01-02,,False,0000021076,anchors,今日對照
CMA,,1996-01-02,2024-06-24,True,,,no display_name recorded; ticker not in anchors nor current map
CMB,,1996-01-02,1996-04-01,True,,,no display_name recorded; ticker not in anchors nor current map
CMCSA,Comcast,1996-01-02,,False,0001166691,anchors,今日對照
CMCSK,,2015-09-21,2015-12-14,True,,,no display_name recorded; ticker not in anchors nor current map
CME,CME Group,2006-08-11,,False,0001156375,anchors,今日對照
CMG,Chipotle Mexican Grill,2011-04-28,,False,0001058090,anchors,今日對照
CMI,Cummins,1996-01-02,,False,0000026172,anchors,今日對照
CMS,CMS Energy,1999-05-03,,False,0000811156,anchors,今日對照
CMVT,,1999-10-27,2007-02-01,True,,,no display_name recorded; ticker not in anchors nor current map
CMX,,2004-03-25,2007-03-23,True,,,no display_name recorded; ticker not in anchors nor current map
CNC,Centene Corporation,1997-01-15,,False,0001071739,anchors,今日對照
CNG,,1996-01-02,2000-01-31,True,,,no display_name recorded; ticker not in anchors nor current map
CNP,CenterPoint Energy,1996-01-02,,False,0001130310,anchors,今日對照
CNW,,1996-01-02,1996-12-03,True,,,no display_name recorded; ticker not in anchors nor current map
CNX,,2006-06-28,2016-03-04,True,0001070412,anchors,同一實體改名·非回收
CNXT,,2000-01-31,2002-06-26,True,,,no display_name recorded; ticker not in anchors nor current map
COC.B,,1999-08-09,2002-09-03,True,,,no display_name recorded; ticker not in anchors nor current map
COF,Capital One,1998-07-01,,False,0000927628,anchors,今日對照
COG,,2008-06-23,2021-10-04,True,,,no display_name recorded; ticker not in anchors nor current map
COHR,Coherent Corp.,2026-03-23,,False,0000820318,anchors,今日對照
COIN,Coinbase,2025-05-19,,False,0001679788,anchors,今日對照
COL,,2001-07-02,2018-11-27,True,0001137411,anchors,人手辨明
COMS,,1996-01-02,2000-07-28,True,,,no display_name recorded; ticker not in anchors nor current map
COO,Cooper Companies (The),2016-09-23,,False,0000711404,anchors,今日對照
COP,ConocoPhillips,1996-01-02,,False,0001163165,anchors,今日對照
COR,Cencora,2023-08-30,,False,0001140859,anchors,今日對照
COST,Costco,1996-01-02,,False,0000909832,anchors,今日對照
COTY,,2016-10-03,2020-09-21,True,0001024305,anchors,今日對照·已核實
COV,,1996-01-02,2015-01-27,True,0001385187,edgar_full_text_search,"全文檢索:成分期 1996-01-02~2015-01-27 內 68/100 份 10-K/10-Q 印有代號 COV,全屬 0001385187(Covidien plc);該 CIK 申報期 2007-01-18~2015-02-27 覆蓋成分期"
CPAY,Corpay,2024-03-25,,False,0001175454,anchors,今日對照
CPB,,1996-01-02,2026-06-22,True,0000016732,anchors,今日對照·已核實
CPGX,,2015-07-02,2016-07-01,True,0001629995,edgar_full_text_search,"全文檢索:成分期 2015-07-02~2016-07-01 內 25/27 份 10-K/10-Q 印有代號 CPGX,全屬 0001629995(Columbia Pipeline Group, Inc.);該 CIK 申報期 2015-02-06~2017-02-27 覆蓋成分期"
CPNLQ,,2000-12-01,2005-12-02,True,,,no display_name recorded; ticker not in anchors nor current map
CPQ,,1996-01-02,2002-05-06,True,,,no display_name recorded; ticker not in anchors nor current map
CPRI,,2016-01-04,2020-05-12,True,0001530721,anchors,今日對照·已核實
CPRT,Copart,2018-07-02,,False,0000900075,anchors,今日對照
CPT,Camden Property Trust,2022-04-04,,False,0000906345,anchors,今日對照
CPWR,,1999-01-04,2012-01-03,True,0000827099,submissions_window_overlap,候選 CIK 0000827099(Ocean Thermal Energy Corp);申報期 1996-10-24~2026-08-14;成分期 1999-01-04~2012-01-03;曾用名:TETRIDYN SOLUTIONS INC; CREATIVE VENDING CORP
CR,,1996-01-02,2004-12-20,True,,,no display_name recorded; ticker not in anchors nor current map
CRH,CRH plc,2025-12-22,,False,0000849395,anchors,今日對照
CRL,Charles River Laboratories,2021-05-14,,False,0001100682,anchors,今日對照
CRM,Salesforce,2008-09-15,,False,0001108524,anchors,今日對照
CRR,,1996-01-02,1997-05-27,True,,,no display_name recorded; ticker not in anchors nor current map
CRWD,CrowdStrike,2024-06-24,,False,0001535527,anchors,今日對照
CSCO,Cisco,1996-01-02,,False,0000858877,anchors,今日對照
CSE,,1996-01-22,1999-11-15,True,,,no display_name recorded; ticker not in anchors nor current map
CSGP,CoStar Group,2022-09-19,,False,0001057352,anchors,今日對照
CSR,,1996-01-02,2000-06-16,True,,,no display_name recorded; ticker not in anchors nor current map
CSRA,,2015-11-30,2018-04-04,True,0001646383,anchors,人手辨明
CSX,CSX Corporation,1996-01-02,,False,0000277948,anchors,今日對照
CTAS,Cintas,2001-03-01,,False,0000723254,anchors,今日對照
CTB,,1996-01-02,2006-07-18,True,,,no display_name recorded; ticker not in anchors nor current map
CTL,,1999-03-25,2020-09-18,True,,,no display_name recorded; ticker not in anchors nor current map
CTLT,,2020-09-21,2024-12-23,True,0001596783,edgar_full_text_search,"全文檢索:成分期 2020-09-21~2024-12-23 內 20/22 份 10-K/10-Q 印有代號 CTLT,全屬 0001596783(Catalent, Inc.);該 CIK 申報期 2014-01-24~2024-12-30 覆蓋成分期"
CTRA,,2021-10-04,2026-05-07,True,0000858470,edgar_full_text_search,"全文檢索:成分期 2021-10-04~2026-05-07 內 83/100 份 10-K/10-Q 印有代號 CTRA,全屬 0000858470(Coterra Energy Inc.);該 CIK 申報期 1994-02-08~2026-06-05 覆蓋成分期"
CTSH,Cognizant,2006-11-17,,False,0001058290,anchors,今日對照
CTVA,Corteva,2019-06-03,,False,0001755672,anchors,今日對照
CTX,,1996-01-02,2009-08-19,True,,,no display_name recorded; ticker not in anchors nor current map
